split,seed,gold_count,request_id,states,majority_band,band_purity,upper_states,lower_states,marker_kind,trace_category,output_token_count
confirmation,1254,1,Qwen3-8B/native_thinking/v5/V4_4_T10000_N1_seed1254,1,upper,1.0,1,0,inline_count,one_to_one,417
confirmation,1254,2,Qwen3-8B/native_thinking/v5/V4_4_T10000_N2_seed1254,2,upper,1.0,2,0,inline_count,one_to_one,311
confirmation,1254,3,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1254,3,upper,1.0,3,0,inline_count,one_to_one,473
confirmation,1254,4,Qwen3-8B/native_thinking/v5/V4_4_T10000_N4_seed1254,4,upper,1.0,4,0,inline_count,one_to_one,492
confirmation,1254,5,Qwen3-8B/native_thinking/v5/V4_4_T10000_N5_seed1254,5,upper,1.0,5,0,inline_count,one_to_one,379
confirmation,1254,6,Qwen3-8B/native_thinking/v5/V4_4_T10000_N6_seed1254,6,upper,1.0,6,0,inline_count,one_to_one,525
confirmation,1254,7,Qwen3-8B/native_thinking/v5/V4_4_T10000_N7_seed1254,7,upper,1.0,7,0,inline_count,one_to_one,356
confirmation,1254,8,Qwen3-8B/native_thinking/v5/V4_4_T10000_N8_seed1254,8,upper,1.0,8,0,inline_count,one_to_one,462
confirmation,1254,9,Qwen3-8B/native_thinking/v5/V4_4_T10000_N9_seed1254,9,upper,1.0,9,0,inline_count,one_to_one,481
confirmation,1254,10,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1254,10,upper,1.0,10,0,inline_count,one_to_one,374
confirmation,1255,1,Qwen3-8B/native_thinking/v5/V4_4_T10000_N1_seed1255,1,upper,1.0,1,0,inline_count,one_to_one,464
confirmation,1255,2,Qwen3-8B/native_thinking/v5/V4_4_T10000_N2_seed1255,3,upper,1.0,3,0,indexed,full_coverage_with_duplicates,832
confirmation,1255,3,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1255,3,upper,1.0,3,0,inline_count,one_to_one,633
confirmation,1255,4,Qwen3-8B/native_thinking/v5/V4_4_T10000_N4_seed1255,4,upper,1.0,4,0,inline_count,one_to_one,418
confirmation,1255,5,Qwen3-8B/native_thinking/v5/V4_4_T10000_N5_seed1255,5,upper,1.0,5,0,inline_count,one_to_one,411
confirmation,1255,6,Qwen3-8B/native_thinking/v5/V4_4_T10000_N6_seed1255,6,upper,1.0,6,0,inline_count,one_to_one,314
confirmation,1255,7,Qwen3-8B/native_thinking/v5/V4_4_T10000_N7_seed1255,7,upper,1.0,7,0,inline_count,one_to_one,619
confirmation,1255,8,Qwen3-8B/native_thinking/v5/V4_4_T10000_N8_seed1255,8,upper,1.0,8,0,inline_count,one_to_one,511
confirmation,1255,9,Qwen3-8B/native_thinking/v5/V4_4_T10000_N9_seed1255,9,lower,0.8888888888888888,1,8,inline_count,one_to_one,451
confirmation,1255,10,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1255,10,lower,1.0,0,10,indexed,one_to_one,382
confirmation,1256,1,Qwen3-8B/native_thinking/v5/V4_4_T10000_N1_seed1256,1,upper,1.0,1,0,inline_count,one_to_one,312
confirmation,1256,2,Qwen3-8B/native_thinking/v5/V4_4_T10000_N2_seed1256,2,upper,1.0,2,0,inline_count,one_to_one,335
confirmation,1256,3,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1256,3,upper,1.0,3,0,inline_count,one_to_one,285
confirmation,1256,4,Qwen3-8B/native_thinking/v5/V4_4_T10000_N4_seed1256,4,upper,1.0,4,0,indexed,one_to_one,545
confirmation,1256,5,Qwen3-8B/native_thinking/v5/V4_4_T10000_N5_seed1256,5,upper,1.0,5,0,inline_count,one_to_one,366
confirmation,1256,6,Qwen3-8B/native_thinking/v5/V4_4_T10000_N6_seed1256,2,upper,1.0,2,0,inline_count,partial_unique,251
confirmation,1256,7,Qwen3-8B/native_thinking/v5/V4_4_T10000_N7_seed1256,7,upper,1.0,7,0,inline_count,one_to_one,463
confirmation,1256,8,Qwen3-8B/native_thinking/v5/V4_4_T10000_N8_seed1256,8,upper,1.0,8,0,inline_count,one_to_one,554
confirmation,1256,9,Qwen3-8B/native_thinking/v5/V4_4_T10000_N9_seed1256,9,lower,1.0,0,9,completion_recap,one_to_one,342
confirmation,1256,10,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1256,10,lower,1.0,0,10,completion_recap,one_to_one,363
