model_label,seed,gold_count,condition,layer,gold_centroid_squared_distance
Gemma4-E4B,1254,2,clean,37,191.59677320546643
Gemma4-E4B,1254,2,actual_rank3_remove,37,200.2945214601047
Gemma4-E4B,1254,2,centroid_curve_remove,37,200.24414187085384
Gemma4-E4B,1254,2,normmatched_orthogonal,37,186.490036781899
Gemma4-E4B,1254,3,clean,37,413.40581810495974
Gemma4-E4B,1254,3,actual_rank3_remove,37,366.85949361513724
Gemma4-E4B,1254,3,centroid_curve_remove,37,371.956401452471
Gemma4-E4B,1254,3,normmatched_orthogonal,37,372.0912480199027
Gemma4-E4B,1254,4,clean,37,352.56702053824
Gemma4-E4B,1254,4,actual_rank3_remove,37,317.9796759668982
Gemma4-E4B,1254,4,centroid_curve_remove,37,309.8695634663692
Gemma4-E4B,1254,4,normmatched_orthogonal,37,321.48901629216823
Gemma4-E4B,1254,5,clean,37,224.5591632320174
Gemma4-E4B,1254,5,actual_rank3_remove,37,208.16940024634565
Gemma4-E4B,1254,5,centroid_curve_remove,37,216.12420583956884
Gemma4-E4B,1254,5,normmatched_orthogonal,37,209.01929904079444
Gemma4-E4B,1254,6,clean,37,182.87322114627548
Gemma4-E4B,1254,6,actual_rank3_remove,37,171.0944154213887
Gemma4-E4B,1254,6,centroid_curve_remove,37,178.98803795308785
Gemma4-E4B,1254,6,normmatched_orthogonal,37,167.9799423357251
Gemma4-E4B,1254,7,clean,37,160.51344206107223
Gemma4-E4B,1254,7,actual_rank3_remove,37,163.16681970934056
Gemma4-E4B,1254,7,centroid_curve_remove,37,155.3904400838222
Gemma4-E4B,1254,7,normmatched_orthogonal,37,156.41825357743855
Gemma4-E4B,1254,8,clean,37,116.08547805396043
Gemma4-E4B,1254,8,actual_rank3_remove,37,119.10977786588549
Gemma4-E4B,1254,8,centroid_curve_remove,37,114.8370790242029
Gemma4-E4B,1254,8,normmatched_orthogonal,37,111.73124878931503
Gemma4-E4B,1254,9,clean,37,116.19980139281296
