model_label,query_variant,response_type,bank_size,seed,occurrences,clean_accuracy,ranked_accuracy,random_accuracy,all_accuracy_damage_specificity,clean_correct_to_wrong_specificity,token_accuracy_specificity
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,1,1259,2,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,1,1260,5,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,2,1259,2,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,2,1260,5,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,4,1259,2,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,4,1260,5,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,8,1259,2,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,8,1260,5,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,16,1259,2,1.0,0.0,1.0,1.0,1.0,1.0
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,16,1260,5,1.0,0.0,1.0,1.0,1.0,1.0
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,32,1259,2,1.0,0.0,1.0,1.0,1.0,1.0
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,32,1260,5,1.0,0.0,1.0,1.0,1.0,1.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,1,1254,27,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,1,1255,7,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,1,1256,1,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,1,1257,2,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,1,1258,9,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,1,1260,19,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,1,1261,18,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,1,1262,2,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,1,1263,18,1.0,0.9444444444444444,0.9629629629629629,0.01851851851851852,0.01851851851851852,0.017592592592592594
Gemma4-E4B,response_reference_pre_reference_d1,record_template,1,1271,10,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,1,1274,10,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,1,1283,10,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,1,1289,10,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,1,1298,10,0.9,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,1,1325,10,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,1,1352,10,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,1,10016,10,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,1,10022,10,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,1,10025,10,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,2,1254,27,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,2,1255,7,1.0,0.8571428571428571,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Gemma4-E4B,response_reference_pre_reference_d1,record_template,2,1256,1,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,2,1257,2,1.0,1.0,0.8333333333333333,-0.16666666666666666,-0.16666666666666666,-0.16666666666666669
Gemma4-E4B,response_reference_pre_reference_d1,record_template,2,1258,9,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,2,1260,19,1.0,0.7894736842105263,1.0,0.21052631578947367,0.21052631578947367,0.21052631578947367
Gemma4-E4B,response_reference_pre_reference_d1,record_template,2,1261,18,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,2,1262,2,1.0,1.0,0.8333333333333333,-0.16666666666666666,-0.16666666666666666,-0.15833333333333338
Gemma4-E4B,response_reference_pre_reference_d1,record_template,2,1263,18,1.0,0.8888888888888888,0.9629629629629629,0.07407407407407408,0.07407407407407408,0.07037037037037036
Gemma4-E4B,response_reference_pre_reference_d1,record_template,2,1271,10,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,2,1274,10,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,2,1283,10,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,2,1289,10,1.0,1.0,0.9333333333333333,-0.06666666666666667,-0.06666666666666667,-0.06499999999999999
Gemma4-E4B,response_reference_pre_reference_d1,record_template,2,1298,10,0.9,1.0,0.9666666666666666,-0.03333333333333333,-0.037037037037037035,-0.03205128205128206
Gemma4-E4B,response_reference_pre_reference_d1,record_template,2,1325,10,1.0,0.9,1.0,0.1,0.1,0.1
Gemma4-E4B,response_reference_pre_reference_d1,record_template,2,1352,10,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,2,10016,10,1.0,1.0,0.9666666666666666,-0.03333333333333333,-0.03333333333333333,-0.03333333333333334
Gemma4-E4B,response_reference_pre_reference_d1,record_template,2,10022,10,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,2,10025,10,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,4,1254,27,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,4,1255,7,1.0,1.0,0.9047619047619048,-0.09523809523809523,-0.09523809523809523,-0.09523809523809525
Gemma4-E4B,response_reference_pre_reference_d1,record_template,4,1256,1,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,4,1257,2,1.0,1.0,0.8333333333333333,-0.16666666666666666,-0.16666666666666666,-0.16666666666666669
Gemma4-E4B,response_reference_pre_reference_d1,record_template,4,1258,9,1.0,1.0,0.9259259259259258,-0.07407407407407407,-0.07407407407407407,-0.07037037037037039
Gemma4-E4B,response_reference_pre_reference_d1,record_template,4,1260,19,1.0,0.7894736842105263,1.0,0.21052631578947367,0.21052631578947367,0.21052631578947367
Gemma4-E4B,response_reference_pre_reference_d1,record_template,4,1261,18,1.0,0.8888888888888888,1.0,0.1111111111111111,0.1111111111111111,0.10699588477366256
Gemma4-E4B,response_reference_pre_reference_d1,record_template,4,1262,2,1.0,1.0,0.8333333333333333,-0.16666666666666666,-0.16666666666666666,-0.15833333333333338
Gemma4-E4B,response_reference_pre_reference_d1,record_template,4,1263,18,1.0,0.8888888888888888,1.0,0.1111111111111111,0.1111111111111111,0.10555555555555556
Gemma4-E4B,response_reference_pre_reference_d1,record_template,4,1271,10,1.0,0.8,1.0,0.2,0.2,0.19615384615384618
Gemma4-E4B,response_reference_pre_reference_d1,record_template,4,1274,10,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,4,1283,10,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,4,1289,10,1.0,0.8,1.0,0.2,0.2,0.2
Gemma4-E4B,response_reference_pre_reference_d1,record_template,4,1298,10,0.9,1.0,0.9,-0.1,-0.07407407407407407,-0.09615384615384616
Gemma4-E4B,response_reference_pre_reference_d1,record_template,4,1325,10,1.0,0.7,1.0,0.3,0.3,0.3
Gemma4-E4B,response_reference_pre_reference_d1,record_template,4,1352,10,1.0,0.9,1.0,0.1,0.1,0.1
Gemma4-E4B,response_reference_pre_reference_d1,record_template,4,10016,10,1.0,0.9,0.9,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,4,10022,10,1.0,0.9,1.0,0.1,0.1,0.1
Gemma4-E4B,response_reference_pre_reference_d1,record_template,4,10025,10,1.0,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,record_template,8,1254,27,0.9259259259259259,0.8888888888888888,0.9629629629629629,0.07407407407407407,0.10666666666666667,0.10694312546164399
Gemma4-E4B,response_reference_pre_reference_d1,record_template,8,1255,7,1.0,0.2857142857142857,0.9523809523809523,0.6666666666666667,0.6666666666666667,0.6666666666666666
Gemma4-E4B,response_reference_pre_reference_d1,record_template,8,1256,1,1.0,1.0,0.6666666666666666,-0.3333333333333333,-0.3333333333333333,-0.33333333333333337
Gemma4-E4B,response_reference_pre_reference_d1,record_template,8,1257,2,1.0,0.5,1.0,0.5,0.5,0.5
