model_label,role,layer,algorithm,gold_count,predicted_count,rows
Qwen3-8B,answer_query,0,knn_k5_cosine,1,1,4
Qwen3-8B,answer_query,0,knn_k5_cosine,1,2,4
Qwen3-8B,answer_query,0,knn_k5_cosine,1,3,2
Qwen3-8B,answer_query,0,knn_k5_cosine,1,4,2
Qwen3-8B,answer_query,0,knn_k5_cosine,1,7,1
Qwen3-8B,answer_query,0,knn_k5_cosine,1,8,2
Qwen3-8B,answer_query,0,knn_k5_cosine,1,10,5
Qwen3-8B,answer_query,0,knn_k5_cosine,2,1,4
Qwen3-8B,answer_query,0,knn_k5_cosine,2,2,5
Qwen3-8B,answer_query,0,knn_k5_cosine,2,3,1
Qwen3-8B,answer_query,0,knn_k5_cosine,2,4,2
Qwen3-8B,answer_query,0,knn_k5_cosine,2,7,1
Qwen3-8B,answer_query,0,knn_k5_cosine,2,8,2
Qwen3-8B,answer_query,0,knn_k5_cosine,2,10,5
Qwen3-8B,answer_query,0,knn_k5_cosine,3,1,4
Qwen3-8B,answer_query,0,knn_k5_cosine,3,2,5
Qwen3-8B,answer_query,0,knn_k5_cosine,3,3,1
Qwen3-8B,answer_query,0,knn_k5_cosine,3,4,2
Qwen3-8B,answer_query,0,knn_k5_cosine,3,7,1
Qwen3-8B,answer_query,0,knn_k5_cosine,3,8,2
Qwen3-8B,answer_query,0,knn_k5_cosine,3,10,5
Qwen3-8B,answer_query,0,knn_k5_cosine,4,1,4
Qwen3-8B,answer_query,0,knn_k5_cosine,4,2,5
Qwen3-8B,answer_query,0,knn_k5_cosine,4,3,1
Qwen3-8B,answer_query,0,knn_k5_cosine,4,4,2
Qwen3-8B,answer_query,0,knn_k5_cosine,4,7,1
Qwen3-8B,answer_query,0,knn_k5_cosine,4,8,2
Qwen3-8B,answer_query,0,knn_k5_cosine,4,10,5
Qwen3-8B,answer_query,0,knn_k5_cosine,5,1,6
Qwen3-8B,answer_query,0,knn_k5_cosine,5,2,4
Qwen3-8B,answer_query,0,knn_k5_cosine,5,4,2
Qwen3-8B,answer_query,0,knn_k5_cosine,5,7,1
Qwen3-8B,answer_query,0,knn_k5_cosine,5,8,2
Qwen3-8B,answer_query,0,knn_k5_cosine,5,10,5
Qwen3-8B,answer_query,0,knn_k5_cosine,6,1,4
Qwen3-8B,answer_query,0,knn_k5_cosine,6,2,4
Qwen3-8B,answer_query,0,knn_k5_cosine,6,3,1
