registered_bank_size,evaluation_scope,analysis_population,grammar_class,seed,seed_effect,n_anchor_units
1,confirmation,all_examples,pooled,1254,0.4444444444444444,9
1,confirmation,all_examples,pooled,1255,0.3333333333333333,9
1,confirmation,all_examples,pooled,1256,0.3333333333333333,9
1,confirmation,all_examples,pooled,1257,0.7407407407407408,9
1,confirmation,all_examples,pooled,1258,0.2962962962962963,9
1,confirmation,all_examples,pooled,1259,0.4074074074074074,9
1,confirmation,all_examples,pooled,1260,0.4444444444444444,9
1,confirmation,all_examples,pooled,1261,0.2222222222222222,9
1,confirmation,all_examples,pooled,1262,0.3333333333333333,9
1,confirmation,all_examples,pooled,1263,0.4074074074074074,9
1,confirmation,all_examples,macro_primary_grammars,1254,0.45,9
1,confirmation,all_examples,macro_primary_grammars,1255,0.21428571428571427,9
1,confirmation,all_examples,macro_primary_grammars,1256,0.375,8
1,confirmation,all_examples,macro_primary_grammars,1257,0.7222222222222222,9
1,confirmation,all_examples,macro_primary_grammars,1258,0.5476190476190477,9
1,confirmation,all_examples,macro_primary_grammars,1259,0.4074074074074074,9
1,confirmation,all_examples,macro_primary_grammars,1260,0.7222222222222222,9
1,confirmation,all_examples,macro_primary_grammars,1261,0.16666666666666666,9
1,confirmation,all_examples,macro_primary_grammars,1262,0.1875,9
1,confirmation,all_examples,macro_primary_grammars,1263,0.38888888888888884,9
1,confirmation,all_examples,adjacent_rank_after_city,1254,0.5,4
1,confirmation,all_examples,adjacent_rank_after_city,1255,0.0,2
1,confirmation,all_examples,adjacent_rank_after_city,1256,0.5,4
1,confirmation,all_examples,adjacent_rank_after_city,1257,0.7777777777777778,6
1,confirmation,all_examples,adjacent_rank_after_city,1258,1.0,2
1,confirmation,all_examples,adjacent_rank_after_city,1260,1.0,2
1,confirmation,all_examples,adjacent_rank_after_city,1261,0.0,3
1,confirmation,all_examples,adjacent_rank_after_city,1262,0.0,1
1,confirmation,all_examples,adjacent_rank_after_city,1263,0.4444444444444444,6
1,confirmation,all_examples,adjacent_rank_before_city,1260,1.0,1
1,confirmation,all_examples,same_unit_rank_before_city,1254,0.4,5
1,confirmation,all_examples,same_unit_rank_before_city,1255,0.42857142857142855,7
1,confirmation,all_examples,same_unit_rank_before_city,1256,0.25,4
1,confirmation,all_examples,same_unit_rank_before_city,1257,0.6666666666666666,3
1,confirmation,all_examples,same_unit_rank_before_city,1258,0.09523809523809523,7
1,confirmation,all_examples,same_unit_rank_before_city,1259,0.4074074074074074,9
1,confirmation,all_examples,same_unit_rank_before_city,1260,0.16666666666666666,6
1,confirmation,all_examples,same_unit_rank_before_city,1261,0.3333333333333333,6
1,confirmation,all_examples,same_unit_rank_before_city,1262,0.375,8
1,confirmation,all_examples,same_unit_rank_before_city,1263,0.3333333333333333,3
1,confirmation,all_examples,structural_invariant_bullet,1256,0.0,1
1,confirmation,clean_correct_only,pooled,1254,0.4444444444444444,9
1,confirmation,clean_correct_only,pooled,1255,0.375,8
1,confirmation,clean_correct_only,pooled,1256,0.3333333333333333,9
1,confirmation,clean_correct_only,pooled,1257,0.7407407407407408,9
1,confirmation,clean_correct_only,pooled,1258,0.2962962962962963,9
1,confirmation,clean_correct_only,pooled,1259,0.5238095238095238,7
1,confirmation,clean_correct_only,pooled,1260,0.4444444444444444,9
1,confirmation,clean_correct_only,pooled,1261,0.2222222222222222,9
1,confirmation,clean_correct_only,pooled,1262,0.3333333333333333,9
1,confirmation,clean_correct_only,pooled,1263,0.4074074074074074,9
1,confirmation,clean_correct_only,macro_primary_grammars,1254,0.45,9
1,confirmation,clean_correct_only,macro_primary_grammars,1255,0.21428571428571427,8
1,confirmation,clean_correct_only,macro_primary_grammars,1256,0.375,8
1,confirmation,clean_correct_only,macro_primary_grammars,1257,0.7222222222222222,9
1,confirmation,clean_correct_only,macro_primary_grammars,1258,0.5476190476190477,9
1,confirmation,clean_correct_only,macro_primary_grammars,1259,0.5238095238095238,7
1,confirmation,clean_correct_only,macro_primary_grammars,1260,0.7222222222222222,9
1,confirmation,clean_correct_only,macro_primary_grammars,1261,0.16666666666666666,9
1,confirmation,clean_correct_only,macro_primary_grammars,1262,0.1875,9
1,confirmation,clean_correct_only,macro_primary_grammars,1263,0.38888888888888884,9
1,confirmation,clean_correct_only,adjacent_rank_after_city,1254,0.5,4
1,confirmation,clean_correct_only,adjacent_rank_after_city,1255,0.0,1
1,confirmation,clean_correct_only,adjacent_rank_after_city,1256,0.5,4
1,confirmation,clean_correct_only,adjacent_rank_after_city,1257,0.7777777777777778,6
1,confirmation,clean_correct_only,adjacent_rank_after_city,1258,1.0,2
1,confirmation,clean_correct_only,adjacent_rank_after_city,1260,1.0,2
1,confirmation,clean_correct_only,adjacent_rank_after_city,1261,0.0,3
1,confirmation,clean_correct_only,adjacent_rank_after_city,1262,0.0,1
1,confirmation,clean_correct_only,adjacent_rank_after_city,1263,0.4444444444444444,6
1,confirmation,clean_correct_only,adjacent_rank_before_city,1260,1.0,1
1,confirmation,clean_correct_only,same_unit_rank_before_city,1254,0.4,5
1,confirmation,clean_correct_only,same_unit_rank_before_city,1255,0.42857142857142855,7
1,confirmation,clean_correct_only,same_unit_rank_before_city,1256,0.25,4
1,confirmation,clean_correct_only,same_unit_rank_before_city,1257,0.6666666666666666,3
1,confirmation,clean_correct_only,same_unit_rank_before_city,1258,0.09523809523809523,7
1,confirmation,clean_correct_only,same_unit_rank_before_city,1259,0.5238095238095238,7
1,confirmation,clean_correct_only,same_unit_rank_before_city,1260,0.16666666666666666,6
1,confirmation,clean_correct_only,same_unit_rank_before_city,1261,0.3333333333333333,6
1,confirmation,clean_correct_only,same_unit_rank_before_city,1262,0.375,8
1,confirmation,clean_correct_only,same_unit_rank_before_city,1263,0.3333333333333333,3
1,confirmation,clean_correct_only,structural_invariant_bullet,1256,0.0,1
2,confirmation,all_examples,pooled,1254,0.25925925925925924,9
2,confirmation,all_examples,pooled,1255,0.25925925925925924,9
2,confirmation,all_examples,pooled,1256,0.4444444444444444,9
2,confirmation,all_examples,pooled,1257,0.18518518518518517,9
2,confirmation,all_examples,pooled,1258,0.2962962962962963,9
2,confirmation,all_examples,pooled,1259,0.2222222222222222,9
2,confirmation,all_examples,pooled,1260,0.3333333333333333,9
2,confirmation,all_examples,pooled,1261,0.14814814814814814,9
2,confirmation,all_examples,pooled,1262,0.48148148148148145,9
2,confirmation,all_examples,pooled,1263,0.37037037037037035,9
2,confirmation,all_examples,macro_primary_grammars,1254,0.2833333333333333,9
2,confirmation,all_examples,macro_primary_grammars,1255,0.16666666666666666,9
2,confirmation,all_examples,macro_primary_grammars,1256,0.5,8
2,confirmation,all_examples,macro_primary_grammars,1257,0.16666666666666663,9
2,confirmation,all_examples,macro_primary_grammars,1258,0.42857142857142855,9
2,confirmation,all_examples,macro_primary_grammars,1259,0.2222222222222222,9
2,confirmation,all_examples,macro_primary_grammars,1260,0.5555555555555556,9
2,confirmation,all_examples,macro_primary_grammars,1261,0.1111111111111111,9
2,confirmation,all_examples,macro_primary_grammars,1262,0.2708333333333333,9
2,confirmation,all_examples,macro_primary_grammars,1263,0.3055555555555555,9
2,confirmation,all_examples,adjacent_rank_after_city,1254,0.5,4
2,confirmation,all_examples,adjacent_rank_after_city,1255,0.0,2
2,confirmation,all_examples,adjacent_rank_after_city,1256,0.9166666666666666,4
2,confirmation,all_examples,adjacent_rank_after_city,1257,0.22222222222222218,6
2,confirmation,all_examples,adjacent_rank_after_city,1258,0.6666666666666666,2
2,confirmation,all_examples,adjacent_rank_after_city,1260,0.5,2
2,confirmation,all_examples,adjacent_rank_after_city,1261,0.0,3
2,confirmation,all_examples,adjacent_rank_after_city,1262,0.0,1
2,confirmation,all_examples,adjacent_rank_after_city,1263,0.5,6
2,confirmation,all_examples,adjacent_rank_before_city,1260,1.0,1
2,confirmation,all_examples,same_unit_rank_before_city,1254,0.06666666666666665,5
2,confirmation,all_examples,same_unit_rank_before_city,1255,0.3333333333333333,7
2,confirmation,all_examples,same_unit_rank_before_city,1256,0.08333333333333331,4
2,confirmation,all_examples,same_unit_rank_before_city,1257,0.11111111111111109,3
2,confirmation,all_examples,same_unit_rank_before_city,1258,0.19047619047619047,7
2,confirmation,all_examples,same_unit_rank_before_city,1259,0.2222222222222222,9
2,confirmation,all_examples,same_unit_rank_before_city,1260,0.16666666666666666,6
2,confirmation,all_examples,same_unit_rank_before_city,1261,0.2222222222222222,6
2,confirmation,all_examples,same_unit_rank_before_city,1262,0.5416666666666666,8
2,confirmation,all_examples,same_unit_rank_before_city,1263,0.11111111111111109,3
2,confirmation,all_examples,structural_invariant_bullet,1256,0.0,1
2,confirmation,clean_correct_only,pooled,1254,0.25925925925925924,9
2,confirmation,clean_correct_only,pooled,1255,0.29166666666666663,8
2,confirmation,clean_correct_only,pooled,1256,0.4444444444444444,9
2,confirmation,clean_correct_only,pooled,1257,0.18518518518518517,9
2,confirmation,clean_correct_only,pooled,1258,0.2962962962962963,9
2,confirmation,clean_correct_only,pooled,1259,0.2857142857142857,7
2,confirmation,clean_correct_only,pooled,1260,0.3333333333333333,9
2,confirmation,clean_correct_only,pooled,1261,0.14814814814814814,9
2,confirmation,clean_correct_only,pooled,1262,0.48148148148148145,9
2,confirmation,clean_correct_only,pooled,1263,0.37037037037037035,9
2,confirmation,clean_correct_only,macro_primary_grammars,1254,0.2833333333333333,9
2,confirmation,clean_correct_only,macro_primary_grammars,1255,0.16666666666666666,8
2,confirmation,clean_correct_only,macro_primary_grammars,1256,0.5,8
2,confirmation,clean_correct_only,macro_primary_grammars,1257,0.16666666666666663,9
2,confirmation,clean_correct_only,macro_primary_grammars,1258,0.42857142857142855,9
2,confirmation,clean_correct_only,macro_primary_grammars,1259,0.2857142857142857,7
2,confirmation,clean_correct_only,macro_primary_grammars,1260,0.5555555555555556,9
2,confirmation,clean_correct_only,macro_primary_grammars,1261,0.1111111111111111,9
2,confirmation,clean_correct_only,macro_primary_grammars,1262,0.2708333333333333,9
2,confirmation,clean_correct_only,macro_primary_grammars,1263,0.3055555555555555,9
2,confirmation,clean_correct_only,adjacent_rank_after_city,1254,0.5,4
2,confirmation,clean_correct_only,adjacent_rank_after_city,1255,0.0,1
2,confirmation,clean_correct_only,adjacent_rank_after_city,1256,0.9166666666666666,4
2,confirmation,clean_correct_only,adjacent_rank_after_city,1257,0.22222222222222218,6
2,confirmation,clean_correct_only,adjacent_rank_after_city,1258,0.6666666666666666,2
2,confirmation,clean_correct_only,adjacent_rank_after_city,1260,0.5,2
2,confirmation,clean_correct_only,adjacent_rank_after_city,1261,0.0,3
2,confirmation,clean_correct_only,adjacent_rank_after_city,1262,0.0,1
2,confirmation,clean_correct_only,adjacent_rank_after_city,1263,0.5,6
2,confirmation,clean_correct_only,adjacent_rank_before_city,1260,1.0,1
2,confirmation,clean_correct_only,same_unit_rank_before_city,1254,0.06666666666666665,5
2,confirmation,clean_correct_only,same_unit_rank_before_city,1255,0.3333333333333333,7
2,confirmation,clean_correct_only,same_unit_rank_before_city,1256,0.08333333333333331,4
2,confirmation,clean_correct_only,same_unit_rank_before_city,1257,0.11111111111111109,3
2,confirmation,clean_correct_only,same_unit_rank_before_city,1258,0.19047619047619047,7
2,confirmation,clean_correct_only,same_unit_rank_before_city,1259,0.2857142857142857,7
2,confirmation,clean_correct_only,same_unit_rank_before_city,1260,0.16666666666666666,6
2,confirmation,clean_correct_only,same_unit_rank_before_city,1261,0.2222222222222222,6
2,confirmation,clean_correct_only,same_unit_rank_before_city,1262,0.5416666666666666,8
2,confirmation,clean_correct_only,same_unit_rank_before_city,1263,0.11111111111111109,3
2,confirmation,clean_correct_only,structural_invariant_bullet,1256,0.0,1
4,confirmation,all_examples,pooled,1254,0.5555555555555556,9
4,confirmation,all_examples,pooled,1255,0.4444444444444444,9
4,confirmation,all_examples,pooled,1256,0.5555555555555556,9
4,confirmation,all_examples,pooled,1257,0.5925925925925926,9
4,confirmation,all_examples,pooled,1258,0.18518518518518517,9
4,confirmation,all_examples,pooled,1259,0.37037037037037035,9
4,confirmation,all_examples,pooled,1260,0.8518518518518519,9
4,confirmation,all_examples,pooled,1261,0.3333333333333333,9
4,confirmation,all_examples,pooled,1262,0.6296296296296297,9
4,confirmation,all_examples,pooled,1263,0.5555555555555556,9
4,confirmation,all_examples,macro_primary_grammars,1254,0.6,9
4,confirmation,all_examples,macro_primary_grammars,1255,0.2857142857142857,9
4,confirmation,all_examples,macro_primary_grammars,1256,0.625,8
4,confirmation,all_examples,macro_primary_grammars,1257,0.5833333333333333,9
4,confirmation,all_examples,macro_primary_grammars,1258,0.47619047619047616,9
4,confirmation,all_examples,macro_primary_grammars,1259,0.37037037037037035,9
4,confirmation,all_examples,macro_primary_grammars,1260,0.8888888888888888,9
4,confirmation,all_examples,macro_primary_grammars,1261,0.3333333333333333,9
4,confirmation,all_examples,macro_primary_grammars,1262,0.7916666666666667,9
4,confirmation,all_examples,macro_primary_grammars,1263,0.5,9
4,confirmation,all_examples,adjacent_rank_after_city,1254,1.0,4
4,confirmation,all_examples,adjacent_rank_after_city,1255,0.0,2
4,confirmation,all_examples,adjacent_rank_after_city,1256,0.8333333333333333,4
4,confirmation,all_examples,adjacent_rank_after_city,1257,0.611111111111111,6
4,confirmation,all_examples,adjacent_rank_after_city,1258,1.0,2
4,confirmation,all_examples,adjacent_rank_after_city,1260,0.8333333333333333,2
4,confirmation,all_examples,adjacent_rank_after_city,1261,0.3333333333333333,3
4,confirmation,all_examples,adjacent_rank_after_city,1262,1.0,1
4,confirmation,all_examples,adjacent_rank_after_city,1263,0.6666666666666666,6
4,confirmation,all_examples,adjacent_rank_before_city,1260,1.0,1
4,confirmation,all_examples,same_unit_rank_before_city,1254,0.19999999999999998,5
4,confirmation,all_examples,same_unit_rank_before_city,1255,0.5714285714285714,7
4,confirmation,all_examples,same_unit_rank_before_city,1256,0.41666666666666663,4
4,confirmation,all_examples,same_unit_rank_before_city,1257,0.5555555555555555,3
4,confirmation,all_examples,same_unit_rank_before_city,1258,-0.04761904761904764,7
4,confirmation,all_examples,same_unit_rank_before_city,1259,0.37037037037037035,9
4,confirmation,all_examples,same_unit_rank_before_city,1260,0.8333333333333334,6
4,confirmation,all_examples,same_unit_rank_before_city,1261,0.3333333333333333,6
4,confirmation,all_examples,same_unit_rank_before_city,1262,0.5833333333333334,8
4,confirmation,all_examples,same_unit_rank_before_city,1263,0.3333333333333333,3
4,confirmation,all_examples,structural_invariant_bullet,1256,0.0,1
4,confirmation,clean_correct_only,pooled,1254,0.5555555555555556,9
4,confirmation,clean_correct_only,pooled,1255,0.5,8
4,confirmation,clean_correct_only,pooled,1256,0.5555555555555556,9
4,confirmation,clean_correct_only,pooled,1257,0.5925925925925926,9
4,confirmation,clean_correct_only,pooled,1258,0.18518518518518517,9
4,confirmation,clean_correct_only,pooled,1259,0.47619047619047616,7
4,confirmation,clean_correct_only,pooled,1260,0.8518518518518519,9
4,confirmation,clean_correct_only,pooled,1261,0.3333333333333333,9
4,confirmation,clean_correct_only,pooled,1262,0.6296296296296297,9
4,confirmation,clean_correct_only,pooled,1263,0.5555555555555556,9
4,confirmation,clean_correct_only,macro_primary_grammars,1254,0.6,9
4,confirmation,clean_correct_only,macro_primary_grammars,1255,0.2857142857142857,8
4,confirmation,clean_correct_only,macro_primary_grammars,1256,0.625,8
4,confirmation,clean_correct_only,macro_primary_grammars,1257,0.5833333333333333,9
4,confirmation,clean_correct_only,macro_primary_grammars,1258,0.47619047619047616,9
4,confirmation,clean_correct_only,macro_primary_grammars,1259,0.47619047619047616,7
4,confirmation,clean_correct_only,macro_primary_grammars,1260,0.8888888888888888,9
4,confirmation,clean_correct_only,macro_primary_grammars,1261,0.3333333333333333,9
4,confirmation,clean_correct_only,macro_primary_grammars,1262,0.7916666666666667,9
4,confirmation,clean_correct_only,macro_primary_grammars,1263,0.5,9
4,confirmation,clean_correct_only,adjacent_rank_after_city,1254,1.0,4
4,confirmation,clean_correct_only,adjacent_rank_after_city,1255,0.0,1
4,confirmation,clean_correct_only,adjacent_rank_after_city,1256,0.8333333333333333,4
4,confirmation,clean_correct_only,adjacent_rank_after_city,1257,0.611111111111111,6
4,confirmation,clean_correct_only,adjacent_rank_after_city,1258,1.0,2
4,confirmation,clean_correct_only,adjacent_rank_after_city,1260,0.8333333333333333,2
4,confirmation,clean_correct_only,adjacent_rank_after_city,1261,0.3333333333333333,3
4,confirmation,clean_correct_only,adjacent_rank_after_city,1262,1.0,1
4,confirmation,clean_correct_only,adjacent_rank_after_city,1263,0.6666666666666666,6
4,confirmation,clean_correct_only,adjacent_rank_before_city,1260,1.0,1
4,confirmation,clean_correct_only,same_unit_rank_before_city,1254,0.19999999999999998,5
4,confirmation,clean_correct_only,same_unit_rank_before_city,1255,0.5714285714285714,7
4,confirmation,clean_correct_only,same_unit_rank_before_city,1256,0.41666666666666663,4
4,confirmation,clean_correct_only,same_unit_rank_before_city,1257,0.5555555555555555,3
4,confirmation,clean_correct_only,same_unit_rank_before_city,1258,-0.04761904761904764,7
4,confirmation,clean_correct_only,same_unit_rank_before_city,1259,0.47619047619047616,7
4,confirmation,clean_correct_only,same_unit_rank_before_city,1260,0.8333333333333334,6
4,confirmation,clean_correct_only,same_unit_rank_before_city,1261,0.3333333333333333,6
4,confirmation,clean_correct_only,same_unit_rank_before_city,1262,0.5833333333333334,8
4,confirmation,clean_correct_only,same_unit_rank_before_city,1263,0.3333333333333333,3
4,confirmation,clean_correct_only,structural_invariant_bullet,1256,0.0,1
6,confirmation,all_examples,pooled,1254,0.5925925925925926,9
6,confirmation,all_examples,pooled,1255,0.48148148148148145,9
6,confirmation,all_examples,pooled,1256,0.48148148148148145,9
6,confirmation,all_examples,pooled,1257,0.6296296296296295,9
6,confirmation,all_examples,pooled,1258,0.25925925925925924,9
6,confirmation,all_examples,pooled,1259,0.5185185185185185,9
6,confirmation,all_examples,pooled,1260,0.5555555555555556,9
6,confirmation,all_examples,pooled,1261,0.5555555555555556,9
6,confirmation,all_examples,pooled,1262,0.5555555555555556,9
6,confirmation,all_examples,pooled,1263,0.5185185185185185,9
6,confirmation,all_examples,macro_primary_grammars,1254,0.6333333333333333,9
6,confirmation,all_examples,macro_primary_grammars,1255,0.3095238095238095,9
6,confirmation,all_examples,macro_primary_grammars,1256,0.5416666666666666,8
6,confirmation,all_examples,macro_primary_grammars,1257,0.5555555555555555,9
6,confirmation,all_examples,macro_primary_grammars,1258,0.40476190476190477,9
6,confirmation,all_examples,macro_primary_grammars,1259,0.5185185185185185,9
6,confirmation,all_examples,macro_primary_grammars,1260,0.6666666666666666,9
6,confirmation,all_examples,macro_primary_grammars,1261,0.5833333333333333,9
6,confirmation,all_examples,macro_primary_grammars,1262,0.3125,9
6,confirmation,all_examples,macro_primary_grammars,1263,0.4444444444444444,9
6,confirmation,all_examples,adjacent_rank_after_city,1254,1.0,4
6,confirmation,all_examples,adjacent_rank_after_city,1255,0.0,2
6,confirmation,all_examples,adjacent_rank_after_city,1256,0.75,4
6,confirmation,all_examples,adjacent_rank_after_city,1257,0.7777777777777777,6
6,confirmation,all_examples,adjacent_rank_after_city,1258,0.6666666666666666,2
6,confirmation,all_examples,adjacent_rank_after_city,1260,0.5,2
6,confirmation,all_examples,adjacent_rank_after_city,1261,0.6666666666666666,3
6,confirmation,all_examples,adjacent_rank_after_city,1262,0.0,1
6,confirmation,all_examples,adjacent_rank_after_city,1263,0.6666666666666666,6
6,confirmation,all_examples,adjacent_rank_before_city,1260,1.0,1
6,confirmation,all_examples,same_unit_rank_before_city,1254,0.26666666666666666,5
6,confirmation,all_examples,same_unit_rank_before_city,1255,0.619047619047619,7
6,confirmation,all_examples,same_unit_rank_before_city,1256,0.3333333333333333,4
6,confirmation,all_examples,same_unit_rank_before_city,1257,0.3333333333333333,3
6,confirmation,all_examples,same_unit_rank_before_city,1258,0.14285714285714285,7
6,confirmation,all_examples,same_unit_rank_before_city,1259,0.5185185185185185,9
6,confirmation,all_examples,same_unit_rank_before_city,1260,0.5,6
6,confirmation,all_examples,same_unit_rank_before_city,1261,0.5,6
6,confirmation,all_examples,same_unit_rank_before_city,1262,0.625,8
6,confirmation,all_examples,same_unit_rank_before_city,1263,0.2222222222222222,3
6,confirmation,all_examples,structural_invariant_bullet,1256,0.0,1
6,confirmation,clean_correct_only,pooled,1254,0.5925925925925926,9
6,confirmation,clean_correct_only,pooled,1255,0.5416666666666666,8
6,confirmation,clean_correct_only,pooled,1256,0.48148148148148145,9
6,confirmation,clean_correct_only,pooled,1257,0.6296296296296295,9
6,confirmation,clean_correct_only,pooled,1258,0.25925925925925924,9
6,confirmation,clean_correct_only,pooled,1259,0.6666666666666666,7
6,confirmation,clean_correct_only,pooled,1260,0.5555555555555556,9
6,confirmation,clean_correct_only,pooled,1261,0.5555555555555556,9
6,confirmation,clean_correct_only,pooled,1262,0.5555555555555556,9
6,confirmation,clean_correct_only,pooled,1263,0.5185185185185185,9
6,confirmation,clean_correct_only,macro_primary_grammars,1254,0.6333333333333333,9
6,confirmation,clean_correct_only,macro_primary_grammars,1255,0.3095238095238095,8
6,confirmation,clean_correct_only,macro_primary_grammars,1256,0.5416666666666666,8
6,confirmation,clean_correct_only,macro_primary_grammars,1257,0.5555555555555555,9
6,confirmation,clean_correct_only,macro_primary_grammars,1258,0.40476190476190477,9
6,confirmation,clean_correct_only,macro_primary_grammars,1259,0.6666666666666666,7
6,confirmation,clean_correct_only,macro_primary_grammars,1260,0.6666666666666666,9
6,confirmation,clean_correct_only,macro_primary_grammars,1261,0.5833333333333333,9
6,confirmation,clean_correct_only,macro_primary_grammars,1262,0.3125,9
6,confirmation,clean_correct_only,macro_primary_grammars,1263,0.4444444444444444,9
6,confirmation,clean_correct_only,adjacent_rank_after_city,1254,1.0,4
6,confirmation,clean_correct_only,adjacent_rank_after_city,1255,0.0,1
6,confirmation,clean_correct_only,adjacent_rank_after_city,1256,0.75,4
6,confirmation,clean_correct_only,adjacent_rank_after_city,1257,0.7777777777777777,6
6,confirmation,clean_correct_only,adjacent_rank_after_city,1258,0.6666666666666666,2
6,confirmation,clean_correct_only,adjacent_rank_after_city,1260,0.5,2
6,confirmation,clean_correct_only,adjacent_rank_after_city,1261,0.6666666666666666,3
6,confirmation,clean_correct_only,adjacent_rank_after_city,1262,0.0,1
6,confirmation,clean_correct_only,adjacent_rank_after_city,1263,0.6666666666666666,6
6,confirmation,clean_correct_only,adjacent_rank_before_city,1260,1.0,1
6,confirmation,clean_correct_only,same_unit_rank_before_city,1254,0.26666666666666666,5
6,confirmation,clean_correct_only,same_unit_rank_before_city,1255,0.619047619047619,7
6,confirmation,clean_correct_only,same_unit_rank_before_city,1256,0.3333333333333333,4
