model_label,role,layer,algorithm,rows,seeds,count_classes,count_class_count,accuracy,accuracy_ci95_low,accuracy_ci95_high,seed_accuracy_sd,chance_accuracy,balanced_accuracy,count_mae,signed_error,pca_components
Gemma4-E4B,answer_query,0,logistic_l2,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.085,0.06000000000000001,0.11000000000000001,0.05871429486123998,0.1,0.085,3.335,-0.575,32
Gemma4-E4B,answer_query,0,ridge_classifier,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.09,0.07000000000000002,0.11000000000000001,0.0447213595499958,0.1,0.09,3.165,-0.995,32
Gemma4-E4B,answer_query,0,linear_svm,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.085,0.06500000000000002,0.10500000000000002,0.048936048492959294,0.1,0.085,3.1,0.01,32
Gemma4-E4B,answer_query,0,nearest_centroid,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.1,0.08000000000000002,0.12000000000000002,0.04588314677411236,0.1,0.1,3.29,-0.91,32
Gemma4-E4B,answer_query,0,shrinkage_lda,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.09,0.07000000000000002,0.11000000000000001,0.0447213595499958,0.1,0.09,3.19,-0.99,32
Gemma4-E4B,answer_query,0,knn_k5_cosine,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.1,0.10000000000000002,0.10000000000000002,1.4238309865648918e-17,0.1,0.1,3.7,-0.51,32
Gemma4-E4B,answer_query,1,logistic_l2,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.08,0.055000000000000014,0.10000000000000002,0.0523148363780597,0.1,0.08,3.24,-0.01,32
Gemma4-E4B,answer_query,1,ridge_classifier,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.085,0.07,0.10000000000000002,0.03663475485325233,0.1,0.08499999999999999,3.105,0.195,32
Gemma4-E4B,answer_query,1,linear_svm,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.085,0.06500000000000002,0.10500000000000002,0.0489360484929593,0.1,0.085,3.45,-0.22,32
Gemma4-E4B,answer_query,1,nearest_centroid,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.1,0.08000000000000002,0.12000000000000002,0.04588314677411236,0.1,0.1,3.185,-0.485,32
Gemma4-E4B,answer_query,1,shrinkage_lda,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.09,0.07500000000000002,0.10000000000000002,0.03077935056255462,0.1,0.09,3.105,0.285,32
Gemma4-E4B,answer_query,1,knn_k5_cosine,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.105,0.085,0.12500000000000003,0.05104177855340404,0.1,0.10500000000000001,3.465,0.035,32
Gemma4-E4B,answer_query,2,logistic_l2,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.11,0.09000000000000002,0.13000000000000003,0.0447213595499958,0.1,0.11000000000000001,3.135,-0.055,32
Gemma4-E4B,answer_query,2,ridge_classifier,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.095,0.07500000000000001,0.11500000000000003,0.05104177855340404,0.1,0.095,3.285,0.745,32
Gemma4-E4B,answer_query,2,linear_svm,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.1,0.08000000000000002,0.12000000000000002,0.04588314677411236,0.1,0.10000000000000002,3.245,-0.215,32
Gemma4-E4B,answer_query,2,nearest_centroid,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.11,0.09000000000000002,0.13000000000000003,0.0447213595499958,0.1,0.11000000000000001,3.11,0.91,32
Gemma4-E4B,answer_query,2,shrinkage_lda,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.09,0.07000000000000002,0.11000000000000001,0.0447213595499958,0.1,0.09,3.345,0.805,32
Gemma4-E4B,answer_query,2,knn_k5_cosine,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.095,0.07500000000000002,0.11000000000000003,0.03940344628262062,0.1,0.095,3.34,-0.48,32
Gemma4-E4B,answer_query,3,logistic_l2,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.125,0.11000000000000001,0.14500000000000005,0.04442616583193193,0.1,0.12500000000000003,3.005,0.065,32
Gemma4-E4B,answer_query,3,ridge_classifier,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.12,0.10500000000000002,0.14000000000000004,0.04103913408340616,0.1,0.12000000000000002,3.05,0.26,32
Gemma4-E4B,answer_query,3,linear_svm,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.115,0.09500000000000001,0.13500000000000004,0.048936048492959294,0.1,0.11500000000000002,3.005,-0.615,32
Gemma4-E4B,answer_query,3,nearest_centroid,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.095,0.08000000000000002,0.11000000000000003,0.039403446282620616,0.1,0.095,3.035,0.065,32
Gemma4-E4B,answer_query,3,shrinkage_lda,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.115,0.09500000000000001,0.13500000000000004,0.048936048492959294,0.1,0.11500000000000002,3.06,0.3,32
Gemma4-E4B,answer_query,3,knn_k5_cosine,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.09,0.07000000000000002,0.11000000000000001,0.0447213595499958,0.1,0.09000000000000001,3.38,-0.58,32
Gemma4-E4B,answer_query,4,logistic_l2,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.115,0.10000000000000002,0.13000000000000003,0.03663475485325233,0.1,0.11500000000000002,3.08,0.17,32
Gemma4-E4B,answer_query,4,ridge_classifier,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.11,0.10000000000000002,0.12500000000000003,0.03077935056255462,0.1,0.10999999999999999,3.2,0.6,32
Gemma4-E4B,answer_query,4,linear_svm,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.095,0.08500000000000002,0.10000000000000002,0.0223606797749979,0.1,0.095,3.205,0.485,32
Gemma4-E4B,answer_query,4,nearest_centroid,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.11,0.09000000000000002,0.13000000000000003,0.0447213595499958,0.1,0.11000000000000001,3.12,0.05,32
Gemma4-E4B,answer_query,4,shrinkage_lda,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.12,0.10500000000000002,0.14000000000000004,0.04103913408340616,0.1,0.12,3.2,0.6,32
Gemma4-E4B,answer_query,4,knn_k5_cosine,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.095,0.08,0.11000000000000003,0.03940344628262062,0.1,0.095,3.355,-0.745,32
Gemma4-E4B,answer_query,5,logistic_l2,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.225,0.17500000000000002,0.27999999999999997,0.12085223687584246,0.1,0.225,1.77,-0.11,32
Gemma4-E4B,answer_query,5,ridge_classifier,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.17,0.14000000000000004,0.20000000000000004,0.07326950970650464,0.1,0.17,2.395,-0.475,32
Gemma4-E4B,answer_query,5,linear_svm,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.18,0.14500000000000002,0.21500000000000002,0.08335087534664908,0.1,0.18,2.275,0.025,32
Gemma4-E4B,answer_query,5,nearest_centroid,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.225,0.18000000000000002,0.26999999999999996,0.10195458225163428,0.1,0.225,1.93,-0.17,32
Gemma4-E4B,answer_query,5,shrinkage_lda,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.19,0.15000000000000002,0.23499999999999993,0.0967906041546987,0.1,0.19,1.82,-0.1,32
Gemma4-E4B,answer_query,5,knn_k5_cosine,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.175,0.135,0.215,0.09665456669582607,0.1,0.175,2.215,0.285,32
Gemma4-E4B,answer_query,6,logistic_l2,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.235,0.19,0.28,0.10399898784932578,0.1,0.23500000000000001,1.665,-0.485,32
Gemma4-E4B,answer_query,6,ridge_classifier,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.165,0.13500000000000004,0.2,0.07451598203705946,0.1,0.165,2.315,-0.195,32
Gemma4-E4B,answer_query,6,linear_svm,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.155,0.13000000000000003,0.18000000000000005,0.06048053188292994,0.1,0.15499999999999997,2.58,-0.47,32
Gemma4-E4B,answer_query,6,nearest_centroid,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.205,0.155,0.26000000000000006,0.12763022245616643,0.1,0.205,2.045,-0.065,32
Gemma4-E4B,answer_query,6,shrinkage_lda,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.205,0.17000000000000004,0.24000000000000005,0.08255779474818965,0.1,0.20500000000000002,1.865,-0.365,32
Gemma4-E4B,answer_query,6,knn_k5_cosine,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.16,0.125,0.2,0.08825799501580876,0.1,0.16,2.21,-0.02,32
Gemma4-E4B,answer_query,7,logistic_l2,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.21,0.17500000000000002,0.24499999999999997,0.07880689256524122,0.1,0.21000000000000002,1.73,-0.43,32
Gemma4-E4B,answer_query,7,ridge_classifier,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.175,0.15000000000000002,0.205,0.0638666373658505,0.1,0.175,2.345,-0.365,32
Gemma4-E4B,answer_query,7,linear_svm,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.2,0.1698750000000001,0.23500000000000001,0.07947194142390263,0.1,0.2,2.385,-0.305,32
Gemma4-E4B,answer_query,7,nearest_centroid,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.195,0.16,0.23499999999999996,0.08870412083230168,0.1,0.195,1.88,-0.23,32
Gemma4-E4B,answer_query,7,shrinkage_lda,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.22,0.17500000000000002,0.265,0.10563093645728086,0.1,0.21999999999999997,1.86,-0.47,32
Gemma4-E4B,answer_query,7,knn_k5_cosine,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.18,0.14500000000000002,0.215,0.08335087534664908,0.1,0.18,2.115,-0.495,32
Gemma4-E4B,answer_query,8,logistic_l2,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.24,0.195,0.28500000000000003,0.10954451150103321,0.1,0.24,1.75,-0.51,32
Gemma4-E4B,answer_query,8,ridge_classifier,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.165,0.13500000000000004,0.19512499999999824,0.07451598203705946,0.1,0.16499999999999998,2.525,-0.165,32
Gemma4-E4B,answer_query,8,linear_svm,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.185,0.15500000000000005,0.22000000000000003,0.07451598203705947,0.1,0.185,2.485,-0.285,32
Gemma4-E4B,answer_query,8,nearest_centroid,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.2,0.14500000000000005,0.26,0.13377121081198773,0.1,0.2,2.125,-0.095,32
Gemma4-E4B,answer_query,8,shrinkage_lda,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.235,0.19000000000000003,0.28,0.10399898784932578,0.1,0.23500000000000001,1.56,-0.14,32
Gemma4-E4B,answer_query,8,knn_k5_cosine,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.155,0.12000000000000002,0.195,0.08870412083230168,0.1,0.15499999999999997,2.43,-0.07,32
Gemma4-E4B,answer_query,9,logistic_l2,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.23,0.18500000000000005,0.275,0.10310954828418376,0.1,0.22999999999999998,1.705,-0.155,32
Gemma4-E4B,answer_query,9,ridge_classifier,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.19,0.15000000000000005,0.22999999999999998,0.09119095061289915,0.1,0.19,2.16,0.04,32
Gemma4-E4B,answer_query,9,linear_svm,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.18,0.15000000000000002,0.21500000000000002,0.07677718959499145,0.1,0.18,2.36,-0.41,32
Gemma4-E4B,answer_query,9,nearest_centroid,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.185,0.14500000000000005,0.22999999999999998,0.09880869341680844,0.1,0.185,2.53,-0.02,32
Gemma4-E4B,answer_query,9,shrinkage_lda,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.23,0.17500000000000002,0.28500000000000003,0.13018205875255096,0.1,0.22999999999999998,1.855,-0.045,32
Gemma4-E4B,answer_query,9,knn_k5_cosine,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.12,0.1,0.14500000000000002,0.05231483637805969,0.1,0.12000000000000002,2.66,0.2,32
Gemma4-E4B,answer_query,10,logistic_l2,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.235,0.19,0.285,0.10894228312566054,0.1,0.23499999999999996,1.755,-0.275,32
Gemma4-E4B,answer_query,10,ridge_classifier,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.19,0.14500000000000002,0.23500000000000001,0.10711528467275953,0.1,0.19,2.435,-0.745,32
Gemma4-E4B,answer_query,10,linear_svm,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.18,0.145,0.22000000000000003,0.08944271909999159,0.1,0.18,2.07,-0.11,32
Gemma4-E4B,answer_query,10,nearest_centroid,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.2,0.15,0.26,0.13377121081198773,0.1,0.2,2.36,0.07,32
Gemma4-E4B,answer_query,10,shrinkage_lda,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.245,0.18000000000000002,0.31499999999999995,0.15719582155957412,0.1,0.24500000000000002,1.78,-0.28,32
