kind,model_label,request_id,sequence_source,trace_category,causal_cohort,grammar_signature,reason
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N2_seed1234,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,same_unit_rank_before_city,not_primary:occurrence_retrieval_only_duplicates
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N8_seed1234,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,adjacent_rank_before_city,not_primary:occurrence_retrieval_only_duplicates
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N1_seed1235,structural_fallback,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,structural_unmarked,not_primary:occurrence_retrieval_only_duplicates
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1235,structural_fallback,one_to_one,secondary_structural_marker_neutral,structural_unmarked,not_primary:secondary_structural_marker_neutral
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N7_seed1235,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,adjacent_rank_before_city,not_primary:occurrence_retrieval_only_duplicates
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1236,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,adjacent_rank_before_city,not_primary:occurrence_retrieval_only_duplicates
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N4_seed1236,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,adjacent_rank_after_city + adjacent_rank_before_city,not_primary:occurrence_retrieval_only_duplicates
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N5_seed1236,structural_fallback,one_to_one,secondary_structural_marker_neutral,structural_unmarked,not_primary:secondary_structural_marker_neutral
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N4_seed1237,structural_extension,one_to_one,secondary_structural_recap,structural_unmarked,not_primary:secondary_structural_recap
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N5_seed1237,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,adjacent_rank_before_city,not_primary:occurrence_retrieval_only_duplicates
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1238,structural_extension,one_to_one,secondary_structural_recap,structural_unmarked,not_primary:secondary_structural_recap
