model_label,stage,mechanism,scope,bank_size,signed_count_gap,metric,primary_endpoint,seed_clusters,effect,ci95_low,ci95_high,sign_flip_p,sign_flip_method,sign_flip_assignments,holm_p_within_model,holm_family,holm_family_size,holm_p_cross_model,holm_significant_0_05,source_statistics,source_sha256
Gemma4-E4B,answer_aggregation_ablation,answer_prompt_aggregation,confirmation_actual_greedy_count,1,,absolute_error,False,21,0.0,0.0,0.0,1.0,deterministic_monte_carlo,1000000,1.0,answer_aggregation_ablation::answer_prompt_aggregation::confirmation_actual_greedy_count::absolute_error,9,1.0,False,/lambda/nfs/CoT-Native-thinking-v5/runs/v5_native_thinking_representation/Gemma4-E4B/corrected_causal_chain_v2/answer_aggregation_factorial/analysis/statistics.csv,fb4de90f46e4db457ac69778520b71c433e9930e2a6aaeb7d73dcb83ab4331f2
Gemma4-E4B,answer_aggregation_ablation,answer_prompt_aggregation,confirmation_actual_greedy_count,2,,absolute_error,False,21,0.0,0.0,0.0,1.0,deterministic_monte_carlo,1000000,1.0,answer_aggregation_ablation::answer_prompt_aggregation::confirmation_actual_greedy_count::absolute_error,9,1.0,False,/lambda/nfs/CoT-Native-thinking-v5/runs/v5_native_thinking_representation/Gemma4-E4B/corrected_causal_chain_v2/answer_aggregation_factorial/analysis/statistics.csv,fb4de90f46e4db457ac69778520b71c433e9930e2a6aaeb7d73dcb83ab4331f2
Gemma4-E4B,answer_aggregation_ablation,answer_prompt_aggregation,confirmation_actual_greedy_count,4,,absolute_error,False,21,0.0,0.0,0.0,1.0,deterministic_monte_carlo,1000000,1.0,answer_aggregation_ablation::answer_prompt_aggregation::confirmation_actual_greedy_count::absolute_error,9,1.0,False,/lambda/nfs/CoT-Native-thinking-v5/runs/v5_native_thinking_representation/Gemma4-E4B/corrected_causal_chain_v2/answer_aggregation_factorial/analysis/statistics.csv,fb4de90f46e4db457ac69778520b71c433e9930e2a6aaeb7d73dcb83ab4331f2
Qwen3-8B,answer_aggregation_ablation,answer_prompt_aggregation,confirmation_actual_greedy_count,1,,absolute_error,False,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,1.0,answer_aggregation_ablation::answer_prompt_aggregation::confirmation_actual_greedy_count::absolute_error,9,1.0,False,/lambda/nfs/CoT-Native-thinking-v5/runs/v5_native_thinking_representation/Qwen3-8B/corrected_causal_chain_v2/answer_aggregation_factorial/analysis/statistics.csv,45b46ee769c10cbeaf2c0875e918b91e7c31f44024c30f4bfbcd9b87c729b080
Qwen3-8B,answer_aggregation_ablation,answer_prompt_aggregation,confirmation_actual_greedy_count,16,,absolute_error,False,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,1.0,answer_aggregation_ablation::answer_prompt_aggregation::confirmation_actual_greedy_count::absolute_error,9,1.0,False,/lambda/nfs/CoT-Native-thinking-v5/runs/v5_native_thinking_representation/Qwen3-8B/corrected_causal_chain_v2/answer_aggregation_factorial/analysis/statistics.csv,45b46ee769c10cbeaf2c0875e918b91e7c31f44024c30f4bfbcd9b87c729b080
Qwen3-8B,answer_aggregation_ablation,answer_prompt_aggregation,confirmation_actual_greedy_count,2,,absolute_error,False,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,1.0,answer_aggregation_ablation::answer_prompt_aggregation::confirmation_actual_greedy_count::absolute_error,9,1.0,False,/lambda/nfs/CoT-Native-thinking-v5/runs/v5_native_thinking_representation/Qwen3-8B/corrected_causal_chain_v2/answer_aggregation_factorial/analysis/statistics.csv,45b46ee769c10cbeaf2c0875e918b91e7c31f44024c30f4bfbcd9b87c729b080
Qwen3-8B,answer_aggregation_ablation,answer_prompt_aggregation,confirmation_actual_greedy_count,32,,absolute_error,False,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,1.0,answer_aggregation_ablation::answer_prompt_aggregation::confirmation_actual_greedy_count::absolute_error,9,1.0,False,/lambda/nfs/CoT-Native-thinking-v5/runs/v5_native_thinking_representation/Qwen3-8B/corrected_causal_chain_v2/answer_aggregation_factorial/analysis/statistics.csv,45b46ee769c10cbeaf2c0875e918b91e7c31f44024c30f4bfbcd9b87c729b080
Qwen3-8B,answer_aggregation_ablation,answer_prompt_aggregation,confirmation_actual_greedy_count,4,,absolute_error,False,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,1.0,answer_aggregation_ablation::answer_prompt_aggregation::confirmation_actual_greedy_count::absolute_error,9,1.0,False,/lambda/nfs/CoT-Native-thinking-v5/runs/v5_native_thinking_representation/Qwen3-8B/corrected_causal_chain_v2/answer_aggregation_factorial/analysis/statistics.csv,45b46ee769c10cbeaf2c0875e918b91e7c31f44024c30f4bfbcd9b87c729b080
Qwen3-8B,answer_aggregation_ablation,answer_prompt_aggregation,confirmation_actual_greedy_count,8,,absolute_error,False,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,1.0,answer_aggregation_ablation::answer_prompt_aggregation::confirmation_actual_greedy_count::absolute_error,9,1.0,False,/lambda/nfs/CoT-Native-thinking-v5/runs/v5_native_thinking_representation/Qwen3-8B/corrected_causal_chain_v2/answer_aggregation_factorial/analysis/statistics.csv,45b46ee769c10cbeaf2c0875e918b91e7c31f44024c30f4bfbcd9b87c729b080
Gemma4-E4B,answer_aggregation_ablation,answer_prompt_aggregation,confirmation_actual_greedy_count,1,,all_absolute_shift,True,21,0.0,0.0,0.0,1.0,deterministic_monte_carlo,1000000,1.0,answer_aggregation_ablation::answer_prompt_aggregation::confirmation_actual_greedy_count::all_absolute_shift,9,1.0,False,/lambda/nfs/CoT-Native-thinking-v5/runs/v5_native_thinking_representation/Gemma4-E4B/corrected_causal_chain_v2/answer_aggregation_factorial/analysis/statistics.csv,fb4de90f46e4db457ac69778520b71c433e9930e2a6aaeb7d73dcb83ab4331f2
