model_label,role,layer,algorithm,gold_count,predicted_count,rows
Qwen3-8B,prompt_running,0,knn_k5_cosine,1,1,18
Qwen3-8B,prompt_running,0,knn_k5_cosine,1,2,3
Qwen3-8B,prompt_running,0,knn_k5_cosine,1,3,1
Qwen3-8B,prompt_running,0,knn_k5_cosine,1,4,4
Qwen3-8B,prompt_running,0,knn_k5_cosine,1,6,1
Qwen3-8B,prompt_running,0,knn_k5_cosine,1,7,2
Qwen3-8B,prompt_running,0,knn_k5_cosine,1,9,1
Qwen3-8B,prompt_running,0,knn_k5_cosine,2,1,10
Qwen3-8B,prompt_running,0,knn_k5_cosine,2,2,10
Qwen3-8B,prompt_running,0,knn_k5_cosine,2,3,3
Qwen3-8B,prompt_running,0,knn_k5_cosine,2,4,2
Qwen3-8B,prompt_running,0,knn_k5_cosine,2,5,1
Qwen3-8B,prompt_running,0,knn_k5_cosine,2,6,1
Qwen3-8B,prompt_running,0,knn_k5_cosine,2,7,1
Qwen3-8B,prompt_running,0,knn_k5_cosine,2,8,1
Qwen3-8B,prompt_running,0,knn_k5_cosine,2,9,1
Qwen3-8B,prompt_running,0,knn_k5_cosine,3,1,6
Qwen3-8B,prompt_running,0,knn_k5_cosine,3,2,5
Qwen3-8B,prompt_running,0,knn_k5_cosine,3,3,4
Qwen3-8B,prompt_running,0,knn_k5_cosine,3,4,8
Qwen3-8B,prompt_running,0,knn_k5_cosine,3,5,1
Qwen3-8B,prompt_running,0,knn_k5_cosine,3,6,2
Qwen3-8B,prompt_running,0,knn_k5_cosine,3,7,1
Qwen3-8B,prompt_running,0,knn_k5_cosine,3,8,1
Qwen3-8B,prompt_running,0,knn_k5_cosine,3,9,2
Qwen3-8B,prompt_running,0,knn_k5_cosine,4,1,9
Qwen3-8B,prompt_running,0,knn_k5_cosine,4,2,8
Qwen3-8B,prompt_running,0,knn_k5_cosine,4,3,1
Qwen3-8B,prompt_running,0,knn_k5_cosine,4,4,3
Qwen3-8B,prompt_running,0,knn_k5_cosine,4,5,1
Qwen3-8B,prompt_running,0,knn_k5_cosine,4,6,1
Qwen3-8B,prompt_running,0,knn_k5_cosine,4,7,3
Qwen3-8B,prompt_running,0,knn_k5_cosine,4,8,1
Qwen3-8B,prompt_running,0,knn_k5_cosine,4,9,3
Qwen3-8B,prompt_running,0,knn_k5_cosine,5,1,8
Qwen3-8B,prompt_running,0,knn_k5_cosine,5,2,1
Qwen3-8B,prompt_running,0,knn_k5_cosine,5,3,4
Qwen3-8B,prompt_running,0,knn_k5_cosine,5,4,1
Qwen3-8B,prompt_running,0,knn_k5_cosine,5,5,4
Qwen3-8B,prompt_running,0,knn_k5_cosine,5,6,4
Qwen3-8B,prompt_running,0,knn_k5_cosine,5,7,3
Qwen3-8B,prompt_running,0,knn_k5_cosine,5,8,1
Qwen3-8B,prompt_running,0,knn_k5_cosine,5,9,3
