model,mode,target,candidate,label,formula,k,parsed_n,seed_cv_mse,seed_cv_rmse,seed_cv_mae,seed_cv_se,request_oof_r2,request_oof_rmse,request_oof_mae,request_oof_median_ae,request_oof_nrmse_sd,cell_crossfit_r2,cell_crossfit_rmse,cell_crossfit_mae,cell_crossfit_median_ae,cell_crossfit_nrmse_sd,cell_fit_r2,cell_adjusted_r2,cell_fit_rmse,cell_fit_mae,cell_fit_median_ae,cell_fit_nrmse_sd,cell_sse_deviance,cell_log_likelihood,cell_aic,cell_aicc,cell_bic,leave_N_out_r2,leave_N_out_rmse,leave_N_out_mae,leave_L_out_r2,leave_L_out_rmse,leave_L_out_mae,residual_spearman_N,residual_spearman_L,abs_residual_spearman_fitted,max_abs_cell_residual
Qwen3-1.7B,direct,signed_error,constant,constant,b=\alpha,1,500,143.72014222222225,11.98833358821076,6.0061688888888884,40.2852606876207,-0.012570047220030522,11.988333588210757,6.006168888888889,2.9222222222222225,1.0052586269839172,0.0,4.97099587607956,3.6,2.3499999999999996,0.9899494936611664,0.0,0.0,4.97099587607956,3.6,2.3499999999999996,0.9899494936611664,1235.54,-151.12793653605604,306.2558730721121,306.51119222104825,310.0799190829684,-0.09528825003192498,5.2024464330629,3.7503111111111114,-0.17020503180795443,5.3774252667982285,3.9800999999999997,-0.25989655414108526,0.5714725112648864,,14.200000000000001
Qwen3-1.7B,direct,signed_error,N,N,b=\alpha+\beta_NN,2,500,137.76945751057124,11.737523482854943,5.6430912803483775,44.68913970071968,0.029355078975233262,11.737523482854945,5.643091280348378,4.093651417835455,0.9842274285868675,0.3125563125853452,4.121563231465223,3.1592734041158748,2.95,0.820789140806798,0.3125563125853452,0.29823456909754,4.121563231465223,3.159273404115874,2.95,0.820789140806798,849.3641735483026,-141.75855248577602,289.51710497155204,290.03884410198685,295.2531739878365,0.1261539911259858,4.646873567903907,3.450775761775111,0.10522014787125633,4.702204373480906,3.7448724603486694,0.1078472062454972,0.6316351206282811,-0.05042520381500875,12.004553676759738
Qwen3-1.7B,direct,signed_error,L,L,b=\alpha+\beta_LL_k,2,500,139.78647834182806,11.82313318633551,5.7260425688073395,36.78350503766833,0.015144302066930848,11.82313318633551,5.7260425688073395,3.0655351681957184,0.9914060654127566,0.23903887510167154,4.336353095071666,3.0688440366972474,1.9222935779816508,0.8635634906596977,0.23903887510167154,0.2231855183329564,4.336353095071666,3.0688440366972487,1.9222935779816521,0.8635634906596977,940.1979082568807,-144.2986113695869,294.5972227391738,295.1189618696086,300.3332917554582,0.11075737203058411,4.687632316130036,3.319599184505606,-0.21357435221498888,5.476165912635787,3.8957029322349768,-0.26250688590674903,0.058803750622825904,0.2136536272629341,15.016880733944955
Qwen3-1.7B,direct,signed_error,lnN,ln N,b=\alpha+\beta_N\ln N,2,500,141.57085303148818,11.89835505569943,6.056033481515473,43.06817618548751,0.0025726170140892846,11.89835505569943,6.056033481515474,4.40916697491933,0.9977136504127518,0.14873229485760053,4.586448081929284,3.4946761068321,2.917267066196655,0.9133686829750358,0.14873229485760064,0.13099755100046728,4.586448081929283,3.4946761068320997,2.917267066196655,0.9133686829750356,1051.77530041164,-147.10222096750175,300.2044419350035,300.7261810654383,305.94051095128793,-0.21193984093882334,5.472476863493447,4.14456803506808,-0.07452264851908841,5.152893775639615,4.052417024609663,0.005549185108828715,0.5806730938281714,-0.15754860330718048,12.1434875099819
Qwen3-1.7B,direct,signed_error,lnL,ln L,b=\alpha+\beta_L\ln L_k,2,500,139.05404264456632,11.792117818465279,5.7591694858974,36.24209071967316,0.02030462571464353,11.792117818465279,5.759169485897399,3.222425623410905,0.9888053314666067,0.27080937220634616,4.244865576821417,3.085030578144189,2.118799059401824,0.84534419926902,0.27080937220634616,0.2556179007939784,4.244865576821417,3.085030578144191,2.11879905940183,0.84534419926902,900.9441882641711,-143.23243431145022,292.46486862290044,292.98660775333525,298.2009376391849,0.14819516985140024,4.587894811003847,3.342880770507853,0.2197961395412057,4.390838365850555,3.1911518731757775,-0.2740880720496938,-0.0617439381539672,0.042142687946358566,14.52938402240811
Qwen3-1.7B,direct,signed_error,density,N/L,b=\alpha+\beta_DN/L_k,2,500,133.57311730709608,11.557383670498098,5.661348382415451,37.83300607937898,0.05892009562692968,11.557383670498098,5.66134838241545,3.7792597715171086,0.9691221515187465,0.4382743861694709,3.7256797095621943,2.705112240192967,2.153966193876955,0.7419508754317353,0.4382743861694709,0.4265717692146682,3.7256797095621943,2.705112240192967,2.153966193876953,0.7419508754317353,694.0344649121719,-136.7093920377914,279.4187840755828,279.9405232060176,285.1548530918672,0.3995511470741331,3.8519568422920463,2.787845024332051,0.23727327718372182,4.341380828972332,3.263127781620743,0.1614011550777035,0.28027768771861444,0.17278858634535116,11.925470045888325
Qwen3-1.7B,direct,signed_error,inv_density,L/N,b=\alpha+\beta_D L_k/N,2,500,141.1263002115084,11.879659094919703,5.916857300986767,40.40412859909804,0.005704682310982201,11.879659094919703,5.916857300986766,3.4898994992809738,0.996145936624569,0.139947051088265,4.610053840246131,3.484403737011208,2.31998817107802,0.9180696541839841,0.139947051088265,0.12202928131927049,4.610053840246131,3.4844037370112084,2.31998817107802,0.9180696541839841,1062.629820498405,-147.35890345786032,300.71780691572064,301.23954604615545,306.4538759320051,-0.7027988084225276,6.486718800377229,4.441637231941209,0.019313423340267755,4.922758358737844,3.6844084217718374,-0.11121963003112305,0.42629648306852197,0.1050481528003874,10.06191838817282
Qwen3-1.7B,direct,signed_error,product,NL,b=\alpha+\beta_PNL_k,2,500,149.40400683264286,12.22309317777799,6.0886998931033975,45.41173123646101,-0.05261531135612474,12.223093177777992,6.0886998931033975,3.2123037418384155,1.0249439402881566,0.01253192778123191,4.939749592740864,3.6109230529669816,2.2669888427385194,0.9837269492976152,0.01253192778123191,-0.008040323723325749,4.939749592740864,3.610923052966981,2.2669888427385194,0.9837269492976152,1220.0563019491767,-150.81265866955832,307.62531733911663,308.14705646955144,313.36138635540107,-0.640486712120846,6.3669253997416835,4.323817945424595,-0.2080714799991883,5.4637361510201,4.150743304109612,-0.21158268012428397,0.6193548903432318,-0.5413204891519129,14.039226777427555
Qwen3-1.7B,direct,signed_error,ln_product,ln(NL),b=\alpha+\beta_P\ln(NL_k),2,500,146.4064988107542,12.09985532189349,6.0368140585073125,41.15607373182446,-0.03149658163365321,12.099855321893488,6.0368140585073125,3.098674077534355,1.0146100672033498,0.0018838811601231686,4.96631128599773,3.548746952999521,2.158599958811301,0.9890165804793563,0.0018838811601231686,-0.01891020464904103,4.96631128599773,3.5487469529995206,2.158599958811301,0.9890165804793563,1233.2123894714214,-151.0807950886554,308.1615901773108,308.6833293077456,313.89765919359525,-0.3272651059864766,5.7269348329634955,4.003358192028473,-0.2123480369095625,5.473398384044853,4.023630343433844,-0.30036537828361864,0.5360555775597277,0.676650611439891,14.163958827874856
Qwen3-1.7B,direct,signed_error,ln_density,ln(N/L),b=\alpha+\beta_R\ln(N/L_k),2,500,134.62217239605886,11.602679535178883,5.616426860861873,39.29498730035054,0.05152905255848472,11.602679535178885,5.616426860861873,3.413538349542642,0.9729203490248481,0.3980727838090796,3.8566958726156506,2.9232254460527174,2.1154017160320144,0.7680421029260713,0.3980727838090795,0.3855326334717687,3.856695872615651,2.9232254460527174,2.115401716032015,0.7680421029260713,743.7051526925299,-138.43746792805467,282.87493585610935,283.39667498654416,288.6110048723938,0.1998228651649634,4.446686085556482,3.3824913354952533,0.35033223004067315,4.006720645354618,3.0266373953650207,0.16188366974161292,0.09309923193450478,0.05447119319123062,9.593391920280322
Qwen3-1.7B,direct,signed_error,N_L,N + L,b=\alpha+\beta_NN+\beta_LL_k,3,500,133.83579363017708,11.568742093684044,5.355145220935887,41.25323053687511,0.057069428262194744,11.568742093684046,5.355145220935887,3.154478291096173,0.9700745902219735,0.5515951876870167,3.3287297331119667,2.403541656234479,1.5899314902935537,0.6629002308543296,0.5515951876870169,0.5325141318439113,3.3287297331119667,2.4035416562344802,1.5899314902935666,0.6629002308543296,554.0220818051832,-131.07646514470653,270.15293028941306,271.041819178302,277.8010223111256,0.33219961318849534,4.062250829087457,2.866710263822946,0.061850827464225544,4.814812205340621,3.3235639953762144,0.19758975487091057,0.011759902981200604,0.18540216086434572,9.195658165786991
Qwen3-1.7B,direct,signed_error,N_lnL,N + ln L,b=\alpha+\beta_NN+\beta_L\ln L_k,3,500,133.1033579329154,11.537042859108888,5.326062547833265,40.72235444805119,0.062229751909907205,11.537042859108888,5.326062547833264,3.046366242497551,0.9674165119502109,0.5833656847916913,3.208639468100066,2.2713169320432613,1.4181536274953852,0.6389848424682252,0.5833656847916913,0.565636564995593,3.208639468100066,2.271316932043261,1.418153627495388,0.6389848424682252,514.7683618124737,-129.23927693934675,266.4785538786935,267.3674427675824,274.12664590040606,0.3696374110093108,3.946740916760451,2.7651388511619786,0.4952213192204161,3.531782131588547,2.5869104540276924,0.21110016546037455,-0.12347898130260637,0.09195678271308522,8.171219991771544
