model_label,role,layer,algorithm,gold_count,predicted_count,rows
Qwen3-8B,answer_query,0,knn_k5_cosine,1,1,4
Qwen3-8B,answer_query,0,knn_k5_cosine,1,2,6
Qwen3-8B,answer_query,0,knn_k5_cosine,1,4,3
Qwen3-8B,answer_query,0,knn_k5_cosine,1,5,1
Qwen3-8B,answer_query,0,knn_k5_cosine,1,6,1
Qwen3-8B,answer_query,0,knn_k5_cosine,1,8,3
Qwen3-8B,answer_query,0,knn_k5_cosine,2,1,6
Qwen3-8B,answer_query,0,knn_k5_cosine,2,2,6
Qwen3-8B,answer_query,0,knn_k5_cosine,2,4,3
Qwen3-8B,answer_query,0,knn_k5_cosine,2,5,1
Qwen3-8B,answer_query,0,knn_k5_cosine,2,6,1
Qwen3-8B,answer_query,0,knn_k5_cosine,2,8,3
Qwen3-8B,answer_query,0,knn_k5_cosine,3,1,5
Qwen3-8B,answer_query,0,knn_k5_cosine,3,2,4
Qwen3-8B,answer_query,0,knn_k5_cosine,3,4,2
Qwen3-8B,answer_query,0,knn_k5_cosine,3,5,1
Qwen3-8B,answer_query,0,knn_k5_cosine,3,6,1
Qwen3-8B,answer_query,0,knn_k5_cosine,3,8,3
Qwen3-8B,answer_query,0,knn_k5_cosine,4,1,5
Qwen3-8B,answer_query,0,knn_k5_cosine,4,2,5
Qwen3-8B,answer_query,0,knn_k5_cosine,4,4,3
Qwen3-8B,answer_query,0,knn_k5_cosine,4,5,1
Qwen3-8B,answer_query,0,knn_k5_cosine,4,6,1
Qwen3-8B,answer_query,0,knn_k5_cosine,4,8,3
Qwen3-8B,answer_query,0,knn_k5_cosine,5,1,4
Qwen3-8B,answer_query,0,knn_k5_cosine,5,2,5
Qwen3-8B,answer_query,0,knn_k5_cosine,5,4,2
Qwen3-8B,answer_query,0,knn_k5_cosine,5,5,1
Qwen3-8B,answer_query,0,knn_k5_cosine,5,6,1
Qwen3-8B,answer_query,0,knn_k5_cosine,5,8,1
Qwen3-8B,answer_query,0,knn_k5_cosine,6,1,1
Qwen3-8B,answer_query,0,knn_k5_cosine,6,2,2
Qwen3-8B,answer_query,0,knn_k5_cosine,6,4,2
Qwen3-8B,answer_query,0,knn_k5_cosine,6,6,1
Qwen3-8B,answer_query,0,knn_k5_cosine,6,8,1
Qwen3-8B,answer_query,0,knn_k5_cosine,8,1,2
