model_label,feature_set,target,model,rows,groups,heldout_r2_log1p,heldout_mae_log1p,numeric_factors,categorical_factors,post_outcome_diagnostic,feature_order,incremental_r2
Gemma4-E4B,count_only,count_axis_deviation_abs,elastic_net,3000,10,0.09355521276504819,0.4859333665952348,"[""running_index""]",[],False,0,
Gemma4-E4B,plus_endpoint_position,count_axis_deviation_abs,elastic_net,3000,10,0.17664236571744374,0.45610011921932503,"[""running_index"", ""count_progress"", ""token_start"", ""token_end"", ""token_span"", ""prompt_progress"", ""previous_endpoint_gap""]",[],False,1,0.08308715295239555
Gemma4-E4B,plus_content_context,count_axis_deviation_abs,elastic_net,3000,10,0.1811765516815821,0.4544806646637021,"[""running_index"", ""count_progress"", ""token_start"", ""token_end"", ""token_span"", ""prompt_progress"", ""previous_endpoint_gap"", ""input_tokens"", ""score"", ""realization_seed"", ""content_seed""]","[""city"", ""haystack_source_mode"", ""haystack_source_files""]",False,2,0.004534185964138349
Gemma4-E4B,plus_outcome_diagnostic,count_axis_deviation_abs,elastic_net,3000,10,0.1796648628660934,0.4552403817102092,"[""running_index"", ""count_progress"", ""token_start"", ""token_end"", ""token_span"", ""prompt_progress"", ""previous_endpoint_gap"", ""input_tokens"", ""score"", ""realization_seed"", ""content_seed"", ""absolute_deviation""]","[""city"", ""haystack_source_mode"", ""haystack_source_files"", ""baseline_correct"", ""predicted_count""]",True,3,-0.0015116888154886876
Gemma4-E4B,count_only,count_axis_deviation_abs,extra_trees,3000,10,0.3106032194494932,0.4118637859957332,"[""running_index""]",[],False,0,
Gemma4-E4B,plus_endpoint_position,count_axis_deviation_abs,extra_trees,3000,10,0.49491466195695577,0.33815479564422013,"[""running_index"", ""count_progress"", ""token_start"", ""token_end"", ""token_span"", ""prompt_progress"", ""previous_endpoint_gap""]",[],False,1,0.18431144250746256
Gemma4-E4B,plus_content_context,count_axis_deviation_abs,extra_trees,3000,10,0.41632697262604546,0.37624146518854223,"[""running_index"", ""count_progress"", ""token_start"", ""token_end"", ""token_span"", ""prompt_progress"", ""previous_endpoint_gap"", ""input_tokens"", ""score"", ""realization_seed"", ""content_seed""]","[""city"", ""haystack_source_mode"", ""haystack_source_files""]",False,2,-0.07858768933091032
Gemma4-E4B,plus_outcome_diagnostic,count_axis_deviation_abs,extra_trees,3000,10,0.3961985229506658,0.3848135716872439,"[""running_index"", ""count_progress"", ""token_start"", ""token_end"", ""token_span"", ""prompt_progress"", ""previous_endpoint_gap"", ""input_tokens"", ""score"", ""realization_seed"", ""content_seed"", ""absolute_deviation""]","[""city"", ""haystack_source_mode"", ""haystack_source_files"", ""baseline_correct"", ""predicted_count""]",True,3,-0.020128449675379634
Gemma4-E4B,count_only,count_axis_deviation_abs,hist_gradient_boosting,3000,10,0.3106032194935705,0.4118637860716805,"[""running_index""]",[],False,0,
Gemma4-E4B,plus_endpoint_position,count_axis_deviation_abs,hist_gradient_boosting,3000,10,0.5129379478857459,0.3152195101523612,"[""running_index"", ""count_progress"", ""token_start"", ""token_end"", ""token_span"", ""prompt_progress"", ""previous_endpoint_gap""]",[],False,1,0.20233472839217537
Gemma4-E4B,plus_content_context,count_axis_deviation_abs,hist_gradient_boosting,3000,10,0.5667061409982304,0.30167990394269556,"[""running_index"", ""count_progress"", ""token_start"", ""token_end"", ""token_span"", ""prompt_progress"", ""previous_endpoint_gap"", ""input_tokens"", ""score"", ""realization_seed"", ""content_seed""]","[""city"", ""haystack_source_mode"", ""haystack_source_files""]",False,2,0.053768193112484486
Gemma4-E4B,plus_outcome_diagnostic,count_axis_deviation_abs,hist_gradient_boosting,3000,10,0.5728465655532813,0.3004065263804351,"[""running_index"", ""count_progress"", ""token_start"", ""token_end"", ""token_span"", ""prompt_progress"", ""previous_endpoint_gap"", ""input_tokens"", ""score"", ""realization_seed"", ""content_seed"", ""absolute_deviation""]","[""city"", ""haystack_source_mode"", ""haystack_source_files"", ""baseline_correct"", ""predicted_count""]",True,3,0.006140424555050927
Gemma4-E4B,count_only,count_axis_deviation_abs,random_forest,3000,10,0.310628870219948,0.4118506289635182,"[""running_index""]",[],False,0,
Gemma4-E4B,plus_endpoint_position,count_axis_deviation_abs,random_forest,3000,10,0.5483328811477121,0.30427208049186694,"[""running_index"", ""count_progress"", ""token_start"", ""token_end"", ""token_span"", ""prompt_progress"", ""previous_endpoint_gap""]",[],False,1,0.23770401092776405
Gemma4-E4B,plus_content_context,count_axis_deviation_abs,random_forest,3000,10,0.5460515134502234,0.31835345153528205,"[""running_index"", ""count_progress"", ""token_start"", ""token_end"", ""token_span"", ""prompt_progress"", ""previous_endpoint_gap"", ""input_tokens"", ""score"", ""realization_seed"", ""content_seed""]","[""city"", ""haystack_source_mode"", ""haystack_source_files""]",False,2,-0.0022813676974886565
Gemma4-E4B,plus_outcome_diagnostic,count_axis_deviation_abs,random_forest,3000,10,0.5364050334819525,0.32298650775304405,"[""running_index"", ""count_progress"", ""token_start"", ""token_end"", ""token_span"", ""prompt_progress"", ""previous_endpoint_gap"", ""input_tokens"", ""score"", ""realization_seed"", ""content_seed"", ""absolute_deviation""]","[""city"", ""haystack_source_mode"", ""haystack_source_files"", ""baseline_correct"", ""predicted_count""]",True,3,-0.009646479968270949
Gemma4-E4B,count_only,noise_orthogonal_rms,elastic_net,3000,10,0.03529142115988737,0.046740979157345174,"[""running_index""]",[],False,0,
Gemma4-E4B,plus_endpoint_position,noise_orthogonal_rms,elastic_net,3000,10,0.0894711596580604,0.04455022930221137,"[""running_index"", ""count_progress"", ""token_start"", ""token_end"", ""token_span"", ""prompt_progress"", ""previous_endpoint_gap""]",[],False,1,0.054179738498173036
Gemma4-E4B,plus_content_context,noise_orthogonal_rms,elastic_net,3000,10,0.15610327555846326,0.043450485485152415,"[""running_index"", ""count_progress"", ""token_start"", ""token_end"", ""token_span"", ""prompt_progress"", ""previous_endpoint_gap"", ""input_tokens"", ""score"", ""realization_seed"", ""content_seed""]","[""city"", ""haystack_source_mode"", ""haystack_source_files""]",False,2,0.06663211590040286
Gemma4-E4B,plus_outcome_diagnostic,noise_orthogonal_rms,elastic_net,3000,10,0.15885353238937872,0.04341374680255294,"[""running_index"", ""count_progress"", ""token_start"", ""token_end"", ""token_span"", ""prompt_progress"", ""previous_endpoint_gap"", ""input_tokens"", ""score"", ""realization_seed"", ""content_seed"", ""absolute_deviation""]","[""city"", ""haystack_source_mode"", ""haystack_source_files"", ""baseline_correct"", ""predicted_count""]",True,3,0.002750256830915454
Gemma4-E4B,count_only,noise_orthogonal_rms,extra_trees,3000,10,0.29509803353079933,0.03999978467202653,"[""running_index""]",[],False,0,
