target,model_label,prompt_mode,n,selected_candidate,selected_candidate_label,formula,coefficient_names,coefficients,seed_oof_log_loss,seed_oof_log_loss_null,seed_gain_pct,seed_oof_mae,seed_oof_mae_null
exact,Qwen3-1.7B,direct,150,log_burden,Log burden,logit p = α + βB ln[(T/5000)(N/5)],"[""intercept"", ""log_burden""]","[-0.9476508488901898, -1.629545334485322]",0.44470964533521956,0.6479231472022705,31.363828062714852,,
exact,Qwen3-1.7B,enumeration,150,log_separable,Separate log T + log N,logit p = α + βT ln(T/5000) + βN ln(N/5),"[""intercept"", ""log_length"", ""log_needles""]","[-0.9620714110664165, -0.7192449531709675, -1.98715098934824]",0.4520372512469129,0.6499069020079276,30.445845420272367,,
exact,Qwen3-1.7B,native_thinking,150,semi_log_needles,Log T + linear N,logit p = α + βT ln(T/5000) + γN (N−5)/5,"[""intercept"", ""log_length"", ""needle_linear""]","[0.7750762982185856, 0.15418642826738, -0.969305424938377]",0.5627486017054965,0.7075310429150511,20.463051432068085,,
exact,Qwen3-8B,direct,150,log_separable,Separate log T + log N,logit p = α + βT ln(T/5000) + βN ln(N/5),"[""intercept"", ""log_length"", ""log_needles""]","[-0.2857427068248244, -0.12901876453045638, -2.6853941440474705]",0.42535645187291976,0.6861296540738266,38.006403112384355,,
exact,Qwen3-8B,enumeration,150,intercept_only,Constant,logit p = α,"[""intercept""]",[3.0164825534408584],0.20442706123124166,0.20442706123124166,0.0,,
exact,Qwen3-8B,native_thinking,150,intercept_only,Constant,logit p = α,"[""intercept""]",[3.8904978381596504],0.11108685881451298,0.11108685881451298,0.0,,
exact,Qwen3-32B,direct,150,log_burden,Log burden,logit p = α + βB ln[(T/5000)(N/5)],"[""intercept"", ""log_burden""]","[-0.042289685724771583, -2.089428022512662]",0.4131344904539536,0.6976656018056868,40.783308022541796,,
exact,Qwen3-32B,enumeration,150,log_burden,Log burden,logit p = α + βB ln[(T/5000)(N/5)],"[""intercept"", ""log_burden""]","[9.397101863634337, -3.3582615939877267]",0.05085502582389484,0.07712594788815479,34.06236523972071,,
exact,Qwen3-32B,native_thinking,150,intercept_only,Constant,logit p = α,"[""intercept""]",[3.596388934134498],0.13025057217841243,0.13025057217841243,0.0,,
bias,Qwen3-1.7B,direct,150,log_interaction,Log T × log N,E[asinh(b) | parsed] = α + βT ln(T/5000) + βN ln(N/5) + βTN ln(T/5000)ln(N/5),"[""intercept"", ""log_length"", ""log_needles"", ""log_interaction""]","[0.3757412747113951, 1.1548316132689838, -0.008313293030900669, 1.0390034438363644]",,,15.147645953135495,1.2750117077331116,1.502623848277579
