model_label,query_variant,response_type,bank_size,metric,primary_endpoint,seed_clusters,effect,ci95_low,ci95_high,sign_flip_p,sign_flip_method,sign_flip_assignments,holm_p_within_model,holm_p_pooled_primary_family
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,1,all_accuracy_damage_specificity,True,12,0.002876228727051188,-0.005555555555555557,0.010958994367956365,0.625,exact_enumeration,4096,1.0,
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,1,clean_correct_to_wrong_specificity,True,12,0.0056540065048289664,0.0,0.011467959993201058,0.25,exact_enumeration,4096,1.0,
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,1,token_accuracy_specificity,False,12,0.003591716942539404,-0.0022286821705426348,0.009961211662856585,0.375,exact_enumeration,4096,1.0,
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,2,all_accuracy_damage_specificity,True,12,-4.3485799299753054e-05,-0.008429826722509649,0.008144149132521225,1.0,exact_enumeration,4096,1.0,
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,2,clean_correct_to_wrong_specificity,True,12,0.0017422284864145338,-0.0028742711669540928,0.008265200692880784,0.875,exact_enumeration,4096,1.0,
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,2,token_accuracy_specificity,False,12,0.0013153405595266055,-0.004681835779396756,0.008269624301246534,0.71875,exact_enumeration,4096,1.0,
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,4,all_accuracy_damage_specificity,True,12,-0.0002190557494017517,-0.014697170227516232,0.011414079345162718,1.0,exact_enumeration,4096,1.0,
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,4,clean_correct_to_wrong_specificity,True,12,0.005336499806153805,-0.0006775067750677506,0.013425520090296043,0.25,exact_enumeration,4096,1.0,
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,4,token_accuracy_specificity,False,12,0.0023061967758507746,-0.006978319783197834,0.011312930782584782,0.6875,exact_enumeration,4096,1.0,
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,8,all_accuracy_damage_specificity,True,12,0.010202574730368265,0.002777777777777778,0.019071686805662978,0.0625,exact_enumeration,4096,1.0,
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,8,clean_correct_to_wrong_specificity,True,12,0.0064327334605269945,0.0,0.014713212671238764,0.25,exact_enumeration,4096,1.0,
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,8,token_accuracy_specificity,False,12,0.007941872469666001,0.002148664343786295,0.015311615602313275,0.0625,exact_enumeration,4096,1.0,
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,16,all_accuracy_damage_specificity,True,12,-0.005570186100532102,-0.020727802086990973,0.006552233296419342,0.5,exact_enumeration,4096,1.0,
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,16,clean_correct_to_wrong_specificity,True,12,-0.00199875752910353,-0.011227255129694155,0.004553475767315813,1.0,exact_enumeration,4096,1.0,
