model_label,site,running_index,marker_kind,trace_order_class,noise_total_rms__count,noise_total_rms__mean,noise_total_rms__std,noise_total_rms__median,noise_orthogonal_rms__count,noise_orthogonal_rms__mean,noise_orthogonal_rms__std,noise_orthogonal_rms__median,count_axis_deviation_abs__count,count_axis_deviation_abs__mean,count_axis_deviation_abs__std,count_axis_deviation_abs__median
Gemma4-E4B,city_end,1,audit_sentence,forward,86,0.6518940722208041,0.042209475786567405,0.642522254293665,86,0.5784616390388655,0.04817095795769923,0.5681589780766445,86,7.149146722499714,2.528032183117037,6.981236219406128
Gemma4-E4B,city_end,1,audit_sentence,other_permutation,1,0.6457232555798427,,0.6457232555798427,1,0.5645309131516018,,0.5645309131516018,1,7.9301981925964355,,7.9301981925964355
Gemma4-E4B,city_end,1,bullet,forward,189,0.8236605557060793,0.1734851848648521,0.8911782403549546,189,0.7470619183763426,0.1768222488322617,0.8101798227557397,189,8.326028635262182,2.9379117311104483,8.834954261779785
Gemma4-E4B,city_end,1,bullet,other_permutation,7,0.7530950794393512,0.15969305918351273,0.6667237575245509,7,0.6753264812274203,0.1558608628347485,0.5886737456567849,7,7.859225068773542,1.9872983921901788,8.418161392211914
Gemma4-E4B,city_end,1,completion_recap,forward,2,0.9375599283822136,0.30223441024100917,0.9375599283822136,2,0.8880223865427215,0.31498279267043017,0.8880223865427215,2,5.869647979736328,2.4696866372129835,5.869647979736328
Gemma4-E4B,city_end,1,indexed,forward,34,0.7478323518132147,0.14489135830384717,0.6772672001677578,34,0.6718311451750705,0.15213483261207522,0.5986298146450182,34,7.633981452268713,2.085220757860774,7.62860631942749
Gemma4-E4B,city_end,1,indexed,other_permutation,4,0.7009885365305257,0.16894755114047666,0.6229053297699012,4,0.6261313759432219,0.18886344315647127,0.5402099921287267,4,7.4052430391311646,3.3061818721091374,8.519964218139648
Gemma4-E4B,city_end,2,audit_sentence,forward,66,0.517760768902775,0.059053933032901774,0.5090876662794408,66,0.4600022282509659,0.06403251803925604,0.44913395613750884,66,1.868942043094924,1.069031419591204,1.849024474620819
Gemma4-E4B,city_end,2,audit_sentence,other_permutation,2,0.5019909903419699,0.028383842781156125,0.5019909903419699,2,0.4428167836333778,0.016240963659480568,0.4428167836333778,2,3.2633681297302246,1.684391045717754,3.2633681297302246
Gemma4-E4B,city_end,2,bullet,forward,145,0.7036473384823966,0.17532497526514754,0.8003667586767802,145,0.6374586374284188,0.17037174013143816,0.7176074825288397,145,3.0780241953915564,1.5257025813855547,2.983224868774414
Gemma4-E4B,city_end,2,bullet,other_permutation,16,0.6972003694040716,0.18380768498912492,0.8167591343458858,16,0.6264929708071,0.171801887848528,0.7254243686646791,16,3.8031878620386124,0.8973298174959013,3.883004307746887
