registered_bank_size,evaluation_scope,analysis_population,grammar_class,seed,seed_effect,n_anchor_units
32,confirmation,all_examples,pooled,1254,0.0,9
32,confirmation,all_examples,pooled,1255,0.0,8
32,confirmation,all_examples,pooled,1256,0.0,9
32,confirmation,all_examples,pooled,1257,0.0,9
32,confirmation,all_examples,pooled,1258,0.0,8
32,confirmation,all_examples,pooled,1259,0.0,9
32,confirmation,all_examples,pooled,1260,0.1111111111111111,9
32,confirmation,all_examples,pooled,1261,0.1111111111111111,9
32,confirmation,all_examples,pooled,1262,0.20833333333333331,8
32,confirmation,all_examples,pooled,1263,0.1111111111111111,9
32,confirmation,all_examples,macro_primary_grammars,1254,0.0,9
32,confirmation,all_examples,macro_primary_grammars,1255,0.0,8
32,confirmation,all_examples,macro_primary_grammars,1256,0.0,9
32,confirmation,all_examples,macro_primary_grammars,1257,0.0,9
32,confirmation,all_examples,macro_primary_grammars,1258,0.0,8
32,confirmation,all_examples,macro_primary_grammars,1259,0.0,8
32,confirmation,all_examples,macro_primary_grammars,1260,0.049999999999999996,9
32,confirmation,all_examples,macro_primary_grammars,1261,0.125,8
32,confirmation,all_examples,macro_primary_grammars,1262,0.24074074074074073,8
32,confirmation,all_examples,macro_primary_grammars,1263,0.5,9
32,confirmation,all_examples,adjacent_rank_after_city,1254,0.0,9
32,confirmation,all_examples,adjacent_rank_after_city,1255,0.0,2
32,confirmation,all_examples,adjacent_rank_after_city,1256,0.0,5
32,confirmation,all_examples,adjacent_rank_after_city,1257,0.0,1
32,confirmation,all_examples,adjacent_rank_after_city,1258,0.0,5
32,confirmation,all_examples,adjacent_rank_after_city,1259,0.0,4
32,confirmation,all_examples,adjacent_rank_after_city,1260,0.19999999999999998,5
32,confirmation,all_examples,adjacent_rank_after_city,1261,0.0,3
32,confirmation,all_examples,adjacent_rank_after_city,1262,0.2222222222222222,3
32,confirmation,all_examples,adjacent_rank_after_city,1263,0.0,8
32,confirmation,all_examples,adjacent_rank_before_city,1255,0.0,2
32,confirmation,all_examples,adjacent_rank_before_city,1256,0.0,1
32,confirmation,all_examples,adjacent_rank_before_city,1257,0.0,6
32,confirmation,all_examples,adjacent_rank_before_city,1258,0.0,1
32,confirmation,all_examples,adjacent_rank_before_city,1259,0.0,4
32,confirmation,all_examples,adjacent_rank_before_city,1260,0.0,1
32,confirmation,all_examples,adjacent_rank_before_city,1261,0.0,1
32,confirmation,all_examples,adjacent_rank_before_city,1262,0.0,3
32,confirmation,all_examples,evidence_sequence_unranked,1261,0.0,1
32,confirmation,all_examples,same_unit_rank_before_city,1255,0.0,4
32,confirmation,all_examples,same_unit_rank_before_city,1256,0.0,1
32,confirmation,all_examples,same_unit_rank_before_city,1257,0.0,1
32,confirmation,all_examples,same_unit_rank_before_city,1258,0.0,2
32,confirmation,all_examples,same_unit_rank_before_city,1260,0.0,2
32,confirmation,all_examples,same_unit_rank_before_city,1261,0.5,2
32,confirmation,all_examples,same_unit_rank_before_city,1262,0.5,2
32,confirmation,all_examples,same_unit_rank_before_city,1263,1.0,1
32,confirmation,all_examples,structural_invariant_bullet,1259,0.0,1
32,confirmation,all_examples,structural_unmarked,1256,0.0,2
32,confirmation,all_examples,structural_unmarked,1257,0.0,1
32,confirmation,all_examples,structural_unmarked,1260,0.0,1
32,confirmation,all_examples,structural_unmarked,1261,0.0,2
32,confirmation,clean_correct_only,pooled,1254,0.0,9
32,confirmation,clean_correct_only,pooled,1255,0.0,8
32,confirmation,clean_correct_only,pooled,1256,0.0,9
32,confirmation,clean_correct_only,pooled,1257,0.0,9
32,confirmation,clean_correct_only,pooled,1258,0.0,8
32,confirmation,clean_correct_only,pooled,1259,0.0,9
32,confirmation,clean_correct_only,pooled,1260,0.1111111111111111,9
32,confirmation,clean_correct_only,pooled,1261,0.1111111111111111,9
32,confirmation,clean_correct_only,pooled,1262,0.20833333333333331,8
32,confirmation,clean_correct_only,pooled,1263,0.1111111111111111,9
32,confirmation,clean_correct_only,macro_primary_grammars,1254,0.0,9
32,confirmation,clean_correct_only,macro_primary_grammars,1255,0.0,8
32,confirmation,clean_correct_only,macro_primary_grammars,1256,0.0,9
32,confirmation,clean_correct_only,macro_primary_grammars,1257,0.0,9
32,confirmation,clean_correct_only,macro_primary_grammars,1258,0.0,8
32,confirmation,clean_correct_only,macro_primary_grammars,1259,0.0,8
32,confirmation,clean_correct_only,macro_primary_grammars,1260,0.049999999999999996,9
32,confirmation,clean_correct_only,macro_primary_grammars,1261,0.125,8
32,confirmation,clean_correct_only,macro_primary_grammars,1262,0.24074074074074073,8
32,confirmation,clean_correct_only,macro_primary_grammars,1263,0.5,9
32,confirmation,clean_correct_only,adjacent_rank_after_city,1254,0.0,9
32,confirmation,clean_correct_only,adjacent_rank_after_city,1255,0.0,2
32,confirmation,clean_correct_only,adjacent_rank_after_city,1256,0.0,5
32,confirmation,clean_correct_only,adjacent_rank_after_city,1257,0.0,1
32,confirmation,clean_correct_only,adjacent_rank_after_city,1258,0.0,5
32,confirmation,clean_correct_only,adjacent_rank_after_city,1259,0.0,4
32,confirmation,clean_correct_only,adjacent_rank_after_city,1260,0.19999999999999998,5
32,confirmation,clean_correct_only,adjacent_rank_after_city,1261,0.0,3
32,confirmation,clean_correct_only,adjacent_rank_after_city,1262,0.2222222222222222,3
32,confirmation,clean_correct_only,adjacent_rank_after_city,1263,0.0,8
32,confirmation,clean_correct_only,adjacent_rank_before_city,1255,0.0,2
32,confirmation,clean_correct_only,adjacent_rank_before_city,1256,0.0,1
32,confirmation,clean_correct_only,adjacent_rank_before_city,1257,0.0,6
32,confirmation,clean_correct_only,adjacent_rank_before_city,1258,0.0,1
32,confirmation,clean_correct_only,adjacent_rank_before_city,1259,0.0,4
32,confirmation,clean_correct_only,adjacent_rank_before_city,1260,0.0,1
32,confirmation,clean_correct_only,adjacent_rank_before_city,1261,0.0,1
32,confirmation,clean_correct_only,adjacent_rank_before_city,1262,0.0,3
32,confirmation,clean_correct_only,evidence_sequence_unranked,1261,0.0,1
32,confirmation,clean_correct_only,same_unit_rank_before_city,1255,0.0,4
32,confirmation,clean_correct_only,same_unit_rank_before_city,1256,0.0,1
32,confirmation,clean_correct_only,same_unit_rank_before_city,1257,0.0,1
32,confirmation,clean_correct_only,same_unit_rank_before_city,1258,0.0,2
32,confirmation,clean_correct_only,same_unit_rank_before_city,1260,0.0,2
32,confirmation,clean_correct_only,same_unit_rank_before_city,1261,0.5,2
32,confirmation,clean_correct_only,same_unit_rank_before_city,1262,0.5,2
32,confirmation,clean_correct_only,same_unit_rank_before_city,1263,1.0,1
32,confirmation,clean_correct_only,structural_invariant_bullet,1259,0.0,1
32,confirmation,clean_correct_only,structural_unmarked,1256,0.0,2
32,confirmation,clean_correct_only,structural_unmarked,1257,0.0,1
32,confirmation,clean_correct_only,structural_unmarked,1260,0.0,1
32,confirmation,clean_correct_only,structural_unmarked,1261,0.0,2
64,confirmation,all_examples,pooled,1254,0.1111111111111111,9
64,confirmation,all_examples,pooled,1255,0.125,8
64,confirmation,all_examples,pooled,1256,0.2222222222222222,9
64,confirmation,all_examples,pooled,1257,0.3333333333333333,9
64,confirmation,all_examples,pooled,1258,0.25,8
64,confirmation,all_examples,pooled,1259,0.1111111111111111,9
64,confirmation,all_examples,pooled,1260,0.2222222222222222,9
64,confirmation,all_examples,pooled,1261,0.5555555555555556,9
64,confirmation,all_examples,pooled,1262,0.29166666666666663,8
64,confirmation,all_examples,pooled,1263,0.2222222222222222,9
64,confirmation,all_examples,macro_primary_grammars,1254,0.1111111111111111,9
64,confirmation,all_examples,macro_primary_grammars,1255,0.08333333333333333,8
64,confirmation,all_examples,macro_primary_grammars,1256,0.25,9
64,confirmation,all_examples,macro_primary_grammars,1257,0.5416666666666667,9
64,confirmation,all_examples,macro_primary_grammars,1258,0.3333333333333333,8
64,confirmation,all_examples,macro_primary_grammars,1259,0.125,8
64,confirmation,all_examples,macro_primary_grammars,1260,0.375,9
64,confirmation,all_examples,macro_primary_grammars,1261,0.5,8
64,confirmation,all_examples,macro_primary_grammars,1262,0.3703703703703704,8
64,confirmation,all_examples,macro_primary_grammars,1263,0.5625,9
64,confirmation,all_examples,adjacent_rank_after_city,1254,0.1111111111111111,9
64,confirmation,all_examples,adjacent_rank_after_city,1255,0.0,2
64,confirmation,all_examples,adjacent_rank_after_city,1256,0.0,5
64,confirmation,all_examples,adjacent_rank_after_city,1257,0.0,1
64,confirmation,all_examples,adjacent_rank_after_city,1258,0.0,5
64,confirmation,all_examples,adjacent_rank_after_city,1259,0.25,4
64,confirmation,all_examples,adjacent_rank_after_city,1260,-2.2204460492503132e-17,5
64,confirmation,all_examples,adjacent_rank_after_city,1261,0.0,3
64,confirmation,all_examples,adjacent_rank_after_city,1262,0.11111111111111109,3
64,confirmation,all_examples,adjacent_rank_after_city,1263,0.125,8
64,confirmation,all_examples,adjacent_rank_before_city,1255,0.0,2
64,confirmation,all_examples,adjacent_rank_before_city,1256,0.0,1
