model,mode,N,n,success_rate
DeepSeek-R1-0528-Qwen3-8B,native_thinking,1,50,0.9
DeepSeek-R1-0528-Qwen3-8B,native_thinking,2,50,0.88
DeepSeek-R1-0528-Qwen3-8B,native_thinking,3,50,0.98
DeepSeek-R1-0528-Qwen3-8B,native_thinking,4,50,0.8
DeepSeek-R1-0528-Qwen3-8B,native_thinking,5,50,0.76
DeepSeek-R1-0528-Qwen3-8B,native_thinking,6,50,0.72
DeepSeek-R1-0528-Qwen3-8B,native_thinking,8,50,0.56
DeepSeek-R1-0528-Qwen3-8B,native_thinking,10,50,0.54
DeepSeek-R1-0528-Qwen3-8B,native_thinking,20,50,0.34
DeepSeek-R1-0528-Qwen3-8B,native_thinking,30,50,0.24
GLM-4-9B-0414,direct,1,50,0.94
GLM-4-9B-0414,direct,2,50,0.96
GLM-4-9B-0414,direct,3,50,0.66
GLM-4-9B-0414,direct,4,50,0.3
GLM-4-9B-0414,direct,5,50,0.14
GLM-4-9B-0414,direct,6,50,0.02
GLM-4-9B-0414,direct,8,50,0.0
GLM-4-9B-0414,direct,10,50,0.0
GLM-4-9B-0414,direct,20,50,0.0
GLM-4-9B-0414,direct,30,50,0.0
GLM-4-9B-0414,enumeration_bullet,1,50,0.88
GLM-4-9B-0414,enumeration_bullet,2,50,0.92
GLM-4-9B-0414,enumeration_bullet,3,50,0.98
GLM-4-9B-0414,enumeration_bullet,4,50,0.94
GLM-4-9B-0414,enumeration_bullet,5,50,0.74
GLM-4-9B-0414,enumeration_bullet,6,50,0.76
GLM-4-9B-0414,enumeration_bullet,8,50,0.56
GLM-4-9B-0414,enumeration_bullet,10,50,0.38
GLM-4-9B-0414,enumeration_bullet,20,50,0.08
GLM-4-9B-0414,enumeration_bullet,30,50,0.0
GLM-4-9B-0414,enumeration_index,1,50,0.74
GLM-4-9B-0414,enumeration_index,2,50,0.92
GLM-4-9B-0414,enumeration_index,3,50,0.98
GLM-4-9B-0414,enumeration_index,4,50,0.92
GLM-4-9B-0414,enumeration_index,5,50,0.8
GLM-4-9B-0414,enumeration_index,6,50,0.74
GLM-4-9B-0414,enumeration_index,8,50,0.66
GLM-4-9B-0414,enumeration_index,10,50,0.56
GLM-4-9B-0414,enumeration_index,20,50,0.36
GLM-4-9B-0414,enumeration_index,30,50,0.36
GLM-Z1-9B-0414,native_thinking,1,50,0.94
GLM-Z1-9B-0414,native_thinking,2,50,0.86
GLM-Z1-9B-0414,native_thinking,3,50,0.76
GLM-Z1-9B-0414,native_thinking,4,50,0.74
GLM-Z1-9B-0414,native_thinking,5,50,0.8
GLM-Z1-9B-0414,native_thinking,6,50,0.7
GLM-Z1-9B-0414,native_thinking,8,50,0.68
GLM-Z1-9B-0414,native_thinking,10,50,0.62
GLM-Z1-9B-0414,native_thinking,20,50,0.38
GLM-Z1-9B-0414,native_thinking,30,50,0.36
Gemma4-12B,direct,1,50,1.0
Gemma4-12B,direct,2,50,0.96
Gemma4-12B,direct,3,50,1.0
Gemma4-12B,direct,4,50,0.94
Gemma4-12B,direct,5,50,0.54
Gemma4-12B,direct,6,50,0.38
Gemma4-12B,direct,8,50,0.3
Gemma4-12B,direct,10,50,0.02
Gemma4-12B,direct,20,50,0.0
Gemma4-12B,direct,30,50,0.0
Gemma4-12B,enumeration_bullet,1,50,1.0
Gemma4-12B,enumeration_bullet,2,50,1.0
Gemma4-12B,enumeration_bullet,3,50,1.0
Gemma4-12B,enumeration_bullet,4,50,0.98
Gemma4-12B,enumeration_bullet,5,50,0.96
Gemma4-12B,enumeration_bullet,6,50,0.88
Gemma4-12B,enumeration_bullet,8,50,0.94
Gemma4-12B,enumeration_bullet,10,50,0.66
Gemma4-12B,enumeration_bullet,20,50,0.04
Gemma4-12B,enumeration_bullet,30,50,0.0
Gemma4-12B,enumeration_index,1,50,1.0
Gemma4-12B,enumeration_index,2,50,1.0
Gemma4-12B,enumeration_index,3,50,1.0
Gemma4-12B,enumeration_index,4,50,0.98
Gemma4-12B,enumeration_index,5,50,0.98
Gemma4-12B,enumeration_index,6,50,0.9
Gemma4-12B,enumeration_index,8,50,0.96
Gemma4-12B,enumeration_index,10,50,0.88
Gemma4-12B,enumeration_index,20,50,0.9
Gemma4-12B,enumeration_index,30,50,0.9
Gemma4-12B,native_thinking,1,50,0.38
Gemma4-12B,native_thinking,2,50,0.32
Gemma4-12B,native_thinking,3,50,0.26
Gemma4-12B,native_thinking,4,50,0.28
Gemma4-12B,native_thinking,5,50,0.28
Gemma4-12B,native_thinking,6,50,0.26
Gemma4-12B,native_thinking,8,50,0.32
Gemma4-12B,native_thinking,10,50,0.32
Gemma4-12B,native_thinking,20,50,0.38
Gemma4-12B,native_thinking,30,50,0.34
Gemma4-E4B,direct,1,50,0.78
Gemma4-E4B,direct,2,50,0.38
Gemma4-E4B,direct,3,50,0.56
Gemma4-E4B,direct,4,50,0.42
Gemma4-E4B,direct,5,50,0.14
