source_label,source_path,file_name,size_bytes,sha256
Gemma4-E4B.ablation_top_k_sweep,/lambda/nfs/CoT-Non-thinking-v4/runs/run_20260803_v4_4_causal_v2_k135_monotonic_gemma/Gemma4-E4B/numeric/causal_v2/analysis/tables/ablation_top_k_sweep.csv,ablation_top_k_sweep.csv,6537,c0fd98424741e5d6148a0e40c0510baf1e039ee80c53b0d2796553e01a3beba3
Gemma4-E4B.answer_patching.confirmation.capture_index,/lambda/nfs/CoT-Non-thinking-v4/runs/run_20260803_v4_4_causal_v2_k135_monotonic_gemma/Gemma4-E4B/numeric/causal_v2/answer_patching/confirmation_d61da53095d8/capture/capture_index.jsonl,capture_index.jsonl,22110,dafece73dbe301b45f3f1d66e043668954c4d3aa5850ea836d069060c9c56b7f
Gemma4-E4B.answer_patching.confirmation.complete,/lambda/nfs/CoT-Non-thinking-v4/runs/run_20260803_v4_4_causal_v2_k135_monotonic_gemma/Gemma4-E4B/numeric/causal_v2/answer_patching/confirmation_d61da53095d8/complete.json,complete.json,193,7b1d077ea6a43ba131e48b984745df8ebc22d95b05541e547ae9c781e5966ded
Gemma4-E4B.answer_patching.confirmation.design,/lambda/nfs/CoT-Non-thinking-v4/runs/run_20260803_v4_4_causal_v2_k135_monotonic_gemma/Gemma4-E4B/numeric/causal_v2/answer_patching/confirmation_d61da53095d8/design.json,design.json,2350,84d6c9d7fc897fcd65269383253ed291e075791d43035535bf652f16a47c3f98
Gemma4-E4B.answer_patching.confirmation_statistics,/lambda/nfs/CoT-Non-thinking-v4/runs/run_20260803_v4_4_causal_v2_k135_monotonic_gemma/Gemma4-E4B/numeric/causal_v2/analysis/tables/answer_patching_confirmation_statistics.csv,answer_patching_confirmation_statistics.csv,53845,9919438e4f28ff48cfc4053cc71d8dd3843dd9f55a35da3dfaf4c74ce3aeb878
Gemma4-E4B.answer_patching.screen.capture_index,/lambda/nfs/CoT-Non-thinking-v4/runs/run_20260803_v4_4_causal_v2_k135_monotonic_gemma/Gemma4-E4B/numeric/causal_v2/answer_patching/screen_b8f1a9fc31a3/capture/capture_index.jsonl,capture_index.jsonl,22110,6a08e7b364c4083581ba3d3d25fd2115eb72538f9c812b21edefb6822d5f2142
Gemma4-E4B.answer_patching.screen.complete,/lambda/nfs/CoT-Non-thinking-v4/runs/run_20260803_v4_4_causal_v2_k135_monotonic_gemma/Gemma4-E4B/numeric/causal_v2/answer_patching/screen_b8f1a9fc31a3/complete.json,complete.json,195,ef7152c283bce468c29ee76a4c32c8f4fe7820568b74d5b1070ac0e79d5bded5
Gemma4-E4B.answer_patching.screen.design,/lambda/nfs/CoT-Non-thinking-v4/runs/run_20260803_v4_4_causal_v2_k135_monotonic_gemma/Gemma4-E4B/numeric/causal_v2/answer_patching/screen_b8f1a9fc31a3/design.json,design.json,2282,34125513b3982dc1c454aa92060866e4ebaf3172f60e795bd106d9a437e57e3f
Gemma4-E4B.answer_patching.selection,/lambda/nfs/CoT-Non-thinking-v4/runs/run_20260803_v4_4_causal_v2_k135_monotonic_gemma/Gemma4-E4B/numeric/causal_v2/answer_patching/screen_b8f1a9fc31a3/selection/answer_patching_selection.json,answer_patching_selection.json,81264,1d0c92c60609448e96d60e6f70951e382e1d72590df6650e166963f8e55faa16
Gemma4-E4B.audit,/lambda/nfs/CoT-Non-thinking-v4/runs/run_20260803_v4_4_causal_v2_k135_monotonic_gemma/Gemma4-E4B/numeric/causal_v2/audit/audit.json,audit.json,93409,19bb485ad4c053cd00af6d8b9df2f29b7f0fbb7884253c929434f29eeef59a28
Gemma4-E4B.baseline_labels,/lambda/nfs/CoT-Non-thinking-v4/runs/run_20260803_v4_4_causal_v2_k135_monotonic_gemma/Gemma4-E4B/numeric/causal_v2/baseline/all_b9f5a262e186/generation_labels.csv,generation_labels.csv,99174,0dce74bfcc86586955ed657b6d5f9e8f5d945e3ec93ac2162678fd7afdb4d814
Gemma4-E4B.campaign_complete,/lambda/nfs/CoT-Non-thinking-v4/runs/run_20260803_v4_4_causal_v2_k135_monotonic_gemma/causal_v2.complete,causal_v2.complete,80,1b3a563b5f0e6a8f1bb2691240d6684eacdb1d9b432b9a7b04043454df6711b5
Gemma4-E4B.export.archive_checksum,/lambda/nfs/CoT-Non-thinking-v4/exports/Realistic_CoT_NiaH_Count_20260803_v4_4_causal_v2_gemma/archive/Realistic_CoT_NiaH_Count_20260803_v4_4_causal_v2_gemma.tar.zst.sha256,Realistic_CoT_NiaH_Count_20260803_v4_4_causal_v2_gemma.tar.zst.sha256,129,77f1fa09f31736ba22be43f74ddfbdaa1d7d7e6df98f21e82ced58cdb6fa3a85
Gemma4-E4B.export.copy_manifest,/lambda/nfs/CoT-Non-thinking-v4/exports/Realistic_CoT_NiaH_Count_20260803_v4_4_causal_v2_gemma/manifest/run_file_manifest.tsv,run_file_manifest.tsv,159935,cb5c30523bff3f6475006de91308350279b44c79d9660f18c6197279bb2c759e
Gemma4-E4B.export.source_manifest,/lambda/nfs/CoT-Non-thinking-v4/exports/Realistic_CoT_NiaH_Count_20260803_v4_4_causal_v2_gemma/manifest/source_file_manifest.tsv,source_file_manifest.tsv,159935,cb5c30523bff3f6475006de91308350279b44c79d9660f18c6197279bb2c759e
Gemma4-E4B.export.verification_audit,/lambda/nfs/CoT-Non-thinking-v4/exports/Realistic_CoT_NiaH_Count_20260803_v4_4_causal_v2_gemma/verification/audit.json,audit.json,93409,19bb485ad4c053cd00af6d8b9df2f29b7f0fbb7884253c929434f29eeef59a28
Gemma4-E4B.last_runtime,/lambda/nfs/CoT-Non-thinking-v4/runs/run_20260803_v4_4_causal_v2_k135_monotonic_gemma/Gemma4-E4B/numeric/causal_v2/last_runtime.json,last_runtime.json,1765,a95bc0981da19dc9168c1ecfb066ff3fffe98f5f95b8dc2432968f4d288f8641
Gemma4-E4B.prompt_alignment,/lambda/nfs/CoT-Non-thinking-v4/runs/run_20260803_v4_4_causal_v2_k135_monotonic_gemma/Gemma4-E4B/numeric/causal_v2/prompt_span_alignment/preflight_bee323c37509/prompt_full_span_alignment.csv,prompt_full_span_alignment.csv,132236,3b18f1196c33ee3d6e07e418250bc5ca12cdaa4e7846349670371e39ea1cae82
Gemma4-E4B.prompt_alignment_design,/lambda/nfs/CoT-Non-thinking-v4/runs/run_20260803_v4_4_causal_v2_k135_monotonic_gemma/Gemma4-E4B/numeric/causal_v2/prompt_span_alignment/preflight_bee323c37509/design.json,design.json,1574,a8b9d14f8b6f5eb90b950519a525441f6e62b919642ce8c451e833c6f8dfb800
