target,model_label,prompt_mode,candidate,scheme,fold,n_test,log_loss,brier,mae,rmse
exact,Qwen3-1.7B,direct,intercept_only,seed,seed=1234,30,0.6371296968616981,0.2225001719756469,,
exact,Qwen3-1.7B,direct,intercept_only,seed,seed=1235,30,0.6371296968616981,0.2225001719756469,,
exact,Qwen3-1.7B,direct,intercept_only,seed,seed=1236,30,0.7097575009232381,0.25729034709553794,,
exact,Qwen3-1.7B,direct,intercept_only,seed,seed=1237,30,0.6371296968616981,0.2225001719756469,,
exact,Qwen3-1.7B,direct,intercept_only,seed,seed=1238,30,0.6184691445030206,0.213403344202645,,
exact,Qwen3-1.7B,direct,intercept_only,needle,N=1,15,1.294330541456836,0.5269579749981544,,
exact,Qwen3-1.7B,direct,intercept_only,needle,N=2,15,0.9026187669441218,0.3486377882030908,,
exact,Qwen3-1.7B,direct,intercept_only,needle,N=3,15,0.839831972602446,0.31922865282955964,,
exact,Qwen3-1.7B,direct,intercept_only,needle,N=4,15,0.5979569307605155,0.20345757327096545,,
exact,Qwen3-1.7B,direct,intercept_only,needle,N=5,15,0.7289307118891941,0.266665297559049,,
exact,Qwen3-1.7B,direct,intercept_only,needle,N=6,15,0.48643980417895,0.14837029513163588,,
exact,Qwen3-1.7B,direct,intercept_only,needle,N=8,15,0.5634358185304309,0.18655828536139532,,
exact,Qwen3-1.7B,direct,intercept_only,needle,N=10,15,0.5979569307605154,0.20345757327096545,,
exact,Qwen3-1.7B,direct,intercept_only,needle,N=20,15,0.48643980417895,0.14837029513163588,,
exact,Qwen3-1.7B,direct,intercept_only,needle,N=30,15,0.48643980417895,0.14837029513163588,,
exact,Qwen3-1.7B,direct,intercept_only,length,T=2000,50,0.754359578525012,0.27729695591901654,,
exact,Qwen3-1.7B,direct,intercept_only,length,T=5000,50,0.6304046279186342,0.2192004603044405,,
exact,Qwen3-1.7B,direct,intercept_only,length,T=10000,50,0.6105999427694461,0.2093011629828896,,
exact,Qwen3-1.7B,direct,log_density,seed,seed=1234,30,0.643933825169594,0.22279990410440093,,
exact,Qwen3-1.7B,direct,log_density,seed,seed=1235,30,0.49963051198558606,0.1650906689069888,,
exact,Qwen3-1.7B,direct,log_density,seed,seed=1236,30,0.5783993362631038,0.19839674833904672,,
exact,Qwen3-1.7B,direct,log_density,seed,seed=1237,30,0.635708682397563,0.22650513731897393,,
exact,Qwen3-1.7B,direct,log_density,seed,seed=1238,30,0.5040260801079409,0.16677818686576243,,
exact,Qwen3-1.7B,direct,log_density,needle,N=1,15,0.7373400985107621,0.2713899900384812,,
exact,Qwen3-1.7B,direct,log_density,needle,N=2,15,0.7740945007145716,0.2885868692257404,,
exact,Qwen3-1.7B,direct,log_density,needle,N=3,15,0.9880911573533949,0.38563975380597565,,
exact,Qwen3-1.7B,direct,log_density,needle,N=4,15,0.7142702385521182,0.25862776162866946,,
exact,Qwen3-1.7B,direct,log_density,needle,N=5,15,0.8745232542266047,0.3251960371432859,,
exact,Qwen3-1.7B,direct,log_density,needle,N=6,15,0.4622554161832537,0.14284029833864725,,
exact,Qwen3-1.7B,direct,log_density,needle,N=8,15,0.7009102107487586,0.23242032390087122,,
exact,Qwen3-1.7B,direct,log_density,needle,N=10,15,0.5689058124252696,0.18985581719540595,,
exact,Qwen3-1.7B,direct,log_density,needle,N=20,15,0.21079003044653705,0.03961561532166312,,
exact,Qwen3-1.7B,direct,log_density,needle,N=30,15,0.160293725798043,0.024433427382352234,,
exact,Qwen3-1.7B,direct,log_density,length,T=2000,50,1.1305869046097898,0.3494438739172048,,
exact,Qwen3-1.7B,direct,log_density,length,T=5000,50,0.5054848779936925,0.16293904944493806,,
exact,Qwen3-1.7B,direct,log_density,length,T=10000,50,0.8260296407234325,0.30592321619880797,,
exact,Qwen3-1.7B,direct,log_burden,seed,seed=1234,30,0.328314024526607,0.09888761138546583,,
exact,Qwen3-1.7B,direct,log_burden,seed,seed=1235,30,0.4931044737382169,0.15221545382751994,,
exact,Qwen3-1.7B,direct,log_burden,seed,seed=1236,30,0.5866478446124174,0.18832962474772894,,
