model,mode,L,n,success_rate
DeepSeek-R1-0528-Qwen3-8B,native_thinking,2000,100,0.83
DeepSeek-R1-0528-Qwen3-8B,native_thinking,3000,100,0.71
DeepSeek-R1-0528-Qwen3-8B,native_thinking,5000,100,0.71
DeepSeek-R1-0528-Qwen3-8B,native_thinking,10000,100,0.64
DeepSeek-R1-0528-Qwen3-8B,native_thinking,20000,100,0.47
GLM-4-9B-0414,direct,2000,100,0.37
GLM-4-9B-0414,direct,3000,100,0.32
GLM-4-9B-0414,direct,5000,100,0.25
GLM-4-9B-0414,direct,10000,100,0.28
GLM-4-9B-0414,direct,20000,100,0.29
GLM-4-9B-0414,enumeration_bullet,2000,100,0.8
GLM-4-9B-0414,enumeration_bullet,3000,100,0.75
GLM-4-9B-0414,enumeration_bullet,5000,100,0.67
GLM-4-9B-0414,enumeration_bullet,10000,100,0.5
GLM-4-9B-0414,enumeration_bullet,20000,100,0.4
GLM-4-9B-0414,enumeration_index,2000,100,0.95
GLM-4-9B-0414,enumeration_index,3000,100,0.84
GLM-4-9B-0414,enumeration_index,5000,100,0.76
GLM-4-9B-0414,enumeration_index,10000,100,0.49
GLM-4-9B-0414,enumeration_index,20000,100,0.48
GLM-Z1-9B-0414,native_thinking,2000,100,0.96
GLM-Z1-9B-0414,native_thinking,3000,100,0.82
GLM-Z1-9B-0414,native_thinking,5000,100,0.71
GLM-Z1-9B-0414,native_thinking,10000,100,0.54
GLM-Z1-9B-0414,native_thinking,20000,100,0.39
Gemma4-12B,direct,2000,100,0.58
Gemma4-12B,direct,3000,100,0.62
Gemma4-12B,direct,5000,100,0.52
Gemma4-12B,direct,10000,100,0.43
Gemma4-12B,direct,20000,100,0.42
Gemma4-12B,enumeration_bullet,2000,100,0.78
Gemma4-12B,enumeration_bullet,3000,100,0.79
Gemma4-12B,enumeration_bullet,5000,100,0.76
Gemma4-12B,enumeration_bullet,10000,100,0.76
Gemma4-12B,enumeration_bullet,20000,100,0.64
Gemma4-12B,enumeration_index,2000,100,1.0
Gemma4-12B,enumeration_index,3000,100,1.0
Gemma4-12B,enumeration_index,5000,100,0.99
Gemma4-12B,enumeration_index,10000,100,0.99
Gemma4-12B,enumeration_index,20000,100,0.77
Gemma4-12B,native_thinking,2000,100,0.16
Gemma4-12B,native_thinking,3000,100,0.28
Gemma4-12B,native_thinking,5000,100,0.36
Gemma4-12B,native_thinking,10000,100,0.45
Gemma4-12B,native_thinking,20000,100,0.32
Gemma4-E4B,direct,2000,100,0.16
