request_id,stimulus_id,seed,model_label,model_id,target_passage_tokens,model_passage_tokens,model_input_tokens,num_needles,density_per_1k,prompt_mode,thinking_enabled,query_order,exact_correct,parse_success,format_failure,truncated,parse_status,finish_reason,gold_count,predicted_count,absolute_error,normalized_absolute_error,signed_error,output_tokens,error_category,missing_pairs_n,hallucinated_pairs_n,duplicate_listed_pairs_n,listed_records_n,listed_total_matches_length,pair_precision,pair_recall,pair_f1,source_file,source_line,T,N,log_length,log_needles,density_per_1k_recomputed,log_density,log_burden,needle_linear,needle_hinge,log_interaction,log_length_sq,log_needles_sq,t_is_2000,t_is_10000,t2000_log_needles,t10000_log_needles,cell_id
Qwen3-8B/direct/query_last/T10000_N10_seed1234,T10000_N10_seed1234,1234,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,10,1.0,direct,0,query_last,0,1,0,0,ok,stop,10,14.0,4.0,0.4,4.0,6,overcount,10,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,151,10000,10,0.6931471805599453,0.6931471805599453,1.0,0.0,1.3862943611198906,1.0,0.6931471805599453,0.4804530139182014,0.4804530139182014,0.4804530139182014,0.0,1.0,0.0,0.6931471805599453,T10000_N10
Qwen3-8B/direct/query_last/T10000_N10_seed1235,T10000_N10_seed1235,1235,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,10,1.0,direct,0,query_last,0,1,0,0,ok,stop,10,14.0,4.0,0.4,4.0,6,overcount,10,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,152,10000,10,0.6931471805599453,0.6931471805599453,1.0,0.0,1.3862943611198906,1.0,0.6931471805599453,0.4804530139182014,0.4804530139182014,0.4804530139182014,0.0,1.0,0.0,0.6931471805599453,T10000_N10
Qwen3-8B/direct/query_last/T10000_N10_seed1236,T10000_N10_seed1236,1236,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,10,1.0,direct,0,query_last,0,1,0,0,ok,stop,10,14.0,4.0,0.4,4.0,6,overcount,10,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,153,10000,10,0.6931471805599453,0.6931471805599453,1.0,0.0,1.3862943611198906,1.0,0.6931471805599453,0.4804530139182014,0.4804530139182014,0.4804530139182014,0.0,1.0,0.0,0.6931471805599453,T10000_N10
Qwen3-8B/direct/query_last/T10000_N10_seed1237,T10000_N10_seed1237,1237,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,10,1.0,direct,0,query_last,0,1,0,0,ok,stop,10,14.0,4.0,0.4,4.0,6,overcount,10,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,154,10000,10,0.6931471805599453,0.6931471805599453,1.0,0.0,1.3862943611198906,1.0,0.6931471805599453,0.4804530139182014,0.4804530139182014,0.4804530139182014,0.0,1.0,0.0,0.6931471805599453,T10000_N10
Qwen3-8B/direct/query_last/T10000_N10_seed1238,T10000_N10_seed1238,1238,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,10,1.0,direct,0,query_last,0,1,0,0,ok,stop,10,14.0,4.0,0.4,4.0,6,overcount,10,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,155,10000,10,0.6931471805599453,0.6931471805599453,1.0,0.0,1.3862943611198906,1.0,0.6931471805599453,0.4804530139182014,0.4804530139182014,0.4804530139182014,0.0,1.0,0.0,0.6931471805599453,T10000_N10
Qwen3-8B/direct/query_last/T10000_N1_seed1234,T10000_N1_seed1234,1234,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,1,0.1,direct,0,query_last,1,1,0,0,ok,stop,1,1.0,0.0,0.0,0.0,5,correct,1,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,156,10000,1,0.6931471805599453,-1.6094379124341003,0.1,-2.3025850929940455,-0.916290731874155,-0.8,0.0,-1.1155773512899807,0.4804530139182014,2.5902903939802346,0.0,1.0,-0.0,-1.6094379124341003,T10000_N1
Qwen3-8B/direct/query_last/T10000_N1_seed1235,T10000_N1_seed1235,1235,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10077,1,0.1,direct,0,query_last,1,1,0,0,ok,stop,1,1.0,0.0,0.0,0.0,5,correct,1,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,157,10000,1,0.6931471805599453,-1.6094379124341003,0.1,-2.3025850929940455,-0.916290731874155,-0.8,0.0,-1.1155773512899807,0.4804530139182014,2.5902903939802346,0.0,1.0,-0.0,-1.6094379124341003,T10000_N1
Qwen3-8B/direct/query_last/T10000_N1_seed1236,T10000_N1_seed1236,1236,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,1,0.1,direct,0,query_last,1,1,0,0,ok,stop,1,1.0,0.0,0.0,0.0,5,correct,1,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,158,10000,1,0.6931471805599453,-1.6094379124341003,0.1,-2.3025850929940455,-0.916290731874155,-0.8,0.0,-1.1155773512899807,0.4804530139182014,2.5902903939802346,0.0,1.0,-0.0,-1.6094379124341003,T10000_N1
Qwen3-8B/direct/query_last/T10000_N1_seed1237,T10000_N1_seed1237,1237,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,1,0.1,direct,0,query_last,1,1,0,0,ok,stop,1,1.0,0.0,0.0,0.0,5,correct,1,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,159,10000,1,0.6931471805599453,-1.6094379124341003,0.1,-2.3025850929940455,-0.916290731874155,-0.8,0.0,-1.1155773512899807,0.4804530139182014,2.5902903939802346,0.0,1.0,-0.0,-1.6094379124341003,T10000_N1
Qwen3-8B/direct/query_last/T10000_N1_seed1238,T10000_N1_seed1238,1238,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,1,0.1,direct,0,query_last,1,1,0,0,ok,stop,1,1.0,0.0,0.0,0.0,5,correct,1,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,160,10000,1,0.6931471805599453,-1.6094379124341003,0.1,-2.3025850929940455,-0.916290731874155,-0.8,0.0,-1.1155773512899807,0.4804530139182014,2.5902903939802346,0.0,1.0,-0.0,-1.6094379124341003,T10000_N1
