anomaly_id,models,scope,observation,evidence,interpretation,caveat
A1,Qwen3-8B,enumeration × query order,Exact count jumps from 32.0% to 95.3%.,"With query first, 146/150 lists are complete, but 98 of them still have the wrong Total. Predicted Total versus score sum has r=0.916; median relative distance is 3.4%, and 65/98 are within 10%.",The main failure is operator selection at aggregation: Total is read as a sum of numeric scores rather than the number of records. Moving the instruction next to generation restores the count rule.,"The 95.3% headline scores only the final count. Full-list fidelity is 71.3% with query last, so it is not a 95.3% fully-correct enumeration rate."
A2,Qwen3-32B,enumeration × query order,Exact count rises from 50.7% to 98.7%.,"All 72 query-first complete-list errors occur after retrieval; 30 equal the listed score sum exactly, 69 are within 10%, and corr(Total, score sum)=0.999.","The same aggregation ambiguity appears at 32B, so it is not unique to the 8B checkpoint. Native thinking stays near ceiling, showing that the failure is execution-path specific.","Shared behavior across two Qwen sizes supports a family-level prompt interaction, not a universal architectural law."
A3,Qwen3-8B,direct signed-error reversal,"Direct accuracy is 42.7% for both query orders, although the error direction nearly reverses.",Query first has 81 undercounts and 1 overcount; query last has 6 undercounts and 80 overcounts.,Query placement changes the sign of numerical bias even when exact accuracy is unchanged. Accuracy alone therefore hides a major mechanism change.,This identifies an output-bias shift; it does not isolate the internal attention or memory process causing it.
A4,Qwen3-1.7B,mode × query-order sign reversal,"Query last helps direct (15.3% → 34.7%) and enumeration (14.7% → 33.3%), but hurts native thinking (68.0% → 55.3%).",Direct query first produces 126 undercounts; native thinking query first instead reaches 102/150 exact.,Native thinking is not a uniform accuracy offset: it changes how the model uses query position and reduces the strong query-first undercount mechanism.,The comparison is within one model and frozen decoding; it should not be generalized to untested Qwen templates.
A5,Qwen3-32B,direct/enumeration order reversal,"Direct prefers query first (64.0% vs 48.0%), enumeration strongly prefers query last, and native thinking is stable (98.7% vs 97.3%).",The order effect changes from −16.0 pp in direct to +48.0 pp in enumeration while native thinking differs by only −1.3 pp.,There is no model-wide best query order. The output protocol selects different counting/aggregation paths with different position sensitivity.,"Order and instruction-to-generation distance change together in this design, so a rule-repetition ablation is needed for causality."
A6,Gemma4-E4B,query-first advantage only for explicit reasoning,"Enumeration/native thinking fall from 95.3%/96.0% to 75.3%/75.3%, while direct improves from 33.3% to 44.0%.",Enumeration undercounts rise from 1 to 34 and native-thinking undercounts from 4 to 30 when the query moves last.,"For explicit extraction/reasoning, knowing the task before reading the passage appears to help Gemma retain the full candidate set; the terse direct path has a different bottleneck.","This is the best-supported behavioral interpretation, not direct evidence about Gemma's internal memory state."
A7,Gemma4-12B,mode-specific generation collapse,"Direct accuracy is 2.3%, whereas enumeration reaches 90.0%; native thinking is intermediate at 58.3%.","Direct truncates on 293/300 requests, including 150/150 query-last requests. Native-thinking truncation rises from 38/150 query first to 78/150 query last; enumeration query first is 150/150 exact.",This is a generation-budget/channel-path failure rather than a general inability to count. The same model succeeds when routed through the enumeration output path.,Its direct/native scores are conditional on the frozen generation budget and should not be treated as architecture-only capability.
A8,OLMo-Hybrid-7B,enumeration underperforms direct,Explicit enumeration lowers accuracy from 49.3% to 41.0%.,"Parsing remains high, but enumeration produces 101 overcounts; 46 requests retrieve the complete record set and still give a wrong Total.",Listing records adds an aggregation stage that can fail; explicit intermediate output is not automatically beneficial.,"OLMo native thinking was not registered, so this does not compare all possible reasoning interfaces."
A9,Llama3.1-8B,mixed counting and interface failure,"Query last improves direct from 15.3% to 40.7%, but enumeration remains only 32.7% overall.","Direct query first has 121 undercounts. Enumeration has 159/300 non-truncation format/parse failures (92 query first, 67 query last).",Two mechanisms coexist: position-sensitive undercounting in direct answers and failure to obey the multi-line enumeration contract.,Combining these failures into one 'counting error' would overstate the numerical component.
A10,Llama3.2-3B,mode-specific query-last collapse,"Query last raises direct accuracy from 8.7% to 38.0%, yet enumeration falls from 6.0% to 2.0%.","Enumeration query last has 123 format/parse failures plus 5 truncations out of 150; query first also mixes 67 parse failures, 58 overcounts, and 7 truncations.","The short direct contract benefits from a recent query, while the long enumeration contract collapses at the interface/format stage. This is not a simple query-position effect.","The 2.0% exact score should be read with the 85.3% format-failure rate, not as pure retrieval inability."
