split,seed,gold_count,occurrence,request_id,stimulus_id,trace_category,marker_kind,exact_count,parsed_count,boundary_kind,alignment_strategy,retokenized_suffix_tokens,endpoint_token,prefix_token_count,shared_baseline_prefix_tokens,prompt_token_count,output_token_count,item_char_length,item_line_number,city,raw_suffix,baseline_endpoint_token_id,pc1,pc2,pc3,display_vertical,band,centered_pc1,centered_pc2,centered_pc3,centered_band
discovery,1234,1,1,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N1_seed1234,V4_4_T10000_N1_seed1234,one_to_one,bullet,True,1,newline,literal_baseline_token_prefix,0,248,249,249,10205,301,176,11,Chicago,"go, Numeric Score = 72). * The other e",769,-33.801907,10.786302,-13.354459,24.017233,upper,-3.6434817e-09,-6.019911e-09,7.23022e-09,lower
discovery,1234,2,1,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N2_seed1234,V4_4_T10000_N2_seed1234,one_to_one,inline_count,True,2,semantic_end:labeled_rank,literal_baseline_token_prefix,0,152,153,153,10204,281,29,10,Chicago,"Record 1 (Chicago, 72)** * *End excerp",62902,-44.801178,9.025531,-5.8111954,23.141674,upper,-26.8975,6.295387,-19.082052,upper
discovery,1234,2,2,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N2_seed1234,V4_4_T10000_N2_seed1234,one_to_one,inline_count,True,2,semantic_end:labeled_rank,literal_baseline_token_prefix,0,221,222,222,10204,281,26,14,Baku,"**Record 2 (Baku, 98)** * *End excerp",62902,-1.3820271,3.4358416,-9.521718,6.6612535,lower,26.8975,-6.295387,19.082052,lower
discovery,1234,3,1,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N3_seed1234,V4_4_T10000_N3_seed1234,one_to_one,inline_count,True,3,semantic_end:labeled_rank,literal_baseline_token_prefix,0,146,147,147,10205,342,23,9,Chicago,"(Record 1: Chicago, 72) * *Passage contin",236768,-43.2344,6.148101,6.158137,16.109783,upper,-42.206375,8.976101,-14.894845,upper
discovery,1234,3,2,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N3_seed1234,V4_4_T10000_N3_seed1234,one_to_one,inline_count,True,3,semantic_end:labeled_rank,literal_baseline_token_prefix,0,199,200,200,10205,342,20,11,Baku,"8."" (Record 2: Baku, 98) * *Passage contin",236768,4.1856103,-19.753832,1.3775175,-19.385498,lower,13.21058,-27.811674,7.1950765,lower
discovery,1234,3,3,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N3_seed1234,V4_4_T10000_N3_seed1234,one_to_one,inline_count,True,3,semantic_end:labeled_rank,literal_baseline_token_prefix,0,252,253,253,10205,342,22,13,Taipei,""" (Record 3: Taipei, 95) * *Passage ends.*",236768,14.414259,20.404972,2.3196971,13.2901745,lower,28.995789,18.835573,7.699768,lower
discovery,1234,4,1,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N4_seed1234,V4_4_T10000_N4_seed1234,one_to_one,inline_count,True,4,semantic_end:labeled_rank,literal_baseline_token_prefix,0,146,147,147,10204,409,23,9,Chicago,"(Record 1: Chicago, 72) * *Passage contin",236768,-43.46228,6.044048,6.145007,16.087635,upper,-48.635876,11.723179,-8.485456,upper
discovery,1234,4,2,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N4_seed1234,V4_4_T10000_N4_seed1234,one_to_one,inline_count,True,4,semantic_end:labeled_rank,literal_baseline_token_prefix,0,199,200,200,10204,409,20,11,Baku,"8."" (Record 2: Baku, 98) * *Passage contin",236768,2.2176287,-20.456955,-0.16693231,-18.923962,lower,4.663969,-25.65583,13.151241,lower
discovery,1234,4,3,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N4_seed1234,V4_4_T10000_N4_seed1234,one_to_one,inline_count,True,4,semantic_end:labeled_rank,literal_baseline_token_prefix,0,252,253,253,10204,409,22,13,Taipei,""" (Record 3: Taipei, 95) * *Passage contin",236768,16.199808,-15.063934,3.200996,-19.30866,lower,20.78438,-19.471315,-7.971209,lower
discovery,1234,4,4,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N4_seed1234,V4_4_T10000_N4_seed1234,one_to_one,inline_count,True,4,semantic_end:labeled_rank,literal_baseline_token_prefix,0,307,308,308,10204,409,22,15,Harbin,""" (Record 4: Harbin, 67) 4. **Verification:**",236768,14.736852,29.958714,0.7099659,22.293663,lower,23.187523,33.40397,3.305424,lower
discovery,1234,5,1,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N5_seed1234,V4_4_T10000_N5_seed1234,one_to_one,inline_count,True,5,semantic_end:labeled_rank,literal_baseline_token_prefix,0,160,161,161,10204,366,104,9,Chicago,"core of 72."" (Count = 1) * Found the secon",236768,-43.2587,-0.95335376,28.327393,2.3543484,upper,-55.036358,5.721466,11.940153,upper
discovery,1234,5,2,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N5_seed1234,V4_4_T10000_N5_seed1234,one_to_one,inline_count,True,5,semantic_end:labeled_rank,literal_baseline_token_prefix,0,196,197,197,10204,366,102,10,Baku,"core of 98."" (Count = 2) * Found the third",236768,4.7441926,-23.381557,4.414498,-23.813278,lower,2.2632635,-27.97325,13.169557,lower
discovery,1234,5,3,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N5_seed1234,V4_4_T10000_N5_seed1234,one_to_one,inline_count,True,5,semantic_end:labeled_rank,literal_baseline_token_prefix,0,232,233,233,10204,366,103,11,Taipei,"core of 95."" (Count = 3) * Found the fourt",236768,14.618448,-15.433839,2.7303188,-19.020103,lower,14.282793,-18.872715,-8.532341,lower
discovery,1234,5,4,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N5_seed1234,V4_4_T10000_N5_seed1234,one_to_one,inline_count,True,5,semantic_end:labeled_rank,literal_baseline_token_prefix,0,269,270,270,10204,366,104,12,Harbin,"core of 67."" (Count = 4) * Found the fifth",236768,18.806787,-0.38603267,4.7307158,-7.4302015,lower,19.440454,-0.106771186,-21.019295,lower
discovery,1234,5,5,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N5_seed1234,V4_4_T10000_N5_seed1234,one_to_one,inline_count,True,5,semantic_end:labeled_rank,literal_baseline_token_prefix,0,305,306,306,10204,366,101,13,Rome,"core of 65."" (Count = 5) 4. **Verify the Count",236768,15.400595,35.558765,2.8197849,26.413126,lower,19.049849,41.23127,4.441928,lower
discovery,1234,6,1,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N6_seed1234,V4_4_T10000_N6_seed1234,one_to_one,inline_count,True,6,semantic_end:labeled_rank,literal_baseline_token_prefix,0,160,161,161,10204,412,104,9,Chicago,"core of 72."" (Count = 1) * Found the secon",236768,-43.44649,-1.0518386,28.4359,2.2848573,upper,-58.756966,2.212751,12.752173,upper
discovery,1234,6,2,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N6_seed1234,V4_4_T10000_N6_seed1234,one_to_one,inline_count,True,6,semantic_end:labeled_rank,literal_baseline_token_prefix,0,196,197,197,10204,412,102,10,Baku,"core of 98."" (Count = 2) * Found the third",236768,4.1347384,-24.186256,3.9029422,-24.185184,lower,-2.0047321,-32.29478,13.927466,lower
discovery,1234,6,3,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N6_seed1234,V4_4_T10000_N6_seed1234,one_to_one,inline_count,True,6,semantic_end:labeled_rank,literal_baseline_token_prefix,0,232,233,233,10204,412,103,11,Taipei,"core of 95."" (Count = 3) * Found the fourt",236768,13.455549,-17.135612,1.8845406,-19.922276,lower,9.386027,-24.259245,-7.3998466,lower
discovery,1234,6,4,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N6_seed1234,V4_4_T10000_N6_seed1234,one_to_one,inline_count,True,6,semantic_end:labeled_rank,literal_baseline_token_prefix,0,269,270,270,10204,412,104,12,Harbin,"core of 67."" (Count = 4) * Found the fifth",236768,17.371727,-7.4094,2.7577872,-12.644928,lower,13.892848,-11.876938,-22.362898,lower
discovery,1234,6,5,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N6_seed1234,V4_4_T10000_N6_seed1234,one_to_one,inline_count,True,6,semantic_end:labeled_rank,literal_baseline_token_prefix,0,305,306,306,10204,412,101,13,Rome,"core of 65."" (Count = 5) * Found the sixth",236768,21.06842,26.957039,7.3354716,15.539202,lower,20.702385,28.334929,-2.547977,lower
discovery,1234,6,6,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N6_seed1234,V4_4_T10000_N6_seed1234,one_to_one,inline_count,True,6,semantic_end:labeled_rank,literal_baseline_token_prefix,0,341,342,342,10204,412,104,14,Antwerp,"core of 88."" (Count = 6) 4. **Final Count Veri",236768,16.868126,35.22924,3.731872,25.383837,lower,16.780437,37.88328,5.6310835,lower
discovery,1234,7,1,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N7_seed1234,V4_4_T10000_N7_seed1234,one_to_one,inline_count,True,7,semantic_end:labeled_rank,literal_baseline_token_prefix,0,171,172,172,10206,573,43,10,Chicago,re: 72) -> **Count = 1** * *Continuing sca,1018,-40.06809,2.0876923,9.308544,10.493072,upper,-54.245983,2.0150154,3.796496,upper
discovery,1234,7,2,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N7_seed1234,V4_4_T10000_N7_seed1234,one_to_one,inline_count,True,7,semantic_end:labeled_rank,literal_baseline_token_prefix,0,228,229,229,10206,573,40,12,Baku,re: 98) -> **Count = 2** * *Continuing sca,1018,-0.10337701,-21.682875,-5.184758,-17.668253,lower,-7.8929625,-30.136118,13.659171,lower
discovery,1234,7,3,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N7_seed1234,V4_4_T10000_N7_seed1234,one_to_one,inline_count,True,7,semantic_end:labeled_rank,literal_baseline_token_prefix,0,285,286,286,10206,573,42,14,Taipei,re: 95) -> **Count = 3** * *Continuing sca,1018,10.018439,-16.46009,-2.9630678,-16.692867,lower,4.0718927,-24.114426,-1.0658731,lower
