model_label,query_variant,response_type,request_id,occurrence,bank_size,seed,split,gold_count,clean_exact,ranked_exact,random_exact_mean,ranked_damage,random_damage_mean,all_accuracy_damage_specificity,clean_correct_to_wrong_specificity,ranked_token_accuracy,random_token_accuracy_mean,token_accuracy_specificity
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N2_seed1259,1,1,1259,confirmation,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N2_seed1259,1,2,1259,confirmation,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N2_seed1259,1,4,1259,confirmation,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N2_seed1259,1,8,1259,confirmation,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N2_seed1259,1,16,1259,confirmation,2,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N2_seed1259,1,32,1259,confirmation,2,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N2_seed1259,2,1,1259,confirmation,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N2_seed1259,2,2,1259,confirmation,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N2_seed1259,2,4,1259,confirmation,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N2_seed1259,2,8,1259,confirmation,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N2_seed1259,2,16,1259,confirmation,2,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N2_seed1259,2,32,1259,confirmation,2,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N5_seed1260,1,1,1260,confirmation,5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Gemma4-E4B,response_reference_pre_reference_d1,bare_or_list,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N5_seed1260,1,2,1260,confirmation,5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
