model_label,role,site,population,target,factor,marginal_eta_squared,levels,observations
Gemma4-E4B,prompt_running,needle_span_end,all_confirmation,noise_total_rms,running_index,0.26814954833123616,10,3000
Gemma4-E4B,prompt_running,needle_span_end,all_confirmation,noise_total_rms,position_bin,0.11456958465081797,10,3000
Gemma4-E4B,prompt_running,needle_span_end,all_confirmation,noise_total_rms,seed,0.003742130217767524,10,3000
Gemma4-E4B,prompt_running,needle_span_end,all_confirmation,noise_total_rms,realization_id,0.025609524684134886,30,3000
Gemma4-E4B,prompt_running,needle_span_end,all_confirmation,noise_total_rms,city,0.041927628487599206,100,3000
Gemma4-E4B,prompt_running,needle_span_end,all_confirmation,noise_total_rms,score,0.013783728030774822,51,3000
Gemma4-E4B,prompt_running,needle_span_end,all_confirmation,noise_total_rms,haystack_source_mode,,1,3000
Gemma4-E4B,prompt_running,needle_span_end,all_confirmation,noise_total_rms,haystack_source_files,0.23008275795181174,273,3000
Gemma4-E4B,prompt_running,needle_span_end,all_confirmation,noise_orthogonal_rms,running_index,0.29156511433643484,10,3000
Gemma4-E4B,prompt_running,needle_span_end,all_confirmation,noise_orthogonal_rms,position_bin,0.13334312324236208,10,3000
Gemma4-E4B,prompt_running,needle_span_end,all_confirmation,noise_orthogonal_rms,seed,0.005266001566200848,10,3000
Gemma4-E4B,prompt_running,needle_span_end,all_confirmation,noise_orthogonal_rms,realization_id,0.029009542437114465,30,3000
Gemma4-E4B,prompt_running,needle_span_end,all_confirmation,noise_orthogonal_rms,city,0.03927297817944145,100,3000
Gemma4-E4B,prompt_running,needle_span_end,all_confirmation,noise_orthogonal_rms,score,0.012092194692118743,51,3000
Gemma4-E4B,prompt_running,needle_span_end,all_confirmation,noise_orthogonal_rms,haystack_source_mode,,1,3000
Gemma4-E4B,prompt_running,needle_span_end,all_confirmation,noise_orthogonal_rms,haystack_source_files,0.26016963949245225,273,3000
Gemma4-E4B,prompt_running,needle_span_end,correct_only_confirmation,noise_total_rms,running_index,0.2405668594672562,10,1270
Gemma4-E4B,prompt_running,needle_span_end,correct_only_confirmation,noise_total_rms,position_bin,0.10485482889758854,10,1270
Gemma4-E4B,prompt_running,needle_span_end,correct_only_confirmation,noise_total_rms,seed,0.0221311627434495,10,1270
Gemma4-E4B,prompt_running,needle_span_end,correct_only_confirmation,noise_total_rms,realization_id,0.07117836651908867,30,1270
Gemma4-E4B,prompt_running,needle_span_end,correct_only_confirmation,noise_total_rms,city,0.08964961212115187,100,1270
Gemma4-E4B,prompt_running,needle_span_end,correct_only_confirmation,noise_total_rms,score,0.03218456888418392,51,1270
Gemma4-E4B,prompt_running,needle_span_end,correct_only_confirmation,noise_total_rms,haystack_source_mode,,1,1270
Gemma4-E4B,prompt_running,needle_span_end,correct_only_confirmation,noise_total_rms,haystack_source_files,0.291732797307275,118,1270
Gemma4-E4B,prompt_running,needle_span_end,correct_only_confirmation,noise_orthogonal_rms,running_index,0.25551223406731,10,1270
Gemma4-E4B,prompt_running,needle_span_end,correct_only_confirmation,noise_orthogonal_rms,position_bin,0.11841495448492494,10,1270
Gemma4-E4B,prompt_running,needle_span_end,correct_only_confirmation,noise_orthogonal_rms,seed,0.02639979383653801,10,1270
Gemma4-E4B,prompt_running,needle_span_end,correct_only_confirmation,noise_orthogonal_rms,realization_id,0.07449036893481471,30,1270
Gemma4-E4B,prompt_running,needle_span_end,correct_only_confirmation,noise_orthogonal_rms,city,0.08509197504138433,100,1270
Gemma4-E4B,prompt_running,needle_span_end,correct_only_confirmation,noise_orthogonal_rms,score,0.03364247960258692,51,1270
Gemma4-E4B,prompt_running,needle_span_end,correct_only_confirmation,noise_orthogonal_rms,haystack_source_mode,,1,1270
Gemma4-E4B,prompt_running,needle_span_end,correct_only_confirmation,noise_orthogonal_rms,haystack_source_files,0.3302181910384274,118,1270
Gemma4-E4B,trace_running,all_sites,all_confirmation,noise_total_rms,running_index,0.08139230485926897,10,61464
Gemma4-E4B,trace_running,all_sites,all_confirmation,noise_total_rms,position_bin,0.0317724630049498,9,61464
Gemma4-E4B,trace_running,all_sites,all_confirmation,noise_total_rms,seed,0.002177696235187206,10,61464
Gemma4-E4B,trace_running,all_sites,all_confirmation,noise_total_rms,realization_id,0.008925543807467145,30,61464
Gemma4-E4B,trace_running,all_sites,all_confirmation,noise_total_rms,marker_kind,0.027390296532995486,4,61464
Gemma4-E4B,trace_running,all_sites,all_confirmation,noise_total_rms,termination_kind,0.04849346533503863,8,61464
Gemma4-E4B,trace_running,all_sites,all_confirmation,noise_total_rms,trace_order_class,0.002325521127107623,2,61464
Gemma4-E4B,trace_running,all_sites,all_confirmation,noise_total_rms,site,0.41916291986522924,12,61464
Gemma4-E4B,trace_running,all_sites,all_confirmation,noise_orthogonal_rms,running_index,0.09714242216893498,10,61464
Gemma4-E4B,trace_running,all_sites,all_confirmation,noise_orthogonal_rms,position_bin,0.03475468553922446,9,61464
Gemma4-E4B,trace_running,all_sites,all_confirmation,noise_orthogonal_rms,seed,0.0022093999651036206,10,61464
Gemma4-E4B,trace_running,all_sites,all_confirmation,noise_orthogonal_rms,realization_id,0.009013117340116436,30,61464
Gemma4-E4B,trace_running,all_sites,all_confirmation,noise_orthogonal_rms,marker_kind,0.026757416469640104,4,61464
Gemma4-E4B,trace_running,all_sites,all_confirmation,noise_orthogonal_rms,termination_kind,0.04576387749747082,8,61464
Gemma4-E4B,trace_running,all_sites,all_confirmation,noise_orthogonal_rms,trace_order_class,0.002713845052904551,2,61464
Gemma4-E4B,trace_running,all_sites,all_confirmation,noise_orthogonal_rms,site,0.39640389891953953,12,61464
Gemma4-E4B,trace_running,all_sites,correct_only_confirmation,noise_total_rms,running_index,0.08128832961059948,10,61452
Gemma4-E4B,trace_running,all_sites,correct_only_confirmation,noise_total_rms,position_bin,0.03180419287843223,9,61452
Gemma4-E4B,trace_running,all_sites,correct_only_confirmation,noise_total_rms,seed,0.002184129586805735,10,61452
Gemma4-E4B,trace_running,all_sites,correct_only_confirmation,noise_total_rms,realization_id,0.008890502233553962,30,61452
Gemma4-E4B,trace_running,all_sites,correct_only_confirmation,noise_total_rms,marker_kind,0.027434218606234816,4,61452
Gemma4-E4B,trace_running,all_sites,correct_only_confirmation,noise_total_rms,termination_kind,0.04842185759046197,8,61452
Gemma4-E4B,trace_running,all_sites,correct_only_confirmation,noise_total_rms,trace_order_class,0.002321103136675028,2,61452
Gemma4-E4B,trace_running,all_sites,correct_only_confirmation,noise_total_rms,site,0.4192171219820141,12,61452
Gemma4-E4B,trace_running,all_sites,correct_only_confirmation,noise_orthogonal_rms,running_index,0.09701968228797321,10,61452
Gemma4-E4B,trace_running,all_sites,correct_only_confirmation,noise_orthogonal_rms,position_bin,0.03478780179194454,9,61452
Gemma4-E4B,trace_running,all_sites,correct_only_confirmation,noise_orthogonal_rms,seed,0.002218471640900696,10,61452
Gemma4-E4B,trace_running,all_sites,correct_only_confirmation,noise_orthogonal_rms,realization_id,0.008973485389866061,30,61452
Gemma4-E4B,trace_running,all_sites,correct_only_confirmation,noise_orthogonal_rms,marker_kind,0.026808012045482173,4,61452
Gemma4-E4B,trace_running,all_sites,correct_only_confirmation,noise_orthogonal_rms,termination_kind,0.045677445748744085,8,61452
Gemma4-E4B,trace_running,all_sites,correct_only_confirmation,noise_orthogonal_rms,trace_order_class,0.0027086023855829268,2,61452
Gemma4-E4B,trace_running,all_sites,correct_only_confirmation,noise_orthogonal_rms,site,0.39647790187973864,12,61452
Gemma4-E4B,trace_running,city_end,all_confirmation,noise_total_rms,running_index,0.1591660618224195,10,5122
Gemma4-E4B,trace_running,city_end,all_confirmation,noise_total_rms,position_bin,0.032095556020092446,9,5122
Gemma4-E4B,trace_running,city_end,all_confirmation,noise_total_rms,seed,0.013958666489494034,10,5122
Gemma4-E4B,trace_running,city_end,all_confirmation,noise_total_rms,realization_id,0.04006566249648852,30,5122
Gemma4-E4B,trace_running,city_end,all_confirmation,noise_total_rms,marker_kind,0.09989259229767432,4,5122
Gemma4-E4B,trace_running,city_end,all_confirmation,noise_total_rms,termination_kind,0.13572232680268503,8,5122
Gemma4-E4B,trace_running,city_end,all_confirmation,noise_total_rms,trace_order_class,0.0016752395789624687,2,5122
Gemma4-E4B,trace_running,city_end,all_confirmation,noise_total_rms,site,,1,5122
Gemma4-E4B,trace_running,city_end,all_confirmation,noise_orthogonal_rms,running_index,0.1498173781654091,10,5122
Gemma4-E4B,trace_running,city_end,all_confirmation,noise_orthogonal_rms,position_bin,0.03117168479316644,9,5122
Gemma4-E4B,trace_running,city_end,all_confirmation,noise_orthogonal_rms,seed,0.012701573669718823,10,5122
Gemma4-E4B,trace_running,city_end,all_confirmation,noise_orthogonal_rms,realization_id,0.03752837802380411,30,5122
Gemma4-E4B,trace_running,city_end,all_confirmation,noise_orthogonal_rms,marker_kind,0.09955028928737239,4,5122
Gemma4-E4B,trace_running,city_end,all_confirmation,noise_orthogonal_rms,termination_kind,0.14384831242552093,8,5122
Gemma4-E4B,trace_running,city_end,all_confirmation,noise_orthogonal_rms,trace_order_class,0.002037650583823141,2,5122
Gemma4-E4B,trace_running,city_end,all_confirmation,noise_orthogonal_rms,site,,1,5122
Gemma4-E4B,trace_running,city_end,correct_only_confirmation,noise_total_rms,running_index,0.15900644828612645,10,5121
Gemma4-E4B,trace_running,city_end,correct_only_confirmation,noise_total_rms,position_bin,0.03213254254105064,9,5121
Gemma4-E4B,trace_running,city_end,correct_only_confirmation,noise_total_rms,seed,0.013974487782751267,10,5121
Gemma4-E4B,trace_running,city_end,correct_only_confirmation,noise_total_rms,realization_id,0.039932684132162964,30,5121
Gemma4-E4B,trace_running,city_end,correct_only_confirmation,noise_total_rms,marker_kind,0.09984502138348726,4,5121
Gemma4-E4B,trace_running,city_end,correct_only_confirmation,noise_total_rms,termination_kind,0.1355588695447571,8,5121
Gemma4-E4B,trace_running,city_end,correct_only_confirmation,noise_total_rms,trace_order_class,0.0016707014614848088,2,5121
Gemma4-E4B,trace_running,city_end,correct_only_confirmation,noise_total_rms,site,,1,5121
Gemma4-E4B,trace_running,city_end,correct_only_confirmation,noise_orthogonal_rms,running_index,0.14964839483914538,10,5121
Gemma4-E4B,trace_running,city_end,correct_only_confirmation,noise_orthogonal_rms,position_bin,0.031205575584465402,9,5121
Gemma4-E4B,trace_running,city_end,correct_only_confirmation,noise_orthogonal_rms,seed,0.012721349006036298,10,5121
Gemma4-E4B,trace_running,city_end,correct_only_confirmation,noise_orthogonal_rms,realization_id,0.037398153746145565,30,5121
Gemma4-E4B,trace_running,city_end,correct_only_confirmation,noise_orthogonal_rms,marker_kind,0.09950324608174435,4,5121
Gemma4-E4B,trace_running,city_end,correct_only_confirmation,noise_orthogonal_rms,termination_kind,0.14367409675107276,8,5121
Gemma4-E4B,trace_running,city_end,correct_only_confirmation,noise_orthogonal_rms,trace_order_class,0.0020324664465084957,2,5121
Gemma4-E4B,trace_running,city_end,correct_only_confirmation,noise_orthogonal_rms,site,,1,5121
Gemma4-E4B,trace_running,city_middle,all_confirmation,noise_total_rms,running_index,0.050007778193369275,10,5122
Gemma4-E4B,trace_running,city_middle,all_confirmation,noise_total_rms,position_bin,0.015816437900556517,9,5122
Gemma4-E4B,trace_running,city_middle,all_confirmation,noise_total_rms,seed,0.013107371403583762,10,5122
Gemma4-E4B,trace_running,city_middle,all_confirmation,noise_total_rms,realization_id,0.0349337991136154,30,5122
Gemma4-E4B,trace_running,city_middle,all_confirmation,noise_total_rms,marker_kind,0.08516401268928721,4,5122
Gemma4-E4B,trace_running,city_middle,all_confirmation,noise_total_rms,termination_kind,0.10187878281457743,8,5122
Gemma4-E4B,trace_running,city_middle,all_confirmation,noise_total_rms,trace_order_class,0.0005607377624796959,2,5122
Gemma4-E4B,trace_running,city_middle,all_confirmation,noise_total_rms,site,,1,5122
Gemma4-E4B,trace_running,city_middle,all_confirmation,noise_orthogonal_rms,running_index,0.031535897842572644,10,5122
Gemma4-E4B,trace_running,city_middle,all_confirmation,noise_orthogonal_rms,position_bin,0.01159880282340464,9,5122
Gemma4-E4B,trace_running,city_middle,all_confirmation,noise_orthogonal_rms,seed,0.011528508349486065,10,5122
Gemma4-E4B,trace_running,city_middle,all_confirmation,noise_orthogonal_rms,realization_id,0.032917884741050056,30,5122
Gemma4-E4B,trace_running,city_middle,all_confirmation,noise_orthogonal_rms,marker_kind,0.0895910243414186,4,5122
Gemma4-E4B,trace_running,city_middle,all_confirmation,noise_orthogonal_rms,termination_kind,0.10643833095759643,8,5122
Gemma4-E4B,trace_running,city_middle,all_confirmation,noise_orthogonal_rms,trace_order_class,0.00043557597806317494,2,5122
Gemma4-E4B,trace_running,city_middle,all_confirmation,noise_orthogonal_rms,site,,1,5122
Gemma4-E4B,trace_running,city_middle,correct_only_confirmation,noise_total_rms,running_index,0.04997212676709665,10,5121
Gemma4-E4B,trace_running,city_middle,correct_only_confirmation,noise_total_rms,position_bin,0.01581457575998517,9,5121
Gemma4-E4B,trace_running,city_middle,correct_only_confirmation,noise_total_rms,seed,0.013113462179609955,10,5121
Gemma4-E4B,trace_running,city_middle,correct_only_confirmation,noise_total_rms,realization_id,0.03489908093088414,30,5121
Gemma4-E4B,trace_running,city_middle,correct_only_confirmation,noise_total_rms,marker_kind,0.0851438232641404,4,5121
Gemma4-E4B,trace_running,city_middle,correct_only_confirmation,noise_total_rms,termination_kind,0.10184487375651893,8,5121
Gemma4-E4B,trace_running,city_middle,correct_only_confirmation,noise_total_rms,trace_order_class,0.0005595861242232496,2,5121
Gemma4-E4B,trace_running,city_middle,correct_only_confirmation,noise_total_rms,site,,1,5121
Gemma4-E4B,trace_running,city_middle,correct_only_confirmation,noise_orthogonal_rms,running_index,0.03150462699164531,10,5121
Gemma4-E4B,trace_running,city_middle,correct_only_confirmation,noise_orthogonal_rms,position_bin,0.011593023073121269,9,5121
Gemma4-E4B,trace_running,city_middle,correct_only_confirmation,noise_orthogonal_rms,seed,0.011536108980879062,10,5121
Gemma4-E4B,trace_running,city_middle,correct_only_confirmation,noise_orthogonal_rms,realization_id,0.032886533404238825,30,5121
Gemma4-E4B,trace_running,city_middle,correct_only_confirmation,noise_orthogonal_rms,marker_kind,0.0895717715675016,4,5121
Gemma4-E4B,trace_running,city_middle,correct_only_confirmation,noise_orthogonal_rms,termination_kind,0.10640703307071851,8,5121
Gemma4-E4B,trace_running,city_middle,correct_only_confirmation,noise_orthogonal_rms,trace_order_class,0.0004345977653604282,2,5121
Gemma4-E4B,trace_running,city_middle,correct_only_confirmation,noise_orthogonal_rms,site,,1,5121
Gemma4-E4B,trace_running,city_span_mean,all_confirmation,noise_total_rms,running_index,0.13861830242137982,10,5122
Gemma4-E4B,trace_running,city_span_mean,all_confirmation,noise_total_rms,position_bin,0.03477196218050977,9,5122
Gemma4-E4B,trace_running,city_span_mean,all_confirmation,noise_total_rms,seed,0.01276100442680343,10,5122
Gemma4-E4B,trace_running,city_span_mean,all_confirmation,noise_total_rms,realization_id,0.038761557495181974,30,5122
Gemma4-E4B,trace_running,city_span_mean,all_confirmation,noise_total_rms,marker_kind,0.08854898964442331,4,5122
Gemma4-E4B,trace_running,city_span_mean,all_confirmation,noise_total_rms,termination_kind,0.1103647828167869,8,5122
Gemma4-E4B,trace_running,city_span_mean,all_confirmation,noise_total_rms,trace_order_class,0.0011022347612119462,2,5122
Gemma4-E4B,trace_running,city_span_mean,all_confirmation,noise_total_rms,site,,1,5122
Gemma4-E4B,trace_running,city_span_mean,all_confirmation,noise_orthogonal_rms,running_index,0.11100862070850018,10,5122
Gemma4-E4B,trace_running,city_span_mean,all_confirmation,noise_orthogonal_rms,position_bin,0.02787226118965154,9,5122
Gemma4-E4B,trace_running,city_span_mean,all_confirmation,noise_orthogonal_rms,seed,0.011690673892223717,10,5122
Gemma4-E4B,trace_running,city_span_mean,all_confirmation,noise_orthogonal_rms,realization_id,0.036991583965081995,30,5122
Gemma4-E4B,trace_running,city_span_mean,all_confirmation,noise_orthogonal_rms,marker_kind,0.08901137020725221,4,5122
Gemma4-E4B,trace_running,city_span_mean,all_confirmation,noise_orthogonal_rms,termination_kind,0.11390083314731062,8,5122
Gemma4-E4B,trace_running,city_span_mean,all_confirmation,noise_orthogonal_rms,trace_order_class,0.0011039119572159937,2,5122
Gemma4-E4B,trace_running,city_span_mean,all_confirmation,noise_orthogonal_rms,site,,1,5122
Gemma4-E4B,trace_running,city_span_mean,correct_only_confirmation,noise_total_rms,running_index,0.13834065341107635,10,5121
Gemma4-E4B,trace_running,city_span_mean,correct_only_confirmation,noise_total_rms,position_bin,0.03486120693871422,9,5121
Gemma4-E4B,trace_running,city_span_mean,correct_only_confirmation,noise_total_rms,seed,0.012809223638910367,10,5121
Gemma4-E4B,trace_running,city_span_mean,correct_only_confirmation,noise_total_rms,realization_id,0.03858077988155252,30,5121
Gemma4-E4B,trace_running,city_span_mean,correct_only_confirmation,noise_total_rms,marker_kind,0.0884886207869734,4,5121
Gemma4-E4B,trace_running,city_span_mean,correct_only_confirmation,noise_total_rms,termination_kind,0.11009748546511232,8,5121
Gemma4-E4B,trace_running,city_span_mean,correct_only_confirmation,noise_total_rms,trace_order_class,0.0010963777659355309,2,5121
Gemma4-E4B,trace_running,city_span_mean,correct_only_confirmation,noise_total_rms,site,,1,5121
Gemma4-E4B,trace_running,city_span_mean,correct_only_confirmation,noise_orthogonal_rms,running_index,0.1107654860308038,10,5121
Gemma4-E4B,trace_running,city_span_mean,correct_only_confirmation,noise_orthogonal_rms,position_bin,0.027935689767161636,9,5121
Gemma4-E4B,trace_running,city_span_mean,correct_only_confirmation,noise_orthogonal_rms,seed,0.01173994890152062,10,5121
Gemma4-E4B,trace_running,city_span_mean,correct_only_confirmation,noise_orthogonal_rms,realization_id,0.036844511973730905,30,5121
Gemma4-E4B,trace_running,city_span_mean,correct_only_confirmation,noise_orthogonal_rms,marker_kind,0.08895458104010256,4,5121
Gemma4-E4B,trace_running,city_span_mean,correct_only_confirmation,noise_orthogonal_rms,termination_kind,0.11365941617008793,8,5121
Gemma4-E4B,trace_running,city_span_mean,correct_only_confirmation,noise_orthogonal_rms,trace_order_class,0.001098439553880065,2,5121
Gemma4-E4B,trace_running,city_span_mean,correct_only_confirmation,noise_orthogonal_rms,site,,1,5121
Gemma4-E4B,trace_running,city_start,all_confirmation,noise_total_rms,running_index,0.020022722982236407,10,5122
Gemma4-E4B,trace_running,city_start,all_confirmation,noise_total_rms,position_bin,0.016941276160447487,9,5122
Gemma4-E4B,trace_running,city_start,all_confirmation,noise_total_rms,seed,0.01840176969792829,10,5122
Gemma4-E4B,trace_running,city_start,all_confirmation,noise_total_rms,realization_id,0.029061378374030486,30,5122
Gemma4-E4B,trace_running,city_start,all_confirmation,noise_total_rms,marker_kind,0.06327782267401787,4,5122
Gemma4-E4B,trace_running,city_start,all_confirmation,noise_total_rms,termination_kind,0.06356658085212373,8,5122
Gemma4-E4B,trace_running,city_start,all_confirmation,noise_total_rms,trace_order_class,0.00035959142490594716,2,5122
Gemma4-E4B,trace_running,city_start,all_confirmation,noise_total_rms,site,,1,5122
Gemma4-E4B,trace_running,city_start,all_confirmation,noise_orthogonal_rms,running_index,0.017023721405645006,10,5122
Gemma4-E4B,trace_running,city_start,all_confirmation,noise_orthogonal_rms,position_bin,0.017954663395233706,9,5122
Gemma4-E4B,trace_running,city_start,all_confirmation,noise_orthogonal_rms,seed,0.017934513901126298,10,5122
Gemma4-E4B,trace_running,city_start,all_confirmation,noise_orthogonal_rms,realization_id,0.02810869013202346,30,5122
Gemma4-E4B,trace_running,city_start,all_confirmation,noise_orthogonal_rms,marker_kind,0.06182842295396813,4,5122
Gemma4-E4B,trace_running,city_start,all_confirmation,noise_orthogonal_rms,termination_kind,0.06303786371418553,8,5122
Gemma4-E4B,trace_running,city_start,all_confirmation,noise_orthogonal_rms,trace_order_class,0.00039057179784130765,2,5122
Gemma4-E4B,trace_running,city_start,all_confirmation,noise_orthogonal_rms,site,,1,5122
Gemma4-E4B,trace_running,city_start,correct_only_confirmation,noise_total_rms,running_index,0.019989983224203988,10,5121
Gemma4-E4B,trace_running,city_start,correct_only_confirmation,noise_total_rms,position_bin,0.016986381671558113,9,5121
Gemma4-E4B,trace_running,city_start,correct_only_confirmation,noise_total_rms,seed,0.018412369905229476,10,5121
Gemma4-E4B,trace_running,city_start,correct_only_confirmation,noise_total_rms,realization_id,0.029184577644158754,30,5121
Gemma4-E4B,trace_running,city_start,correct_only_confirmation,noise_total_rms,marker_kind,0.06331023205309304,4,5121
Gemma4-E4B,trace_running,city_start,correct_only_confirmation,noise_total_rms,termination_kind,0.06358858627501038,8,5121
Gemma4-E4B,trace_running,city_start,correct_only_confirmation,noise_total_rms,trace_order_class,0.00035851481943139057,2,5121
Gemma4-E4B,trace_running,city_start,correct_only_confirmation,noise_total_rms,site,,1,5121
Gemma4-E4B,trace_running,city_start,correct_only_confirmation,noise_orthogonal_rms,running_index,0.016994291893737138,10,5121
Gemma4-E4B,trace_running,city_start,correct_only_confirmation,noise_orthogonal_rms,position_bin,0.017999409721009742,9,5121
Gemma4-E4B,trace_running,city_start,correct_only_confirmation,noise_orthogonal_rms,seed,0.017947703081614225,10,5121
Gemma4-E4B,trace_running,city_start,correct_only_confirmation,noise_orthogonal_rms,realization_id,0.028228991003060932,30,5121
Gemma4-E4B,trace_running,city_start,correct_only_confirmation,noise_orthogonal_rms,marker_kind,0.061859958744341755,4,5121
Gemma4-E4B,trace_running,city_start,correct_only_confirmation,noise_orthogonal_rms,termination_kind,0.06306170316287517,8,5121
Gemma4-E4B,trace_running,city_start,correct_only_confirmation,noise_orthogonal_rms,trace_order_class,0.00038945569130549443,2,5121
Gemma4-E4B,trace_running,city_start,correct_only_confirmation,noise_orthogonal_rms,site,,1,5121
Gemma4-E4B,trace_running,item_end,all_confirmation,noise_total_rms,running_index,0.18806946415136142,10,5122
