model_label,prompt_mode,error_category,count,requests,rate
Gemma4-12B,direct,correct,7,300,0.023333333333333334
Gemma4-12B,direct,truncation,293,300,0.9766666666666667
Gemma4-12B,enumeration,correct,270,300,0.9
Gemma4-12B,enumeration,overcount,2,300,0.006666666666666667
Gemma4-12B,enumeration,parse_failure,4,300,0.013333333333333334
Gemma4-12B,enumeration,truncation,1,300,0.0033333333333333335
Gemma4-12B,enumeration,undercount,23,300,0.07666666666666666
Gemma4-12B,native_thinking,correct,175,300,0.5833333333333334
Gemma4-12B,native_thinking,overcount,6,300,0.02
Gemma4-12B,native_thinking,truncation,116,300,0.38666666666666666
Gemma4-12B,native_thinking,undercount,3,300,0.01
Gemma4-E4B,direct,correct,116,300,0.38666666666666666
Gemma4-E4B,direct,overcount,22,300,0.07333333333333333
Gemma4-E4B,direct,truncation,47,300,0.15666666666666668
Gemma4-E4B,direct,undercount,115,300,0.38333333333333336
Gemma4-E4B,enumeration,correct,256,300,0.8533333333333334
Gemma4-E4B,enumeration,overcount,9,300,0.03
Gemma4-E4B,enumeration,undercount,35,300,0.11666666666666667
Gemma4-E4B,native_thinking,correct,257,300,0.8566666666666667
Gemma4-E4B,native_thinking,overcount,8,300,0.02666666666666667
Gemma4-E4B,native_thinking,truncation,1,300,0.0033333333333333335
Gemma4-E4B,native_thinking,undercount,34,300,0.11333333333333333
Llama3.1-8B,direct,correct,84,300,0.28
Llama3.1-8B,direct,overcount,56,300,0.18666666666666668
Llama3.1-8B,direct,parse_failure,5,300,0.016666666666666666
Llama3.1-8B,direct,truncation,1,300,0.0033333333333333335
Llama3.1-8B,direct,undercount,154,300,0.5133333333333333
Llama3.1-8B,enumeration,correct,98,300,0.32666666666666666
Llama3.1-8B,enumeration,overcount,19,300,0.06333333333333334
Llama3.1-8B,enumeration,parse_failure,159,300,0.53
Llama3.1-8B,enumeration,truncation,2,300,0.006666666666666667
Llama3.1-8B,enumeration,undercount,22,300,0.07333333333333333
Llama3.2-3B,direct,correct,70,300,0.23333333333333334
Llama3.2-3B,direct,overcount,110,300,0.36666666666666664
Llama3.2-3B,direct,parse_failure,16,300,0.05333333333333334
Llama3.2-3B,direct,truncation,22,300,0.07333333333333333
Llama3.2-3B,direct,undercount,82,300,0.2733333333333333
Llama3.2-3B,enumeration,correct,12,300,0.04
Llama3.2-3B,enumeration,overcount,73,300,0.24333333333333335
Llama3.2-3B,enumeration,parse_failure,190,300,0.6333333333333333
Llama3.2-3B,enumeration,truncation,12,300,0.04
Llama3.2-3B,enumeration,undercount,13,300,0.043333333333333335
OLMo-Hybrid-7B,direct,correct,148,300,0.49333333333333335
OLMo-Hybrid-7B,direct,overcount,57,300,0.19
OLMo-Hybrid-7B,direct,undercount,95,300,0.31666666666666665
OLMo-Hybrid-7B,enumeration,correct,123,300,0.41
OLMo-Hybrid-7B,enumeration,overcount,101,300,0.33666666666666667
OLMo-Hybrid-7B,enumeration,parse_failure,1,300,0.0033333333333333335
OLMo-Hybrid-7B,enumeration,truncation,16,300,0.05333333333333334
OLMo-Hybrid-7B,enumeration,undercount,59,300,0.19666666666666666
Qwen3-1.7B,direct,correct,75,300,0.25
Qwen3-1.7B,direct,overcount,55,300,0.18333333333333332
Qwen3-1.7B,direct,undercount,170,300,0.5666666666666667
Qwen3-1.7B,enumeration,correct,72,300,0.24
Qwen3-1.7B,enumeration,overcount,153,300,0.51
Qwen3-1.7B,enumeration,parse_failure,18,300,0.06
Qwen3-1.7B,enumeration,undercount,57,300,0.19
Qwen3-1.7B,native_thinking,correct,185,300,0.6166666666666667
Qwen3-1.7B,native_thinking,overcount,9,300,0.03
Qwen3-1.7B,native_thinking,truncation,2,300,0.006666666666666667
Qwen3-1.7B,native_thinking,undercount,104,300,0.3466666666666667
Qwen3-32B,direct,correct,168,300,0.56
Qwen3-32B,direct,overcount,126,300,0.42
Qwen3-32B,direct,truncation,2,300,0.006666666666666667
Qwen3-32B,direct,undercount,4,300,0.013333333333333334
Qwen3-32B,enumeration,correct,224,300,0.7466666666666667
Qwen3-32B,enumeration,overcount,72,300,0.24
Qwen3-32B,enumeration,undercount,4,300,0.013333333333333334
Qwen3-32B,native_thinking,correct,294,300,0.98
Qwen3-32B,native_thinking,overcount,3,300,0.01
Qwen3-32B,native_thinking,undercount,3,300,0.01
Qwen3-8B,direct,correct,128,300,0.4266666666666667
Qwen3-8B,direct,overcount,81,300,0.27
Qwen3-8B,direct,truncation,4,300,0.013333333333333334
Qwen3-8B,direct,undercount,87,300,0.29
Qwen3-8B,enumeration,correct,191,300,0.6366666666666667
Qwen3-8B,enumeration,overcount,100,300,0.3333333333333333
Qwen3-8B,enumeration,parse_failure,1,300,0.0033333333333333335
Qwen3-8B,enumeration,undercount,8,300,0.02666666666666667
Qwen3-8B,native_thinking,correct,293,300,0.9766666666666667
Qwen3-8B,native_thinking,overcount,1,300,0.0033333333333333335
Qwen3-8B,native_thinking,truncation,5,300,0.016666666666666666
Qwen3-8B,native_thinking,undercount,1,300,0.0033333333333333335
