model_label,family,bank_size,metric,is_primary_endpoint,harmful_direction,seed_clusters,effect,ci95_low,ci95_high,sign_flip_p,sign_flip_method,sign_flip_assignments,positive_seed_fraction,nonnegative_seed_fraction,bootstrap_repetitions,holm_p_within_model
Qwen3-8B,answer_prompt_aggregation,1,all_absolute_shift,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_aggregation,1,clean_correct_to_wrong,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_aggregation,1,absolute_error,False,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_aggregation,2,all_absolute_shift,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_aggregation,2,clean_correct_to_wrong,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_aggregation,2,absolute_error,False,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_aggregation,4,all_absolute_shift,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_aggregation,4,clean_correct_to_wrong,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_aggregation,4,absolute_error,False,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_aggregation,8,all_absolute_shift,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_aggregation,8,clean_correct_to_wrong,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_aggregation,8,absolute_error,False,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_aggregation,16,all_absolute_shift,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_aggregation,16,clean_correct_to_wrong,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_aggregation,16,absolute_error,False,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_aggregation,32,all_absolute_shift,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_aggregation,32,clean_correct_to_wrong,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_aggregation,32,absolute_error,False,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_and_trace_aggregation,2,all_absolute_shift,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_and_trace_aggregation,2,clean_correct_to_wrong,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_and_trace_aggregation,2,absolute_error,False,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_and_trace_aggregation,4,all_absolute_shift,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_and_trace_aggregation,4,clean_correct_to_wrong,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_and_trace_aggregation,4,absolute_error,False,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_and_trace_aggregation,8,all_absolute_shift,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_and_trace_aggregation,8,clean_correct_to_wrong,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_and_trace_aggregation,8,absolute_error,False,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_and_trace_aggregation,16,all_absolute_shift,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_and_trace_aggregation,16,clean_correct_to_wrong,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_and_trace_aggregation,16,absolute_error,False,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_and_trace_aggregation,32,all_absolute_shift,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_and_trace_aggregation,32,clean_correct_to_wrong,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_and_trace_aggregation,32,absolute_error,False,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_and_trace_aggregation,58,all_absolute_shift,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_and_trace_aggregation,58,clean_correct_to_wrong,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_prompt_and_trace_aggregation,58,absolute_error,False,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_trace_aggregation,1,all_absolute_shift,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_trace_aggregation,1,clean_correct_to_wrong,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_trace_aggregation,1,absolute_error,False,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_trace_aggregation,2,all_absolute_shift,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_trace_aggregation,2,clean_correct_to_wrong,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_trace_aggregation,2,absolute_error,False,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_trace_aggregation,4,all_absolute_shift,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_trace_aggregation,4,clean_correct_to_wrong,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_trace_aggregation,4,absolute_error,False,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_trace_aggregation,8,all_absolute_shift,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_trace_aggregation,8,clean_correct_to_wrong,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_trace_aggregation,8,absolute_error,False,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_trace_aggregation,16,all_absolute_shift,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_trace_aggregation,16,clean_correct_to_wrong,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_trace_aggregation,16,absolute_error,False,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_trace_aggregation,32,all_absolute_shift,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_trace_aggregation,32,clean_correct_to_wrong,True,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
Qwen3-8B,answer_trace_aggregation,32,absolute_error,False,positive,12,0.0,0.0,0.0,1.0,exact_enumeration,4096,0.0,1.0,10000,1.0
