registered_bank_size,evaluation_scope,arm,grammar_class,behavior_outcome,n_trials,fraction_within_arm_grammar
32,confirmation,layer_matched_random_pooled_repeats,adjacent_rank_after_city,correct_next_needle,131,0.9703703703703703
32,confirmation,layer_matched_random_pooled_repeats,adjacent_rank_after_city,wrong_gold_needle,4,0.02962962962962963
32,confirmation,layer_matched_random_pooled_repeats,adjacent_rank_before_city,correct_next_needle,57,1.0
32,confirmation,layer_matched_random_pooled_repeats,evidence_sequence_unranked,correct_next_needle,3,1.0
32,confirmation,layer_matched_random_pooled_repeats,same_unit_rank_before_city,correct_next_needle,45,1.0
32,confirmation,layer_matched_random_pooled_repeats,structural_invariant_bullet,correct_next_needle,3,1.0
32,confirmation,layer_matched_random_pooled_repeats,structural_unmarked,correct_next_needle,18,1.0
32,confirmation,selected_bank,adjacent_rank_after_city,correct_next_needle,42,0.9333333333333333
32,confirmation,selected_bank,adjacent_rank_after_city,no_identifiable_city_record,1,0.022222222222222223
32,confirmation,selected_bank,adjacent_rank_after_city,wrong_gold_needle,2,0.044444444444444446
32,confirmation,selected_bank,adjacent_rank_before_city,correct_next_needle,19,1.0
32,confirmation,selected_bank,evidence_sequence_unranked,correct_next_needle,1,1.0
32,confirmation,selected_bank,same_unit_rank_before_city,correct_next_needle,12,0.8
32,confirmation,selected_bank,same_unit_rank_before_city,no_identifiable_city_record,1,0.06666666666666667
32,confirmation,selected_bank,same_unit_rank_before_city,wrong_gold_needle,2,0.13333333333333333
32,confirmation,selected_bank,structural_invariant_bullet,correct_next_needle,1,1.0
32,confirmation,selected_bank,structural_unmarked,correct_next_needle,6,1.0
64,confirmation,layer_matched_random_pooled_repeats,adjacent_rank_after_city,correct_next_needle,130,0.9629629629629629
64,confirmation,layer_matched_random_pooled_repeats,adjacent_rank_after_city,wrong_gold_needle,5,0.037037037037037035
64,confirmation,layer_matched_random_pooled_repeats,adjacent_rank_before_city,correct_next_needle,57,1.0
64,confirmation,layer_matched_random_pooled_repeats,evidence_sequence_unranked,correct_next_needle,3,1.0
64,confirmation,layer_matched_random_pooled_repeats,same_unit_rank_before_city,correct_next_needle,45,1.0
64,confirmation,layer_matched_random_pooled_repeats,structural_invariant_bullet,correct_next_needle,3,1.0
64,confirmation,layer_matched_random_pooled_repeats,structural_unmarked,correct_next_needle,18,1.0
64,confirmation,selected_bank,adjacent_rank_after_city,correct_next_needle,40,0.8888888888888888
