model_label,request_id,seed,split,sequence_source,trace_category,causal_cohort,grammar_signature,transition_kind,allowed_estimands,anchor_equivalence_id,anchor_role,anchor_roles,event_specific,from_occurrence,gold_count,grammar_pair,local_anchor_eligible,not_applicable_reason,primary_anchor_eligible,query_full_sequence_token,query_output_token,query_token_id,query_token_text,status,target_city,target_city_output_token_end,target_city_output_token_start,target_city_token_ids,target_city_token_text,target_grammar_class,timing_stage,to_occurrence
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N2_seed1234,1234,discovery,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,same_unit_rank_before_city,continue_to_next_city,occurrence_source_to_city_retrieval,1->2@q542,p0_item_end,p0_item_end|unit_pre_d1|pre_marker_d1,True,1,2,same_unit_rank_before_city -> same_unit_rank_before_city,False,,False,10630,542,13,.,ok,Baku,548,546,"[425, 23557]", Baku,same_unit_rank_before_city,P0_previous_item_commit,2
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N2_seed1234,1234,discovery,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,same_unit_rank_before_city,continue_to_next_city,occurrence_source_to_city_retrieval,1->2@q534,block_pre_d1,block_pre_d1,False,1,2,same_unit_rank_before_city -> same_unit_rank_before_city,False,,False,10622,534,4710," 

",ok,Baku,548,546,"[425, 23557]", Baku,same_unit_rank_before_city,exploratory_block_entry,2
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N2_seed1234,1234,discovery,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,same_unit_rank_before_city,continue_to_next_city,occurrence_source_to_city_retrieval,1->2@q542,unit_pre_d1,p0_item_end|unit_pre_d1|pre_marker_d1,True,1,2,same_unit_rank_before_city -> same_unit_rank_before_city,False,,False,10630,542,13,.,ok,Baku,548,546,"[425, 23557]", Baku,same_unit_rank_before_city,P1_target_unit_entry,2
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N2_seed1234,1234,discovery,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,same_unit_rank_before_city,continue_to_next_city,occurrence_source_to_city_retrieval,1->2@q542,pre_marker_d1,p0_item_end|unit_pre_d1|pre_marker_d1,True,1,2,same_unit_rank_before_city -> same_unit_rank_before_city,False,,False,10630,542,13,.,ok,Baku,548,546,"[425, 23557]", Baku,same_unit_rank_before_city,P1_pre_marker,2
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N2_seed1234,1234,discovery,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,same_unit_rank_before_city,continue_to_next_city,occurrence_source_to_city_retrieval,,post_open_delimiter,,True,1,2,same_unit_rank_before_city -> same_unit_rank_before_city,False,delimiter_not_present,False,,,,,not_applicable,Baku,548,546,"[425, 23557]", Baku,same_unit_rank_before_city,P2_post_delimiter,2
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N2_seed1234,1234,discovery,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,same_unit_rank_before_city,continue_to_next_city,occurrence_source_to_city_retrieval,1->2@q543,post_marker,post_marker,True,1,2,same_unit_rank_before_city -> same_unit_rank_before_city,False,,False,10631,543,10440, Second,ok,Baku,548,546,"[425, 23557]", Baku,same_unit_rank_before_city,P2_post_marker,2
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N2_seed1234,1234,discovery,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,same_unit_rank_before_city,continue_to_next_city,occurrence_source_to_city_retrieval,,record_clause_pre_d1,,True,1,2,same_unit_rank_before_city -> same_unit_rank_before_city,False,canonical_clause_not_present,False,,,,,not_applicable,Baku,548,546,"[425, 23557]", Baku,same_unit_rank_before_city,P1_record_clause_entry,2
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N2_seed1234,1234,discovery,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,same_unit_rank_before_city,continue_to_next_city,occurrence_source_to_city_retrieval,1->2@q545,city_pre_d1,city_pre_d1,True,1,2,same_unit_rank_before_city -> same_unit_rank_before_city,False,,False,10633,545,25,:,ok,Baku,548,546,"[425, 23557]", Baku,same_unit_rank_before_city,P3_city_emission,2
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N2_seed1234,1234,discovery,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,same_unit_rank_before_city,continue_to_next_city,occurrence_source_to_city_retrieval,2->3@q551,p0_item_end,p0_item_end,True,2,2,same_unit_rank_before_city -> same_unit_rank_before_city,False,,False,10639,551,13,.,ok,Baku,743,741,"[425, 23557]", Baku,same_unit_rank_before_city,P0_previous_item_commit,3
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N2_seed1234,1234,discovery,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,same_unit_rank_before_city,continue_to_next_city,occurrence_source_to_city_retrieval,2->3@q534,block_pre_d1,block_pre_d1,False,2,2,same_unit_rank_before_city -> same_unit_rank_before_city,False,,False,10622,534,4710," 

",ok,Baku,743,741,"[425, 23557]", Baku,same_unit_rank_before_city,exploratory_block_entry,3
