split,seed,gold_count,occurrence,request_id,stimulus_id,trace_category,marker_kind,exact_count,parsed_count,boundary_kind,alignment_strategy,retokenized_suffix_tokens,endpoint_token,prefix_token_count,shared_baseline_prefix_tokens,prompt_token_count,output_token_count,item_char_length,item_line_number,city,raw_suffix,baseline_endpoint_token_id,pc1,pc2,pc3,display_vertical,band,centered_pc1,centered_pc2,centered_pc3,centered_band
confirmation,1254,1,1,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N1_seed1254,V4_4_T10000_N1_seed1254,one_to_one,inline_count,True,1,semantic_end:labeled_rank,literal_baseline_token_prefix,0,359,360,360,10413,586,79,20,Harbin,one record. (Count = 1) * **Excerpt 2:**,236768,-39.564995,5.01496,27.336155,6.9518404,upper,-3.6434817e-09,-6.019911e-09,7.23022e-09,lower
confirmation,1254,2,1,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N2_seed1254,V4_4_T10000_N2_seed1254,one_to_one,inline_count,True,2,semantic_end:labeled_rank,literal_baseline_token_prefix,0,154,155,155,10410,333,35,10,Harbin,"d 1 Found:** Harbin, 76. 4. **Execute Scan (Pa",236761,-35.08774,12.818339,-34.904324,33.40699,upper,-23.752708,9.200089,-28.848093,upper
confirmation,1254,2,2,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N2_seed1254,V4_4_T10000_N2_seed1254,one_to_one,inline_count,True,2,semantic_end:labeled_rank,literal_baseline_token_prefix,0,223,224,224,10410,333,36,16,Vilnius,"2 Found:** Vilnius, 67. 5. **Execute Scan (Pa",236761,6.1841474,0.34094882,-3.2436986,-0.42216775,lower,23.752708,-9.200089,28.848093,lower
confirmation,1254,3,1,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N3_seed1254,V4_4_T10000_N3_seed1254,one_to_one,ordinal,True,3,semantic_end:ordinal_prefix,literal_baseline_token_prefix,0,161,162,162,10410,347,83,9,Harbin,"received a score of 76."" (Count = 1) * *Se",1781,-25.691648,8.710415,-32.51446,26.177887,upper,-13.062949,12.545389,-6.116257,lower
confirmation,1254,3,2,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N3_seed1254,V4_4_T10000_N3_seed1254,one_to_one,ordinal,True,3,semantic_end:ordinal_prefix,literal_baseline_token_prefix,0,197,198,198,10410,347,85,10,Vilnius,"received a score of 67."" (Count = 2) * *Th",1781,-13.667339,-8.925179,-35.157913,7.7378488,lower,0.18381177,-9.990465,2.9056163,lower
confirmation,1254,3,3,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N3_seed1254,V4_4_T10000_N3_seed1254,one_to_one,ordinal,True,3,semantic_end:ordinal_prefix,literal_baseline_token_prefix,0,233,234,234,10410,347,82,11,Seoul,"received a score of 83."" (Count = 3) * *Mi",1781,-2.840277,-2.1819222,-29.8498,8.839075,lower,12.879137,-2.554925,3.210641,lower
confirmation,1254,4,1,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N4_seed1254,V4_4_T10000_N4_seed1254,one_to_one,inline_count,True,4,semantic_end:labeled_rank,literal_baseline_token_prefix,0,395,396,396,10410,623,59,25,Harbin,76 * Count: 1 * **Record 2:**,236770,-31.042934,9.032962,-16.30465,22.62317,upper,-19.924484,1.2111839,-12.93645,upper
confirmation,1254,4,2,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N4_seed1254,V4_4_T10000_N4_seed1254,one_to_one,inline_count,True,4,semantic_end:labeled_rank,literal_baseline_token_prefix,0,457,458,458,10410,623,60,32,Vilnius,67 * Count: 2 * **Record 3:**,236778,-21.782093,0.47063443,-9.499389,9.968583,upper,-9.488837,-10.736267,5.296214,lower
confirmation,1254,4,3,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N4_seed1254,V4_4_T10000_N4_seed1254,one_to_one,inline_count,True,4,semantic_end:labeled_rank,literal_baseline_token_prefix,0,519,520,520,10410,623,58,39,Seoul,83 * Count: 3 * **Record 4:**,236800,-2.4246554,10.220182,0.30922294,9.764388,lower,13.266156,0.03940366,7.228135,lower
confirmation,1254,4,4,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N4_seed1254,V4_4_T10000_N4_seed1254,one_to_one,inline_count,True,4,semantic_end:labeled_rank,literal_baseline_token_prefix,0,581,582,582,10410,623,59,46,Lahore,53 * Count: 4 5. **Final Count:** T,236812,-0.22040626,18.034311,-1.8475463,16.84085,lower,16.147165,9.485679,0.41210026,lower
