model_label,role,layer,algorithm,rows,seeds,count_classes,count_class_count,accuracy,accuracy_ci95_low,accuracy_ci95_high,seed_accuracy_sd,chance_accuracy,balanced_accuracy,count_mae,signed_error,pca_components
Qwen3-8B,answer_query,0,logistic_l2,100,20,"[1, 2, 3, 4, 5, 6, 8, 10]",8,0.15,0.10142857142857142,0.2172619047619048,0.13618420764356254,0.125,0.11597222222222221,2.48,-0.12,32
Qwen3-8B,answer_query,0,ridge_classifier,100,20,"[1, 2, 3, 4, 5, 6, 8, 10]",8,0.14,0.09213244047619047,0.18065624999999996,0.10368513836903552,0.125,0.13740079365079366,2.58,0.66,32
Qwen3-8B,answer_query,0,linear_svm,100,20,"[1, 2, 3, 4, 5, 6, 8, 10]",8,0.17,0.14041517857142857,0.2428005952380952,0.11980117083516567,0.125,0.14747023809523807,2.69,0.21,32
Qwen3-8B,answer_query,0,nearest_centroid,100,20,"[1, 2, 3, 4, 5, 6, 8, 10]",8,0.14,0.10089285714285715,0.2134553571428571,0.13275321064347143,0.125,0.09667658730158729,2.27,0.35,32
Qwen3-8B,answer_query,0,shrinkage_lda,100,20,"[1, 2, 3, 4, 5, 6, 8, 10]",8,0.12,0.07547619047619047,0.1897633928571428,0.1351279351851667,0.125,0.10833333333333334,3.08,0.96,32
Qwen3-8B,answer_query,0,knn_k5_cosine,100,20,"[1, 2, 3, 4, 5, 6, 8, 10]",8,0.16,0.11773809523809523,0.20476190476190478,0.10099640463823857,0.125,0.1337301587301587,2.5,-0.12,32
Qwen3-8B,answer_query,1,logistic_l2,100,20,"[1, 2, 3, 4, 5, 6, 8, 10]",8,0.19,0.13726190476190475,0.26345238095238094,0.14858900954715673,0.125,0.15783730158730158,1.97,0.15,32
Qwen3-8B,answer_query,1,ridge_classifier,100,20,"[1, 2, 3, 4, 5, 6, 8, 10]",8,0.17,0.11880357142857144,0.23518005952380946,0.134563158239233,0.125,0.13348214285714285,1.99,0.17,32
Qwen3-8B,answer_query,1,linear_svm,100,20,"[1, 2, 3, 4, 5, 6, 8, 10]",8,0.14,0.08184375,0.17351190476190476,0.10725799647398916,0.125,0.13412698412698412,2.41,0.71,32
Qwen3-8B,answer_query,1,nearest_centroid,100,20,"[1, 2, 3, 4, 5, 6, 8, 10]",8,0.13,0.08707886904761905,0.2017857142857143,0.13502290309317452,0.125,0.08886408730158729,2.44,0.56,32
Qwen3-8B,answer_query,1,shrinkage_lda,100,20,"[1, 2, 3, 4, 5, 6, 8, 10]",8,0.15,0.0930342261904762,0.24559821428571427,0.17598777330820511,0.125,0.13330853174603174,2.51,0.89,32
Qwen3-8B,answer_query,1,knn_k5_cosine,100,20,"[1, 2, 3, 4, 5, 6, 8, 10]",8,0.17,0.10345238095238096,0.2182172619047619,0.1346484966764885,0.125,0.12269345238095238,2.28,-0.24,32
Qwen3-8B,answer_query,2,logistic_l2,100,20,"[1, 2, 3, 4, 5, 6, 8, 10]",8,0.19,0.13142559523809522,0.2517857142857143,0.14161342484282863,0.125,0.1560515873015873,2.16,0.32,32
Qwen3-8B,answer_query,2,ridge_classifier,100,20,"[1, 2, 3, 4, 5, 6, 8, 10]",8,0.24,0.20559523809523808,0.34268005952380953,0.16123834310728283,0.125,0.185094246031746,2.04,-0.06,32
Qwen3-8B,answer_query,2,linear_svm,100,20,"[1, 2, 3, 4, 5, 6, 8, 10]",8,0.14,0.07713839285714286,0.1967886904761904,0.13878461744080542,0.125,0.12455357142857142,2.59,0.99,32
Qwen3-8B,answer_query,2,nearest_centroid,100,20,"[1, 2, 3, 4, 5, 6, 8, 10]",8,0.14,0.09910714285714285,0.20970684523809519,0.13132010059721125,0.125,0.09866071428571428,2.27,0.37,32
Qwen3-8B,answer_query,2,shrinkage_lda,100,20,"[1, 2, 3, 4, 5, 6, 8, 10]",8,0.23,0.17178571428571426,0.37,0.23409879048064164,0.125,0.19345238095238093,2.23,0.77,32
