request_id,model_label,seed,gold_count,seed_role,selection_policy
Gemma4-E4B/native_thinking/v5/V4_4_T10000_N10_seed1234,Gemma4-E4B,1234,10,development,all_eligible_registered_seeds_and_terminal_counts
Gemma4-E4B/native_thinking/v5/V4_4_T10000_N9_seed1235,Gemma4-E4B,1235,9,development,all_eligible_registered_seeds_and_terminal_counts
Gemma4-E4B/native_thinking/v5/V4_4_T10000_N10_seed1236,Gemma4-E4B,1236,10,development,all_eligible_registered_seeds_and_terminal_counts
Gemma4-E4B/native_thinking/v5/V4_4_T10000_N8_seed1237,Gemma4-E4B,1237,8,development,all_eligible_registered_seeds_and_terminal_counts
Gemma4-E4B/native_thinking/v5/V4_4_T10000_N10_seed1238,Gemma4-E4B,1238,10,development,all_eligible_registered_seeds_and_terminal_counts
Gemma4-E4B/native_thinking/v5/V4_4_T10000_N7_seed1239,Gemma4-E4B,1239,7,development,all_eligible_registered_seeds_and_terminal_counts
Gemma4-E4B/native_thinking/v5/V4_4_T10000_N10_seed1240,Gemma4-E4B,1240,10,development,all_eligible_registered_seeds_and_terminal_counts
Gemma4-E4B/native_thinking/v5/V4_4_T10000_N6_seed1241,Gemma4-E4B,1241,6,development,all_eligible_registered_seeds_and_terminal_counts
Gemma4-E4B/native_thinking/v5/V4_4_T10000_N10_seed1242,Gemma4-E4B,1242,10,development,all_eligible_registered_seeds_and_terminal_counts
Gemma4-E4B/native_thinking/v5/V4_4_T10000_N8_seed1243,Gemma4-E4B,1243,8,development,all_eligible_registered_seeds_and_terminal_counts
Gemma4-E4B/native_thinking/v5/V4_4_T10000_N10_seed1244,Gemma4-E4B,1244,10,development,all_eligible_registered_seeds_and_terminal_counts
Gemma4-E4B/native_thinking/v5/V4_4_T10000_N10_seed1245,Gemma4-E4B,1245,10,development,all_eligible_registered_seeds_and_terminal_counts
Gemma4-E4B/native_thinking/v5/V4_4_T10000_N9_seed1246,Gemma4-E4B,1246,9,development,all_eligible_registered_seeds_and_terminal_counts
Gemma4-E4B/native_thinking/v5/V4_4_T10000_N7_seed1247,Gemma4-E4B,1247,7,development,all_eligible_registered_seeds_and_terminal_counts
Gemma4-E4B/native_thinking/v5/V4_4_T10000_N6_seed1248,Gemma4-E4B,1248,6,development,all_eligible_registered_seeds_and_terminal_counts
Gemma4-E4B/native_thinking/v5/V4_4_T10000_N9_seed1249,Gemma4-E4B,1249,9,development,all_eligible_registered_seeds_and_terminal_counts
Gemma4-E4B/native_thinking/v5/V4_4_T10000_N9_seed1250,Gemma4-E4B,1250,9,development,all_eligible_registered_seeds_and_terminal_counts
Gemma4-E4B/native_thinking/v5/V4_4_T10000_N8_seed1251,Gemma4-E4B,1251,8,development,all_eligible_registered_seeds_and_terminal_counts
Gemma4-E4B/native_thinking/v5/V4_4_T10000_N10_seed1252,Gemma4-E4B,1252,10,development,all_eligible_registered_seeds_and_terminal_counts
Gemma4-E4B/native_thinking/v5/V4_4_T10000_N10_seed1253,Gemma4-E4B,1253,10,development,all_eligible_registered_seeds_and_terminal_counts
