split,seed,gold_count,request_id,states,majority_band,band_purity,upper_states,lower_states,marker_kind,trace_category,output_token_count
confirmation,1254,1,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N1_seed1254,1,upper,1.0,1,0,inline_count,one_to_one,586
confirmation,1254,2,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N2_seed1254,2,upper,0.5,1,1,inline_count,one_to_one,333
confirmation,1254,3,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N3_seed1254,3,lower,0.6666666666666666,1,2,ordinal,one_to_one,347
confirmation,1254,4,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N4_seed1254,4,upper,0.5,2,2,inline_count,one_to_one,623
confirmation,1254,5,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N5_seed1254,5,lower,0.8,1,4,inline_count,one_to_one,547
confirmation,1254,6,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N6_seed1254,6,lower,0.8333333333333334,1,5,inline_count,one_to_one,615
confirmation,1254,7,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N7_seed1254,7,lower,0.8571428571428571,1,6,inline_count,one_to_one,622
confirmation,1254,8,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N8_seed1254,8,lower,0.875,1,7,inline_count,one_to_one,657
confirmation,1254,9,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N9_seed1254,8,lower,0.875,1,7,inline_count,partial_unique,624
confirmation,1254,10,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N10_seed1254,10,lower,0.9,1,9,inline_count,one_to_one,697
confirmation,1255,1,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N1_seed1255,1,upper,1.0,1,0,inline_count,one_to_one,331
confirmation,1255,2,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N2_seed1255,2,upper,0.5,1,1,inline_count,one_to_one,364
confirmation,1255,3,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N3_seed1255,3,lower,0.6666666666666666,1,2,inline_count,one_to_one,312
confirmation,1255,4,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N4_seed1255,4,lower,0.75,1,3,inline_count,one_to_one,383
confirmation,1255,5,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N5_seed1255,5,lower,0.8,1,4,inline_count,one_to_one,406
confirmation,1255,6,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N6_seed1255,6,lower,0.8333333333333334,1,5,inline_count,one_to_one,362
confirmation,1255,7,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N7_seed1255,7,lower,0.8571428571428571,1,6,inline_count,one_to_one,403
confirmation,1255,8,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N8_seed1255,8,lower,0.875,1,7,inline_count,one_to_one,447
confirmation,1255,9,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N9_seed1255,8,lower,0.875,1,7,inline_count,partial_unique,435
confirmation,1255,10,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N10_seed1255,10,lower,0.9,1,9,inline_count,one_to_one,489
confirmation,1256,1,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N1_seed1256,1,upper,1.0,1,0,bullet,one_to_one,327
confirmation,1256,2,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N2_seed1256,2,upper,1.0,2,0,bullet,one_to_one,282
confirmation,1256,3,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N3_seed1256,3,lower,0.6666666666666666,1,2,inline_count,one_to_one,393
confirmation,1256,4,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N4_seed1256,3,lower,0.6666666666666666,1,2,inline_count,partial_unique,390
confirmation,1256,5,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N5_seed1256,3,lower,0.6666666666666666,1,2,inline_count,partial_unique,389
confirmation,1256,6,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N6_seed1256,4,lower,0.75,1,3,inline_count,partial_unique,335
confirmation,1256,7,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N7_seed1256,7,lower,0.8571428571428571,1,6,inline_count,one_to_one,527
confirmation,1256,8,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N8_seed1256,8,lower,0.875,1,7,inline_count,one_to_one,646
confirmation,1256,9,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N9_seed1256,9,lower,0.8888888888888888,1,8,inline_count,one_to_one,706
confirmation,1256,10,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N10_seed1256,9,lower,0.8888888888888888,1,8,inline_count,partial_unique,706
confirmation,1257,1,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N1_seed1257,2,upper,1.0,2,0,bullet,full_coverage_with_duplicates,333
confirmation,1257,2,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N2_seed1257,2,upper,0.5,1,1,inline_count,one_to_one,315
confirmation,1257,3,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N3_seed1257,3,upper,0.6666666666666666,2,1,inline_count,one_to_one,349
confirmation,1257,4,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N4_seed1257,4,lower,0.75,1,3,inline_count,one_to_one,413
confirmation,1257,5,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N5_seed1257,4,lower,0.75,1,3,inline_count,partial_unique,421
confirmation,1257,6,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N6_seed1257,5,lower,0.8,1,4,inline_count,partial_unique,535
confirmation,1257,7,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N7_seed1257,6,lower,0.8333333333333334,1,5,inline_count,partial_unique,512
confirmation,1257,8,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N8_seed1257,6,lower,0.8333333333333334,1,5,inline_count,partial_unique,456
confirmation,1257,9,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N9_seed1257,7,lower,0.8571428571428571,1,6,inline_count,partial_unique,484
confirmation,1257,10,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N10_seed1257,8,lower,0.875,1,7,inline_count,partial_unique,535
confirmation,1258,1,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N1_seed1258,2,upper,1.0,2,0,bullet,full_coverage_with_duplicates,294
confirmation,1258,2,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N2_seed1258,2,upper,0.5,1,1,inline_count,one_to_one,308
confirmation,1258,3,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N3_seed1258,3,lower,0.6666666666666666,1,2,inline_count,one_to_one,341
confirmation,1258,4,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N4_seed1258,4,lower,0.75,1,3,inline_count,one_to_one,389
confirmation,1258,5,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N5_seed1258,4,lower,0.75,1,3,inline_count,partial_unique,390
confirmation,1258,6,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N6_seed1258,5,lower,0.8,1,4,inline_count,partial_unique,547
confirmation,1258,7,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N7_seed1258,6,lower,0.8333333333333334,1,5,inline_count,partial_unique,563
confirmation,1258,8,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N8_seed1258,8,lower,0.875,1,7,inline_count,one_to_one,694
confirmation,1258,9,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N9_seed1258,8,lower,0.875,1,7,inline_count,partial_unique,533
confirmation,1258,10,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N10_seed1258,10,lower,0.9,1,9,inline_count,one_to_one,613
confirmation,1259,1,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N1_seed1259,2,upper,1.0,2,0,bullet,full_coverage_with_duplicates,308
confirmation,1259,2,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N2_seed1259,2,upper,0.5,1,1,inline_count,one_to_one,319
confirmation,1259,3,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N3_seed1259,3,lower,0.6666666666666666,1,2,inline_count,one_to_one,350
confirmation,1259,4,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N4_seed1259,4,lower,0.75,1,3,inline_count,one_to_one,405
