model_label,role,layer,algorithm,rows,seeds,count_classes,count_class_count,accuracy,accuracy_ci95_low,accuracy_ci95_high,seed_accuracy_sd,chance_accuracy,balanced_accuracy,count_mae,signed_error,pca_components
Gemma4-E4B,prompt_running,0,logistic_l2,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.12333333333333334,0.08666666666666667,0.1633333333333333,0.11043279539543756,0.1,0.12333333333333334,3.3666666666666667,0.16,32
Gemma4-E4B,prompt_running,0,ridge_classifier,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.13666666666666666,0.09333333333333334,0.18666666666666662,0.13256965204630416,0.1,0.13666666666666666,3.3133333333333335,0.04,32
Gemma4-E4B,prompt_running,0,linear_svm,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.12,0.08333333333333333,0.16000000000000003,0.1126483695950092,0.1,0.12,3.4133333333333336,0.18666666666666668,32
Gemma4-E4B,prompt_running,0,nearest_centroid,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.13666666666666666,0.09333333333333332,0.18333333333333332,0.13256965204630416,0.1,0.1366666666666667,3.2133333333333334,-0.006666666666666667,32
Gemma4-E4B,prompt_running,0,shrinkage_lda,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.14,0.09666666666666668,0.18666666666666665,0.13025174563659142,0.1,0.14,3.22,-0.02,32
Gemma4-E4B,prompt_running,0,knn_k5_cosine,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.10666666666666667,0.06666666666666668,0.15,0.11724814044061257,0.1,0.10666666666666666,3.45,-1.09,32
Gemma4-E4B,prompt_running,1,logistic_l2,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.14333333333333334,0.10333333333333333,0.18666666666666665,0.11943352886058402,0.1,0.14333333333333334,3.0866666666666664,-0.02,32
Gemma4-E4B,prompt_running,1,ridge_classifier,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.14,0.09666666666666668,0.18333333333333338,0.12484473115254695,0.1,0.13999999999999999,3.0633333333333335,-0.0033333333333333335,32
Gemma4-E4B,prompt_running,1,linear_svm,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.11666666666666667,0.08000000000000002,0.15666666666666668,0.111674815279973,0.1,0.11666666666666667,3.2266666666666666,-0.12666666666666668,32
Gemma4-E4B,prompt_running,1,nearest_centroid,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.14,0.1,0.18333333333333332,0.11919268665368751,0.1,0.14,2.986666666666667,-0.08666666666666667,32
Gemma4-E4B,prompt_running,1,shrinkage_lda,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.14,0.1,0.18333333333333332,0.11919268665368751,0.1,0.14,3.0166666666666666,-0.023333333333333334,32
Gemma4-E4B,prompt_running,1,knn_k5_cosine,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.11,0.08000000000000002,0.14,0.08448627719625688,0.1,0.11000000000000001,3.4833333333333334,-1.3033333333333332,32
Gemma4-E4B,prompt_running,2,logistic_l2,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.12333333333333334,0.08666666666666668,0.15999999999999998,0.10400044208570937,0.1,0.12333333333333334,3.1166666666666667,-0.03,32
Gemma4-E4B,prompt_running,2,ridge_classifier,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.12666666666666668,0.09000000000000001,0.16666666666666666,0.1112106833535071,0.1,0.12666666666666665,3.0966666666666667,-0.11,32
Gemma4-E4B,prompt_running,2,linear_svm,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.12333333333333334,0.09666666666666668,0.15333333333333332,0.08172001541568766,0.1,0.12333333333333332,3.11,-0.06333333333333334,32
Gemma4-E4B,prompt_running,2,nearest_centroid,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.11,0.07666666666666667,0.14666666666666664,0.09948141396330237,0.1,0.11000000000000001,3.13,-0.056666666666666664,32
Gemma4-E4B,prompt_running,2,shrinkage_lda,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.11333333333333333,0.08,0.15,0.10080138659874618,0.1,0.11333333333333333,3.1233333333333335,-0.05,32
Gemma4-E4B,prompt_running,2,knn_k5_cosine,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.12333333333333334,0.09000000000000004,0.15666666666666662,0.08976341829703133,0.1,0.12333333333333336,3.486666666666667,-1.54,32
Gemma4-E4B,prompt_running,3,logistic_l2,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.15333333333333332,0.1166666666666667,0.18999999999999997,0.10416609195243756,0.1,0.15333333333333332,2.7333333333333334,-0.13333333333333333,32
Gemma4-E4B,prompt_running,3,ridge_classifier,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.12666666666666668,0.09666666666666669,0.15666666666666665,0.08276819867946672,0.1,0.12666666666666668,2.94,-0.2733333333333333,32
Gemma4-E4B,prompt_running,3,linear_svm,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.14666666666666667,0.11000000000000003,0.18333333333333332,0.10742546199601596,0.1,0.14666666666666667,2.8133333333333335,-0.4,32
Gemma4-E4B,prompt_running,3,nearest_centroid,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.14,0.10666666666666669,0.1734166666666655,0.09684683962230045,0.1,0.14,2.8733333333333335,0.28,32
Gemma4-E4B,prompt_running,3,shrinkage_lda,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.13666666666666666,0.10333333333333335,0.17333333333333328,0.09643054793328018,0.1,0.13666666666666666,2.8833333333333333,0.24333333333333335,32
Gemma4-E4B,prompt_running,3,knn_k5_cosine,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.13,0.10333333333333335,0.15666666666666665,0.07497125886079554,0.1,0.13,3.1766666666666667,-1.23,32
Gemma4-E4B,prompt_running,4,logistic_l2,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.19333333333333333,0.15,0.24000000000000002,0.1284746944983205,0.1,0.19333333333333336,2.6533333333333333,0.02,32
Gemma4-E4B,prompt_running,4,ridge_classifier,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.2,0.16,0.2433333333333333,0.11447029429446781,0.1,0.2,2.58,-0.25333333333333335,32
Gemma4-E4B,prompt_running,4,linear_svm,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.21,0.16333333333333336,0.2566666666666667,0.132222383206058,0.1,0.21000000000000002,2.6733333333333333,-0.09333333333333334,32
