model_label,role,layer,algorithm,gold_count,predicted_count,rows
Gemma4-E4B,answer_query,0,knn_k5_cosine,1,1,8
Gemma4-E4B,answer_query,0,knn_k5_cosine,1,2,9
Gemma4-E4B,answer_query,0,knn_k5_cosine,1,3,1
Gemma4-E4B,answer_query,0,knn_k5_cosine,1,4,2
Gemma4-E4B,answer_query,0,knn_k5_cosine,2,1,5
Gemma4-E4B,answer_query,0,knn_k5_cosine,2,2,12
Gemma4-E4B,answer_query,0,knn_k5_cosine,2,4,2
Gemma4-E4B,answer_query,0,knn_k5_cosine,3,1,6
Gemma4-E4B,answer_query,0,knn_k5_cosine,3,2,8
Gemma4-E4B,answer_query,0,knn_k5_cosine,3,4,1
Gemma4-E4B,answer_query,0,knn_k5_cosine,4,1,3
Gemma4-E4B,answer_query,0,knn_k5_cosine,4,2,5
Gemma4-E4B,answer_query,0,knn_k5_cosine,4,3,1
Gemma4-E4B,answer_query,0,knn_k5_cosine,4,4,1
Gemma4-E4B,answer_query,0,knn_k5_cosine,5,1,1
Gemma4-E4B,answer_query,0,knn_k5_cosine,5,2,2
Gemma4-E4B,answer_query,0,knn_k5_cosine,5,3,1
Gemma4-E4B,answer_query,0,knn_k5_cosine,6,2,2
Gemma4-E4B,answer_query,0,knn_k5_cosine,7,2,2
Gemma4-E4B,answer_query,0,knn_k5_cosine,8,2,1
Gemma4-E4B,answer_query,0,logistic_l2,1,1,8
Gemma4-E4B,answer_query,0,logistic_l2,1,2,5
Gemma4-E4B,answer_query,0,logistic_l2,1,3,6
Gemma4-E4B,answer_query,0,logistic_l2,1,6,1
Gemma4-E4B,answer_query,0,logistic_l2,2,1,9
Gemma4-E4B,answer_query,0,logistic_l2,2,2,5
Gemma4-E4B,answer_query,0,logistic_l2,2,3,5
Gemma4-E4B,answer_query,0,logistic_l2,3,1,6
Gemma4-E4B,answer_query,0,logistic_l2,3,2,6
Gemma4-E4B,answer_query,0,logistic_l2,3,3,3
Gemma4-E4B,answer_query,0,logistic_l2,4,1,4
Gemma4-E4B,answer_query,0,logistic_l2,4,2,4
Gemma4-E4B,answer_query,0,logistic_l2,4,3,2
Gemma4-E4B,answer_query,0,logistic_l2,5,1,2
Gemma4-E4B,answer_query,0,logistic_l2,5,2,1
Gemma4-E4B,answer_query,0,logistic_l2,5,6,1
Gemma4-E4B,answer_query,0,logistic_l2,6,1,1
Gemma4-E4B,answer_query,0,logistic_l2,6,2,1
Gemma4-E4B,answer_query,0,logistic_l2,7,1,2
Gemma4-E4B,answer_query,0,logistic_l2,8,1,1
Gemma4-E4B,answer_query,1,knn_k5_cosine,1,1,8
Gemma4-E4B,answer_query,1,knn_k5_cosine,1,2,7
Gemma4-E4B,answer_query,1,knn_k5_cosine,1,3,3
Gemma4-E4B,answer_query,1,knn_k5_cosine,1,4,2
Gemma4-E4B,answer_query,1,knn_k5_cosine,2,1,8
Gemma4-E4B,answer_query,1,knn_k5_cosine,2,2,6
Gemma4-E4B,answer_query,1,knn_k5_cosine,2,3,3
Gemma4-E4B,answer_query,1,knn_k5_cosine,2,4,2
Gemma4-E4B,answer_query,1,knn_k5_cosine,3,1,8
Gemma4-E4B,answer_query,1,knn_k5_cosine,3,2,4
Gemma4-E4B,answer_query,1,knn_k5_cosine,3,3,1
Gemma4-E4B,answer_query,1,knn_k5_cosine,3,4,2
Gemma4-E4B,answer_query,1,knn_k5_cosine,4,1,5
Gemma4-E4B,answer_query,1,knn_k5_cosine,4,2,1
Gemma4-E4B,answer_query,1,knn_k5_cosine,4,3,1
Gemma4-E4B,answer_query,1,knn_k5_cosine,4,4,3
Gemma4-E4B,answer_query,1,knn_k5_cosine,5,1,2
Gemma4-E4B,answer_query,1,knn_k5_cosine,5,2,1
Gemma4-E4B,answer_query,1,knn_k5_cosine,5,4,1
