model_label,marker_kind,eligibility,retained_labels,retained_class_count,site_kind,site_role,layer,discovery_oof_logistic_balanced_accuracy,discovery_oof_ncc_balanced_accuracy,discovery_selection_score,discovery_oof_rows,discovery_fold_count,discovery_pca_components_min,discovery_pca_components_max,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,confirmation_class_balanced_snr,confirmation_class_balanced_snr_db,confirmation_signal_power,confirmation_noise_power,confirmation_rows,confirmation_seed_count,confirmation_support_min,confirmation_support_max,confirmation_pca_components,chance_balanced_accuracy
Qwen3-8B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,0,1.0,0.9333333333333333,0.9666666666666667,59,6,16,16,0.975,1.0,4.909004819382867,6.90993458465801,1866.7620849609375,380.2730194091797,40,4,4,4,16,0.1
Qwen3-8B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,1,1.0,1.0,1.0,59,6,16,16,1.0,1.0,7.418944714294092,8.703421347463506,2107.5888671875,284.08202896118166,40,4,4,4,16,0.1
Qwen3-8B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,2,0.8133333333333332,0.8166666666666668,0.815,59,6,16,16,0.85,0.775,6.29973898654236,7.993225559531619,2083.490966796875,330.726554107666,40,4,4,4,16,0.1
Qwen3-8B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,3,0.8133333333333332,0.8966666666666668,0.855,59,6,16,16,0.825,0.825,8.626202241864291,9.358196359912503,1865.218994140625,216.22713470458984,40,4,4,4,16,0.1
Qwen3-8B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,4,0.7633333333333333,0.8300000000000001,0.7966666666666666,59,6,16,16,0.825,0.8,9.303955706802741,9.686676341863267,1812.486083984375,194.80811614990233,40,4,4,4,16,0.1
Qwen3-8B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,5,0.8299999999999998,0.8466666666666667,0.8383333333333333,59,6,16,16,0.875,0.825,9.91892974717762,9.964648142942663,1892.6527099609375,190.81219024658202,40,4,4,4,16,0.1
Qwen3-8B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,6,1.0,1.0,1.0,59,6,16,16,1.0,1.0,16.592474407256937,12.199111564454252,2159.12158203125,130.12655792236328,40,4,4,4,16,0.1
Qwen3-8B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,7,1.0,1.0,1.0,59,6,16,16,1.0,1.0,16.33015843658254,12.129903983190157,2208.416748046875,135.23547592163087,40,4,4,4,16,0.1
Qwen3-8B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,8,0.9666666666666668,0.9666666666666668,0.9666666666666668,59,6,16,16,1.0,0.975,12.962258461452324,11.126806768350331,2239.641845703125,172.7817611694336,40,4,4,4,16,0.1
Qwen3-8B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,9,0.95,0.9333333333333333,0.9416666666666667,59,6,16,16,1.0,0.925,10.560729168970692,10.23693905236398,2083.2705078125,197.2657829284668,40,4,4,4,16,0.1
