target,model_label,prompt_mode,n,selected_spec,selected_label,candidate,estimator,transform,ridge,complexity,formula,coefficient_names,coefficients,outer_choice_stability,best_spec,best_label,best_candidate,best_estimator,best_transform,best_ridge,best_complexity,best_formula,best_coefficient_names,best_coefficients,best_outer_choice_stability
exact,Qwen3-1.7B,direct,150,log_needles_only__identity__logistic__0.3,Log N only; ridge=0.3,log_needles_only,logistic,identity,0.3,1,logit p = alpha + beta_N ln(N/5),"[""intercept"", ""log_needles""]","[-0.788701492761914, -1.9662575622529446]",0.6,quadratic_log_needles__identity__logistic__0.3,Log T + curved log N; ridge=0.3,quadratic_log_needles,logistic,identity,0.3,3,logit p = alpha + beta_T ln(T/5000) + beta_N ln(N/5) + beta_N2 ln(N/5)^2,"[""intercept"", ""log_length"", ""log_needles"", ""log_needles_sq""]","[-1.0083814040050583, -0.9012115501995592, -2.036472870542393, 0.2506370179280239]",0.4
bias,Qwen3-1.7B,direct,150,constant__asinh__ridge__0.001,Constant; asinh + ridge,constant,ridge,asinh,0.001,0,E[asinh(b)|parsed] = alpha,"[""intercept""]",[0.279025531528329],0.8,length_specific_log_n__asinh__huber__0.01,T-specific log-N slopes; asinh + Huber,length_specific_log_n,huber,asinh,0.01,5,"E[asinh(b)|parsed] = alpha_T + beta_N,T ln(N/5)","[""intercept"", ""t_is_2000"", ""t_is_10000"", ""log_needles"", ""t2000_log_needles"", ""t10000_log_needles""]","[-0.08151288474943179, -0.563692169792125, 1.7429309631570824, -0.3859450112630131, -0.565362523910349, 1.6378924118770448]",0.4
absolute_error,Qwen3-1.7B,direct,150,linear_needles_only__sqrt__huber__0.01,Linear N only; sqrt + Huber,linear_needles_only,huber,sqrt,0.01,1,E[sqrt(|b|)|parsed] = alpha + gamma_N (N-5)/5,"[""intercept"", ""needle_linear""]","[0.8585449546402295, 0.6340382649611562]",0.0,quadratic_surface__log1p__huber__0.01,Quadratic log surface; log1p + Huber,quadratic_surface,huber,log1p,0.01,5,E[log(1+|b|)|parsed] = alpha + beta_T ln(T/5000) + beta_N ln(N/5) + beta_T2 ln(T/5000)^2 + beta_N2 ln(N/5)^2 + beta_TN ln(T/5000)ln(N/5),"[""intercept"", ""log_length"", ""log_needles"", ""log_length_sq"", ""log_needles_sq"", ""log_interaction""]","[0.6545735084186549, 0.5373852157979119, 0.8308270780699858, 0.4096326803960304, 0.20031001369603735, 0.21771560066348875]",0.2
exact,Qwen3-1.7B,enumeration,150,log_needles_only__identity__logistic__0.3,Log N only; ridge=0.3,log_needles_only,logistic,identity,0.3,1,logit p = alpha + beta_N ln(N/5),"[""intercept"", ""log_needles""]","[-0.8586756442826401, -1.850500359775249]",1.0,piecewise_log_needles__identity__logistic__0.03,Log T + piecewise log N; ridge=0.03,piecewise_log_needles,logistic,identity,0.03,3,"logit p = alpha + beta_T ln(T/5000) + beta_N ln(N/5) + beta_H max[0,ln(N/5)]","[""intercept"", ""log_length"", ""log_needles"", ""needle_hinge""]","[-1.592849100418796, -0.7757900455625449, -3.1241700603682463, 2.3722456031545884]",0.2
bias,Qwen3-1.7B,enumeration,138,constant__asinh__ridge__0.001,Constant; asinh + ridge,constant,ridge,asinh,0.001,0,E[asinh(b)|parsed] = alpha,"[""intercept""]",[1.3899946863899273],1.0,length_specific_piecewise_n__asinh__ridge__0.001,T-specific piecewise N; asinh + ridge,length_specific_piecewise_n,ridge,asinh,0.001,6,"E[asinh(b)|parsed] = alpha_T + beta_N,T ln(N/5) + beta_H max[0,ln(N/5)]","[""intercept"", ""t_is_2000"", ""t_is_10000"", ""log_needles"", ""needle_hinge"", ""t2000_log_needles"", ""t10000_log_needles""]","[2.6936957314891794, -0.4745614171732294, 0.8257953139824395, 1.721342574267596, -3.7017428158767243, -0.18570953323701508, 0.9396554585301181]",0.4
absolute_error,Qwen3-1.7B,enumeration,138,constant__log1p__ridge__0.001,Constant; log1p + ridge,constant,ridge,log1p,0.001,0,E[log(1+|b|)|parsed] = alpha,"[""intercept""]",[1.8811587185510892],1.0,length_factor_curved_n__log1p__huber__0.01,T-level intercepts + curved log N; log1p + Huber,length_factor_curved_n,huber,log1p,0.01,4,E[log(1+|b|)|parsed] = alpha_T + beta_N ln(N/5) + beta_N2 ln(N/5)^2,"[""intercept"", ""t_is_2000"", ""t_is_10000"", ""log_needles"", ""log_needles_sq""]","[2.1053846612909517, -0.3278154915725929, 0.7061375238677113, 0.8266054247328064, -0.5034661519786912]",0.0
exact,Qwen3-1.7B,native_thinking,150,linear_needles_only__identity__logistic__0.3,Linear N only; ridge=0.3,linear_needles_only,logistic,identity,0.3,1,logit p = alpha + gamma_N (N-5)/5,"[""intercept"", ""needle_linear""]","[0.7579116795639967, -0.9561959726590095]",1.0,piecewise_log_needles__identity__logistic__0.3,Log T + piecewise log N; ridge=0.3,piecewise_log_needles,logistic,identity,0.3,3,"logit p = alpha + beta_T ln(T/5000) + beta_N ln(N/5) + beta_H max[0,ln(N/5)]","[""intercept"", ""log_length"", ""log_needles"", ""needle_hinge""]","[1.2345856631306371, 0.15336591200278676, 0.03442663260178373, -2.5617049624903085]",0.4
bias,Qwen3-1.7B,native_thinking,148,linear_needles_only__asinh__ridge__0.001,Linear N only; asinh + ridge,linear_needles_only,ridge,asinh,0.001,1,E[asinh(b)|parsed] = alpha + gamma_N (N-5)/5,"[""intercept"", ""needle_linear""]","[-0.22421766302116156, -0.4497795514540731]",0.4,piecewise_log_needles__identity__huber__0.01,Log T + piecewise log N; raw bias + Huber,piecewise_log_needles,huber,identity,0.01,3,"E[b|parsed] = alpha + beta_T ln(T/5000) + beta_N ln(N/5) + beta_H max[0,ln(N/5)]","[""intercept"", ""log_length"", ""log_needles"", ""needle_hinge""]","[-0.02407601908979313, 0.2442285867201103, -0.1707345297117897, -2.454729672598586]",0.4
absolute_error,Qwen3-1.7B,native_thinking,148,log_needles_only__sqrt__huber__0.01,Log N only; sqrt + Huber,log_needles_only,huber,sqrt,0.01,1,E[sqrt(|b|)|parsed] = alpha + beta_N ln(N/5),"[""intercept"", ""log_needles""]","[0.6196214422797884, 0.7100625970494461]",0.0,piecewise_log_needles__sqrt__huber__0.01,Log T + piecewise log N; sqrt + Huber,piecewise_log_needles,huber,sqrt,0.01,3,"E[sqrt(|b|)|parsed] = alpha + beta_T ln(T/5000) + beta_N ln(N/5) + beta_H max[0,ln(N/5)]","[""intercept"", ""log_length"", ""log_needles"", ""needle_hinge""]","[0.110498540018035, -0.0749245820764431, -0.02698608809701139, 1.3848457293679228]",0.4
exact,Qwen3-8B,direct,150,log_needles_only__identity__logistic__0.3,Log N only; ridge=0.3,log_needles_only,logistic,identity,0.3,1,logit p = alpha + beta_N ln(N/5),"[""intercept"", ""log_needles""]","[-0.26947239476263324, -2.53688982822103]",0.6,quadratic_log_needles__identity__logistic__0.3,Log T + curved log N; ridge=0.3,quadratic_log_needles,logistic,identity,0.3,3,logit p = alpha + beta_T ln(T/5000) + beta_N ln(N/5) + beta_N2 ln(N/5)^2,"[""intercept"", ""log_length"", ""log_needles"", ""log_needles_sq""]","[-0.7169773841346625, -0.13672390850412014, -3.57094816331584, 1.57795471382248]",0.6
