target,spec,label,candidate,features,estimator,transform,ridge,complexity,interpretation
exact,constant__identity__logistic__0.3,Constant; ridge=0.3,constant,[],logistic,identity,0.3,0,No T/N dependence.
exact,constant__identity__logistic__0.03,Constant; ridge=0.03,constant,[],logistic,identity,0.03,0,No T/N dependence.
exact,constant__identity__logistic__0.001,Constant; ridge=0.001,constant,[],logistic,identity,0.001,0,No T/N dependence.
exact,log_needles_only__identity__logistic__0.3,Log N only; ridge=0.3,log_needles_only,"[""log_needles""]",logistic,identity,0.3,1,A single power/exponent term in needle count.
exact,log_needles_only__identity__logistic__0.03,Log N only; ridge=0.03,log_needles_only,"[""log_needles""]",logistic,identity,0.03,1,A single power/exponent term in needle count.
exact,log_needles_only__identity__logistic__0.001,Log N only; ridge=0.001,log_needles_only,"[""log_needles""]",logistic,identity,0.001,1,A single power/exponent term in needle count.
exact,linear_needles_only__identity__logistic__0.3,Linear N only; ridge=0.3,linear_needles_only,"[""needle_linear""]",logistic,identity,0.3,1,An exponential-in-N accuracy odds or linear transformed error.
exact,linear_needles_only__identity__logistic__0.03,Linear N only; ridge=0.03,linear_needles_only,"[""needle_linear""]",logistic,identity,0.03,1,An exponential-in-N accuracy odds or linear transformed error.
exact,linear_needles_only__identity__logistic__0.001,Linear N only; ridge=0.001,linear_needles_only,"[""needle_linear""]",logistic,identity,0.001,1,An exponential-in-N accuracy odds or linear transformed error.
exact,log_length_only__identity__logistic__0.3,Log T only; ridge=0.3,log_length_only,"[""log_length""]",logistic,identity,0.3,1,A single power/exponent term in passage length.
exact,log_length_only__identity__logistic__0.03,Log T only; ridge=0.03,log_length_only,"[""log_length""]",logistic,identity,0.03,1,A single power/exponent term in passage length.
exact,log_length_only__identity__logistic__0.001,Log T only; ridge=0.001,log_length_only,"[""log_length""]",logistic,identity,0.001,1,A single power/exponent term in passage length.
exact,log_density__identity__logistic__0.3,Log density; ridge=0.3,log_density,"[""log_density""]",logistic,identity,0.3,1,Depends only on rho = 1000N/T.
exact,log_density__identity__logistic__0.03,Log density; ridge=0.03,log_density,"[""log_density""]",logistic,identity,0.03,1,Depends only on rho = 1000N/T.
exact,log_density__identity__logistic__0.001,Log density; ridge=0.001,log_density,"[""log_density""]",logistic,identity,0.001,1,Depends only on rho = 1000N/T.
exact,log_burden__identity__logistic__0.3,Log burden; ridge=0.3,log_burden,"[""log_burden""]",logistic,identity,0.3,1,Depends on (T/5000)(N/5).
exact,log_burden__identity__logistic__0.03,Log burden; ridge=0.03,log_burden,"[""log_burden""]",logistic,identity,0.03,1,Depends on (T/5000)(N/5).
