model_label,mode,endpoint,layer,city_site,transfer_site,entity_domain,states,trajectories,support_min,support_max,logistic_balanced_accuracy,ncc_balanced_accuracy
Qwen3-8B,non_thinking,running_index,17,span_end,running_index,city,550,100,10,100,0.53,0.4600000000000001
Qwen3-8B,non_thinking,running_index,17,span_end,running_index,flower,550,100,10,100,0.52,0.47000000000000003
Qwen3-8B,non_thinking,running_index,17,span_end,running_index,animal,550,100,10,100,0.54,0.45999999999999996
Qwen3-8B,non_thinking,answer_token,24,answer_query,answer_query,city,100,100,10,10,0.5800000000000001,0.58
Qwen3-8B,non_thinking,answer_token,24,answer_query,answer_query,flower,100,100,10,10,0.55,0.58
Qwen3-8B,non_thinking,answer_token,24,answer_query,answer_query,animal,100,100,10,10,0.54,0.49000000000000005
Qwen3-8B,native_thinking,running_index,18,item_end,item_end,city,544,100,10,100,0.6811165141113654,0.588898303884495
Qwen3-8B,native_thinking,running_index,18,item_end,item_end,flower,546,100,8,100,0.6165198307885288,0.5856817863877838
Qwen3-8B,native_thinking,running_index,18,item_end,item_end,animal,528,100,10,100,0.7006055450812311,0.5585182150862198
Qwen3-8B,native_thinking,answer_token,25,answer_query_v3,answer_query_v3,city,100,100,10,10,1.0,1.0
Qwen3-8B,native_thinking,answer_token,25,answer_query_v3,answer_query_v3,flower,100,100,10,10,0.9800000000000001,0.9800000000000001
Qwen3-8B,native_thinking,answer_token,25,answer_query_v3,answer_query_v3,animal,100,100,10,10,1.0,1.0
Gemma4-E4B,non_thinking,running_index,22,span_end,running_index,city,550,100,10,100,0.43,0.39
Gemma4-E4B,non_thinking,running_index,22,span_end,running_index,flower,550,100,10,100,0.41,0.38
Gemma4-E4B,non_thinking,running_index,22,span_end,running_index,animal,550,100,10,100,0.4299999999999999,0.43
Gemma4-E4B,non_thinking,answer_token,38,answer_query,answer_query,city,100,100,10,10,0.55,0.58
Gemma4-E4B,non_thinking,answer_token,38,answer_query,answer_query,flower,100,100,10,10,0.44000000000000006,0.43
Gemma4-E4B,non_thinking,answer_token,38,answer_query,answer_query,animal,100,100,10,10,0.48,0.53
Gemma4-E4B,native_thinking,running_index,22,item_end,item_end,city,519,100,5,100,0.7837129315543494,0.6925055216342529
Gemma4-E4B,native_thinking,running_index,22,item_end,item_end,flower,507,100,3,100,0.7661719797995739,0.7027273368421837
Gemma4-E4B,native_thinking,running_index,22,item_end,item_end,animal,524,100,5,100,0.787250569109869,0.7568357576449546
Gemma4-E4B,native_thinking,answer_token,41,answer_query_v3,answer_query_v3,city,100,100,10,10,0.69,0.7
Gemma4-E4B,native_thinking,answer_token,41,answer_query_v3,answer_query_v3,flower,100,100,10,10,0.68,0.6900000000000001
Gemma4-E4B,native_thinking,answer_token,41,answer_query_v3,answer_query_v3,animal,100,100,10,10,0.79,0.7699999999999999
