model_label,query_variant,response_type,bank_size,seed,occurrences,clean_accuracy,ranked_accuracy,random_accuracy,all_accuracy_damage_specificity,clean_correct_to_wrong_specificity,token_accuracy_specificity
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,1,1254,14,1.0,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,1,1255,41,1.0,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,1,1256,41,1.0,0.975609756097561,1.0,0.024390243902439025,0.024390243902439025,0.024390243902439025
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,1,1257,52,1.0,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,1,1258,7,1.0,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,1,1259,28,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.0,0.0,9.912705577010326e-19
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,1,1260,43,1.0,0.9534883720930233,0.9767441860465116,0.023255813953488372,0.023255813953488372,0.023255813953488372
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,1,1261,29,1.0,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,1,1262,49,1.0,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,1,1263,33,1.0,0.9696969696969697,0.9898989898989898,0.020202020202020204,0.020202020202020204,0.012121212121212118
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,1,1268,10,0.9,1.0,0.9666666666666666,-0.03333333333333334,0.0,-0.016666666666666663
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,1,1271,10,1.0,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,2,1254,14,1.0,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,2,1255,41,1.0,1.0,0.991869918699187,-0.008130081300813007,-0.008130081300813007,-0.008130081300813009
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,2,1256,41,1.0,0.975609756097561,0.983739837398374,0.008130081300813009,0.008130081300813009,0.008130081300813007
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,2,1257,52,1.0,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,2,1258,7,1.0,1.0,1.0,0.0,0.0,0.0
