request_id,stimulus_id,seed,model_label,model_id,target_passage_tokens,model_passage_tokens,model_input_tokens,num_needles,density_per_1k,prompt_mode,thinking_enabled,query_order,exact_correct,parse_success,format_failure,truncated,parse_status,finish_reason,gold_count,predicted_count,absolute_error,normalized_absolute_error,signed_error,output_tokens,error_category,missing_pairs_n,hallucinated_pairs_n,duplicate_listed_pairs_n,listed_records_n,listed_total_matches_length,pair_precision,pair_recall,pair_f1,source_file,source_line
Qwen3-8B/direct/query_first/T10000_N10_seed1234,T10000_N10_seed1234,1234,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,10,1.0,direct,0,query_first,0,1,0,0,ok,stop,10,7.0,3.0,0.3,-3.0,5,undercount,10,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,1
Qwen3-8B/direct/query_first/T10000_N10_seed1235,T10000_N10_seed1235,1235,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,10,1.0,direct,0,query_first,0,1,0,0,ok,stop,10,8.0,2.0,0.2,-2.0,5,undercount,10,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,2
Qwen3-8B/direct/query_first/T10000_N10_seed1236,T10000_N10_seed1236,1236,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,10,1.0,direct,0,query_first,0,1,0,0,ok,stop,10,6.0,4.0,0.4,-4.0,5,undercount,10,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,3
Qwen3-8B/direct/query_first/T10000_N10_seed1237,T10000_N10_seed1237,1237,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,10,1.0,direct,0,query_first,0,1,0,0,ok,stop,10,7.0,3.0,0.3,-3.0,5,undercount,10,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,4
Qwen3-8B/direct/query_first/T10000_N10_seed1238,T10000_N10_seed1238,1238,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,10,1.0,direct,0,query_first,0,1,0,0,ok,stop,10,7.0,3.0,0.3,-3.0,5,undercount,10,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,5
Qwen3-8B/direct/query_first/T10000_N1_seed1234,T10000_N1_seed1234,1234,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,1,0.1,direct,0,query_first,1,1,0,0,ok,stop,1,1.0,0.0,0.0,0.0,5,correct,1,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,6
Qwen3-8B/direct/query_first/T10000_N1_seed1235,T10000_N1_seed1235,1235,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10077,1,0.1,direct,0,query_first,1,1,0,0,ok,stop,1,1.0,0.0,0.0,0.0,5,correct,1,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,7
Qwen3-8B/direct/query_first/T10000_N1_seed1236,T10000_N1_seed1236,1236,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,1,0.1,direct,0,query_first,1,1,0,0,ok,stop,1,1.0,0.0,0.0,0.0,5,correct,1,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,8
Qwen3-8B/direct/query_first/T10000_N1_seed1237,T10000_N1_seed1237,1237,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,1,0.1,direct,0,query_first,1,1,0,0,ok,stop,1,1.0,0.0,0.0,0.0,5,correct,1,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,9
Qwen3-8B/direct/query_first/T10000_N1_seed1238,T10000_N1_seed1238,1238,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,1,0.1,direct,0,query_first,1,1,0,0,ok,stop,1,1.0,0.0,0.0,0.0,5,correct,1,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,10
