level,model_label,sequence_source,trace_category,causal_cohort,grammar_signature,grammar_class,association,surface_order,marker_kind,transition_kind,count,city_zero_spill_count,eligible_count,format_shell_control_eligible_count,grammar_pair,invariant_surface_control_eligible_count,local_eligible_count,marker_control_eligible_count,marker_semantics,max_continuation_tokens,max_interstitial_tokens,mean_continuation_tokens,mean_interstitial_tokens,primary_eligible_count,progress_commit_eligible_count,rank_span_count,rank_zero_spill_count,retrieval_eligible_count,with_exclusion_count
trajectory,Gemma4-E4B,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,,,,inline_count,,84,,84,,,,,,,,,,,,,,,,0
trajectory,Gemma4-E4B,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city + adjacent_rank_before_city,,,,inline_count,,4,,4,,,,,,,,,,,,,,,,0
trajectory,Gemma4-E4B,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city + same_unit_rank_before_city,,,,inline_count,,2,,2,,,,,,,,,,,,,,,,0
trajectory,Gemma4-E4B,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_before_city,,,,inline_count,,1,,1,,,,,,,,,,,,,,,,0
trajectory,Gemma4-E4B,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,same_unit_rank_after_city,,,,inline_count,,7,,7,,,,,,,,,,,,,,,,0
trajectory,Gemma4-E4B,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,same_unit_rank_before_city,,,,inline_count,,108,,108,,,,,,,,,,,,,,,,0
trajectory,Gemma4-E4B,rank_supported_episode,partial_unique,secondary_local_partial_unique,adjacent_rank_after_city,,,,inline_count,,38,,0,,,,,,,,,,,,,,,,0
trajectory,Gemma4-E4B,rank_supported_episode,partial_unique,secondary_local_partial_unique,same_unit_rank_after_city,,,,inline_count,,1,,0,,,,,,,,,,,,,,,,0
trajectory,Gemma4-E4B,rank_supported_episode,partial_unique,secondary_local_partial_unique,same_unit_rank_before_city,,,,inline_count,,34,,0,,,,,,,,,,,,,,,,0
trajectory,Gemma4-E4B,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,same_unit_rank_before_city,,,,ordinal,,1,,1,,,,,,,,,,,,,,,,0
trajectory,Gemma4-E4B,rank_supported_episode,partial_unique,secondary_local_partial_unique,same_unit_rank_before_city,,,,ordinal,,2,,0,,,,,,,,,,,,,,,,0
trajectory,Gemma4-E4B,structural_fallback,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,structural_invariant_bullet,,,,bullet,,10,,0,,,,,,,,,,,,,,,,0
trajectory,Gemma4-E4B,structural_fallback,one_to_one,secondary_structural_marker_neutral,structural_invariant_bullet,,,,bullet,,8,,0,,,,,,,,,,,,,,,,0
trajectory,Qwen3-8B,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,adjacent_rank_before_city,,,,indexed,,7,,0,,,,,,,,,,,,,,,,0
trajectory,Qwen3-8B,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_before_city,,,,indexed,,46,,46,,,,,,,,,,,,,,,,0
trajectory,Qwen3-8B,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,adjacent_rank_after_city,,,,inline_count,,2,,0,,,,,,,,,,,,,,,,0
trajectory,Qwen3-8B,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,adjacent_rank_after_city + adjacent_rank_before_city,,,,inline_count,,1,,0,,,,,,,,,,,,,,,,0
trajectory,Qwen3-8B,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,adjacent_rank_after_city + same_unit_rank_before_city,,,,inline_count,,3,,0,,,,,,,,,,,,,,,,0
trajectory,Qwen3-8B,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,,,,inline_count,,139,,139,,,,,,,,,,,,,,,,0
trajectory,Qwen3-8B,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city + adjacent_rank_before_city,,,,inline_count,,4,,4,,,,,,,,,,,,,,,,0
trajectory,Qwen3-8B,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city + adjacent_rank_before_city + same_unit_rank_before_city,,,,inline_count,,1,,1,,,,,,,,,,,,,,,,0
