model_label,prompt_mode,query_order,target_passage_tokens,num_needles,observed,predicted,candidate,scheme
Qwen3-1.7B,direct,query_first,2000,1,-0.3525494348078172,-1.831103234063761,condition_only,seed
Qwen3-1.7B,direct,query_first,2000,2,-0.5288241522117259,-1.831103234063761,condition_only,seed
Qwen3-1.7B,direct,query_first,2000,3,-0.8286911042860841,-1.831103234063761,condition_only,seed
Qwen3-1.7B,direct,query_first,2000,4,-1.172671416927653,-1.831103234063761,condition_only,seed
Qwen3-1.7B,direct,query_first,2000,5,-1.170157272742533,-1.831103234063761,condition_only,seed
Qwen3-1.7B,direct,query_first,2000,6,-1.6923582452082502,-1.831103234063761,condition_only,seed
Qwen3-1.7B,direct,query_first,2000,8,-2.1982862518088186,-1.831103234063761,condition_only,seed
Qwen3-1.7B,direct,query_first,2000,10,-2.650006957791285,-1.831103234063761,condition_only,seed
Qwen3-1.7B,direct,query_first,2000,20,-3.3247998160319328,-1.831103234063761,condition_only,seed
Qwen3-1.7B,direct,query_first,2000,30,-3.8705641614314814,-1.831103234063761,condition_only,seed
Qwen3-1.7B,direct,query_first,5000,1,-0.5288241522117259,-1.831103234063761,condition_only,seed
Qwen3-1.7B,direct,query_first,5000,2,-0.7537289074754328,-1.831103234063761,condition_only,seed
Qwen3-1.7B,direct,query_first,5000,3,-1.1812405390939014,-1.831103234063761,condition_only,seed
Qwen3-1.7B,direct,query_first,5000,4,-1.7218293407963317,-1.831103234063761,condition_only,seed
Qwen3-1.7B,direct,query_first,5000,5,-2.0398793916458273,-1.831103234063761,condition_only,seed
Qwen3-1.7B,direct,query_first,5000,6,-1.955618459760507,-1.831103234063761,condition_only,seed
Qwen3-1.7B,direct,query_first,5000,8,-2.274609652755955,-1.831103234063761,condition_only,seed
Qwen3-1.7B,direct,query_first,5000,10,-2.4505114297787918,-1.831103234063761,condition_only,seed
Qwen3-1.7B,direct,query_first,5000,20,-3.373890088803459,-1.831103234063761,condition_only,seed
Qwen3-1.7B,direct,query_first,5000,30,-3.7782577934502584,-1.831103234063761,condition_only,seed
Qwen3-1.7B,direct,query_first,10000,1,-0.7050988696156344,-1.831103234063761,condition_only,seed
Qwen3-1.7B,direct,query_first,10000,2,-0.5774541900715241,-1.831103234063761,condition_only,seed
Qwen3-1.7B,direct,query_first,10000,3,-0.9036533010967354,-1.831103234063761,condition_only,seed
Qwen3-1.7B,direct,query_first,10000,4,-1.1351812361064508,-1.831103234063761,condition_only,seed
Qwen3-1.7B,direct,query_first,10000,5,-1.3874630047636518,-1.831103234063761,condition_only,seed
Qwen3-1.7B,direct,query_first,10000,6,-1.9378554229759026,-1.831103234063761,condition_only,seed
Qwen3-1.7B,direct,query_first,10000,8,-1.203259578760808,-1.831103234063761,condition_only,seed
Qwen3-1.7B,direct,query_first,10000,10,-2.3625049454731357,-1.831103234063761,condition_only,seed
Qwen3-1.7B,direct,query_first,10000,20,-3.1368364865821667,-1.831103234063761,condition_only,seed
Qwen3-1.7B,direct,query_first,10000,30,-3.73649141744704,-1.831103234063761,condition_only,seed
Qwen3-1.7B,direct,query_last,2000,1,0.0,0.27902571754535,condition_only,seed
Qwen3-1.7B,direct,query_last,2000,2,0.1762747174039086,0.27902571754535,condition_only,seed
Qwen3-1.7B,direct,query_last,2000,3,0.0,0.27902571754535,condition_only,seed
Qwen3-1.7B,direct,query_last,2000,4,0.1762747174039086,0.27902571754535,condition_only,seed
Qwen3-1.7B,direct,query_last,2000,5,-0.3525494348078172,0.27902571754535,condition_only,seed
Qwen3-1.7B,direct,query_last,2000,6,-0.06382233977205516,0.27902571754535,condition_only,seed
Qwen3-1.7B,direct,query_last,2000,8,-0.7273785836928267,0.27902571754535,condition_only,seed
