model,mode,error_category,count,rate
DeepSeek-R1-0528-Qwen3-8B,native_thinking,success,336,0.672
DeepSeek-R1-0528-Qwen3-8B,native_thinking,truncated,22,0.044
DeepSeek-R1-0528-Qwen3-8B,native_thinking,wrong_count,142,0.284
GLM-4-9B-0414,direct,success,151,0.302
GLM-4-9B-0414,direct,wrong_count,349,0.698
GLM-4-9B-0414,enumeration_bullet,enumeration_format_failure,8,0.016
GLM-4-9B-0414,enumeration_bullet,parse_failure,25,0.05
GLM-4-9B-0414,enumeration_bullet,success,312,0.624
GLM-4-9B-0414,enumeration_bullet,truncated,1,0.002
GLM-4-9B-0414,enumeration_bullet,wrong_count,154,0.308
GLM-4-9B-0414,enumeration_index,enumeration_format_failure,6,0.012
GLM-4-9B-0414,enumeration_index,parse_failure,10,0.02
GLM-4-9B-0414,enumeration_index,success,352,0.704
GLM-4-9B-0414,enumeration_index,truncated,1,0.002
GLM-4-9B-0414,enumeration_index,wrong_count,131,0.262
GLM-Z1-9B-0414,native_thinking,success,342,0.684
GLM-Z1-9B-0414,native_thinking,truncated,41,0.082
GLM-Z1-9B-0414,native_thinking,wrong_count,117,0.234
Gemma4-12B,direct,success,257,0.514
Gemma4-12B,direct,wrong_count,243,0.486
Gemma4-12B,enumeration_bullet,success,373,0.746
Gemma4-12B,enumeration_bullet,wrong_count,127,0.254
Gemma4-12B,enumeration_index,success,475,0.95
Gemma4-12B,enumeration_index,wrong_count,25,0.05
Gemma4-12B,native_thinking,response_format_failure,315,0.63
Gemma4-12B,native_thinking,success,157,0.314
Gemma4-12B,native_thinking,truncated,8,0.016
Gemma4-12B,native_thinking,wrong_count,20,0.04
Gemma4-E4B,direct,response_format_failure,4,0.008
Gemma4-E4B,direct,success,120,0.24
Gemma4-E4B,direct,truncated,170,0.34
Gemma4-E4B,direct,wrong_count,206,0.412
Gemma4-E4B,enumeration_bullet,enumeration_format_failure,1,0.002
Gemma4-E4B,enumeration_bullet,success,397,0.794
Gemma4-E4B,enumeration_bullet,wrong_count,102,0.204
Gemma4-E4B,enumeration_index,enumeration_format_failure,2,0.004
Gemma4-E4B,enumeration_index,success,441,0.882
Gemma4-E4B,enumeration_index,wrong_count,57,0.114
Gemma4-E4B,native_thinking,response_format_failure,22,0.044
Gemma4-E4B,native_thinking,success,396,0.792
Gemma4-E4B,native_thinking,truncated,1,0.002
Gemma4-E4B,native_thinking,wrong_count,81,0.162
Qwen3-1.7B,direct,success,98,0.196
Qwen3-1.7B,direct,wrong_count,402,0.804
Qwen3-1.7B,enumeration_bullet,enumeration_format_failure,15,0.03
Qwen3-1.7B,enumeration_bullet,parse_failure,27,0.054
Qwen3-1.7B,enumeration_bullet,success,190,0.38
Qwen3-1.7B,enumeration_bullet,truncated,125,0.25
Qwen3-1.7B,enumeration_bullet,wrong_count,143,0.286
Qwen3-1.7B,enumeration_index,enumeration_format_failure,54,0.108
Qwen3-1.7B,enumeration_index,parse_failure,97,0.194
Qwen3-1.7B,enumeration_index,success,124,0.248
Qwen3-1.7B,enumeration_index,truncated,12,0.024
Qwen3-1.7B,enumeration_index,wrong_count,213,0.426
Qwen3-1.7B,native_thinking,success,301,0.602
Qwen3-1.7B,native_thinking,truncated,2,0.004
Qwen3-1.7B,native_thinking,wrong_count,197,0.394
Qwen3-32B,direct,success,300,0.6
Qwen3-32B,direct,wrong_count,200,0.4
Qwen3-32B,enumeration_bullet,success,429,0.858
Qwen3-32B,enumeration_bullet,wrong_count,71,0.142
Qwen3-32B,enumeration_index,enumeration_format_failure,4,0.008
Qwen3-32B,enumeration_index,success,487,0.974
Qwen3-32B,enumeration_index,wrong_count,9,0.018
Qwen3-32B,native_thinking,success,488,0.976
Qwen3-32B,native_thinking,wrong_count,12,0.024
Qwen3-4B,direct,success,216,0.432
Qwen3-4B,direct,truncated,52,0.104
Qwen3-4B,direct,wrong_count,232,0.464
Qwen3-4B,enumeration_bullet,enumeration_format_failure,7,0.014
Qwen3-4B,enumeration_bullet,parse_failure,10,0.02
Qwen3-4B,enumeration_bullet,success,403,0.806
Qwen3-4B,enumeration_bullet,truncated,3,0.006
Qwen3-4B,enumeration_bullet,wrong_count,77,0.154
Qwen3-4B,enumeration_index,parse_failure,5,0.01
Qwen3-4B,enumeration_index,success,444,0.888
Qwen3-4B,enumeration_index,wrong_count,51,0.102
Qwen3-4B,native_thinking,success,464,0.928
Qwen3-4B,native_thinking,truncated,4,0.008
Qwen3-4B,native_thinking,wrong_count,32,0.064
Qwen3-8B,direct,success,285,0.57
Qwen3-8B,direct,truncated,14,0.028
Qwen3-8B,direct,wrong_count,201,0.402
Qwen3-8B,enumeration_bullet,success,447,0.894
Qwen3-8B,enumeration_bullet,wrong_count,53,0.106
Qwen3-8B,enumeration_index,enumeration_format_failure,1,0.002
Qwen3-8B,enumeration_index,success,480,0.96
Qwen3-8B,enumeration_index,wrong_count,19,0.038
Qwen3-8B,native_thinking,success,478,0.956
Qwen3-8B,native_thinking,truncated,1,0.002
Qwen3-8B,native_thinking,wrong_count,21,0.042
