model_label,role,layer,algorithm,rows,seeds,count_classes,count_class_count,accuracy,accuracy_ci95_low,accuracy_ci95_high,seed_accuracy_sd,chance_accuracy,balanced_accuracy,count_mae,signed_error,pca_components
Qwen3-8B,answer_query,0,logistic_l2,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.13,0.10500000000000002,0.16000000000000003,0.06569466853317862,0.1,0.13,3.515,0.025,32
Qwen3-8B,answer_query,0,ridge_classifier,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.12,0.1,0.14000000000000004,0.05231483637805969,0.1,0.12,3.28,-0.04,32
Qwen3-8B,answer_query,0,linear_svm,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.125,0.10500000000000002,0.14500000000000005,0.04442616583193193,0.1,0.125,3.585,-0.555,32
Qwen3-8B,answer_query,0,nearest_centroid,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.13,0.10500000000000002,0.16500000000000004,0.07326950970650466,0.1,0.12999999999999998,3.575,0.125,32
Qwen3-8B,answer_query,0,shrinkage_lda,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.125,0.10000000000000002,0.15500000000000003,0.0638666373658505,0.1,0.125,3.64,0.15,32
Qwen3-8B,answer_query,0,knn_k5_cosine,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.105,0.10000000000000002,0.11500000000000002,0.0223606797749979,0.1,0.10500000000000001,3.68,-0.33,32
Qwen3-8B,answer_query,1,logistic_l2,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.18,0.14,0.22999999999999998,0.10563093645728085,0.1,0.18,2.725,-0.365,32
Qwen3-8B,answer_query,1,ridge_classifier,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.14,0.11500000000000002,0.16500000000000004,0.059824304161611885,0.1,0.13999999999999999,2.63,0.44,32
Qwen3-8B,answer_query,1,linear_svm,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.125,0.11000000000000001,0.14500000000000005,0.04442616583193193,0.1,0.125,3.18,-0.17,32
Qwen3-8B,answer_query,1,nearest_centroid,200,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.14,0.11000000000000003,0.17000000000000004,0.06805570473787205,0.1,0.13999999999999999,3.085,0.235,32
