model_label,category,checks
Qwen3-8B,ablation,14
Qwen3-8B,answer_patching,75
Qwen3-8B,answer_query_head_ablation,6
Qwen3-8B,baseline,11
Qwen3-8B,head_rankings,26
Qwen3-8B,prompt_alignment,9
Qwen3-8B,prompt_patching,88
Qwen3-8B,prompt_span_alignment,6
Qwen3-8B,run,3
Qwen3-8B,steering,46
Qwen3-8B,steering_centroids,13
Qwen3-8B,stimuli,5
Gemma4-E4B,ablation,14
Gemma4-E4B,answer_patching,75
Gemma4-E4B,answer_query_head_ablation,6
Gemma4-E4B,baseline,11
Gemma4-E4B,head_rankings,26
Gemma4-E4B,prompt_alignment,9
Gemma4-E4B,prompt_patching,88
Gemma4-E4B,prompt_span_alignment,6
Gemma4-E4B,run,3
Gemma4-E4B,steering,46
Gemma4-E4B,steering_centroids,13
Gemma4-E4B,stimuli,5
