model_label,role,layer,algorithm,gold_count,predicted_count,rows
Gemma4-E4B,answer_query,0,knn_k5_cosine,1,1,2
Gemma4-E4B,answer_query,0,knn_k5_cosine,1,2,2
Gemma4-E4B,answer_query,0,knn_k5_cosine,1,3,3
Gemma4-E4B,answer_query,0,knn_k5_cosine,1,4,1
Gemma4-E4B,answer_query,0,knn_k5_cosine,1,6,1
Gemma4-E4B,answer_query,0,knn_k5_cosine,1,7,2
Gemma4-E4B,answer_query,0,knn_k5_cosine,1,8,4
Gemma4-E4B,answer_query,0,knn_k5_cosine,1,9,3
Gemma4-E4B,answer_query,0,knn_k5_cosine,1,10,2
Gemma4-E4B,answer_query,0,knn_k5_cosine,2,1,4
Gemma4-E4B,answer_query,0,knn_k5_cosine,2,2,3
Gemma4-E4B,answer_query,0,knn_k5_cosine,2,3,2
Gemma4-E4B,answer_query,0,knn_k5_cosine,2,4,2
Gemma4-E4B,answer_query,0,knn_k5_cosine,2,7,1
Gemma4-E4B,answer_query,0,knn_k5_cosine,2,8,3
Gemma4-E4B,answer_query,0,knn_k5_cosine,2,9,4
Gemma4-E4B,answer_query,0,knn_k5_cosine,2,10,1
Gemma4-E4B,answer_query,0,knn_k5_cosine,3,1,4
Gemma4-E4B,answer_query,0,knn_k5_cosine,3,2,2
Gemma4-E4B,answer_query,0,knn_k5_cosine,3,3,3
Gemma4-E4B,answer_query,0,knn_k5_cosine,3,4,2
Gemma4-E4B,answer_query,0,knn_k5_cosine,3,7,1
Gemma4-E4B,answer_query,0,knn_k5_cosine,3,8,3
Gemma4-E4B,answer_query,0,knn_k5_cosine,3,9,4
Gemma4-E4B,answer_query,0,knn_k5_cosine,3,10,1
Gemma4-E4B,answer_query,0,knn_k5_cosine,4,1,3
Gemma4-E4B,answer_query,0,knn_k5_cosine,4,2,1
Gemma4-E4B,answer_query,0,knn_k5_cosine,4,3,4
Gemma4-E4B,answer_query,0,knn_k5_cosine,4,4,2
Gemma4-E4B,answer_query,0,knn_k5_cosine,4,6,1
Gemma4-E4B,answer_query,0,knn_k5_cosine,4,7,2
Gemma4-E4B,answer_query,0,knn_k5_cosine,4,8,3
Gemma4-E4B,answer_query,0,knn_k5_cosine,4,9,3
Gemma4-E4B,answer_query,0,knn_k5_cosine,4,10,1
Gemma4-E4B,answer_query,0,knn_k5_cosine,5,1,3
Gemma4-E4B,answer_query,0,knn_k5_cosine,5,2,3
Gemma4-E4B,answer_query,0,knn_k5_cosine,5,3,3
Gemma4-E4B,answer_query,0,knn_k5_cosine,5,4,2
Gemma4-E4B,answer_query,0,knn_k5_cosine,5,6,1
Gemma4-E4B,answer_query,0,knn_k5_cosine,5,7,2
Gemma4-E4B,answer_query,0,knn_k5_cosine,5,8,2
Gemma4-E4B,answer_query,0,knn_k5_cosine,5,9,3
Gemma4-E4B,answer_query,0,knn_k5_cosine,5,10,1
Gemma4-E4B,answer_query,0,knn_k5_cosine,6,1,3
Gemma4-E4B,answer_query,0,knn_k5_cosine,6,2,4
Gemma4-E4B,answer_query,0,knn_k5_cosine,6,3,3
Gemma4-E4B,answer_query,0,knn_k5_cosine,6,4,2
Gemma4-E4B,answer_query,0,knn_k5_cosine,6,6,1
Gemma4-E4B,answer_query,0,knn_k5_cosine,6,7,1
Gemma4-E4B,answer_query,0,knn_k5_cosine,6,8,2
Gemma4-E4B,answer_query,0,knn_k5_cosine,6,9,3
Gemma4-E4B,answer_query,0,knn_k5_cosine,6,10,1
Gemma4-E4B,answer_query,0,knn_k5_cosine,7,1,3
Gemma4-E4B,answer_query,0,knn_k5_cosine,7,2,4
Gemma4-E4B,answer_query,0,knn_k5_cosine,7,3,3
Gemma4-E4B,answer_query,0,knn_k5_cosine,7,4,1
Gemma4-E4B,answer_query,0,knn_k5_cosine,7,6,1
Gemma4-E4B,answer_query,0,knn_k5_cosine,7,7,2
Gemma4-E4B,answer_query,0,knn_k5_cosine,7,8,2
Gemma4-E4B,answer_query,0,knn_k5_cosine,7,9,3
Gemma4-E4B,answer_query,0,knn_k5_cosine,7,10,1
Gemma4-E4B,answer_query,0,knn_k5_cosine,8,1,3
Gemma4-E4B,answer_query,0,knn_k5_cosine,8,2,3
Gemma4-E4B,answer_query,0,knn_k5_cosine,8,3,4
Gemma4-E4B,answer_query,0,knn_k5_cosine,8,6,1
Gemma4-E4B,answer_query,0,knn_k5_cosine,8,7,2
Gemma4-E4B,answer_query,0,knn_k5_cosine,8,8,3
Gemma4-E4B,answer_query,0,knn_k5_cosine,8,9,3
Gemma4-E4B,answer_query,0,knn_k5_cosine,8,10,1
Gemma4-E4B,answer_query,0,knn_k5_cosine,9,1,3
Gemma4-E4B,answer_query,0,knn_k5_cosine,9,2,4
Gemma4-E4B,answer_query,0,knn_k5_cosine,9,3,3
Gemma4-E4B,answer_query,0,knn_k5_cosine,9,4,1
Gemma4-E4B,answer_query,0,knn_k5_cosine,9,6,1
Gemma4-E4B,answer_query,0,knn_k5_cosine,9,7,2
Gemma4-E4B,answer_query,0,knn_k5_cosine,9,8,2
Gemma4-E4B,answer_query,0,knn_k5_cosine,9,9,3
Gemma4-E4B,answer_query,0,knn_k5_cosine,9,10,1
Gemma4-E4B,answer_query,0,knn_k5_cosine,10,1,4
Gemma4-E4B,answer_query,0,knn_k5_cosine,10,2,6
Gemma4-E4B,answer_query,0,knn_k5_cosine,10,3,3
Gemma4-E4B,answer_query,0,knn_k5_cosine,10,6,1
Gemma4-E4B,answer_query,0,knn_k5_cosine,10,7,1
Gemma4-E4B,answer_query,0,knn_k5_cosine,10,8,2
Gemma4-E4B,answer_query,0,knn_k5_cosine,10,9,2
Gemma4-E4B,answer_query,0,knn_k5_cosine,10,10,1
Gemma4-E4B,answer_query,0,logistic_l2,1,1,3
Gemma4-E4B,answer_query,0,logistic_l2,1,2,3
Gemma4-E4B,answer_query,0,logistic_l2,1,3,2
Gemma4-E4B,answer_query,0,logistic_l2,1,4,2
Gemma4-E4B,answer_query,0,logistic_l2,1,6,2
Gemma4-E4B,answer_query,0,logistic_l2,1,7,3
Gemma4-E4B,answer_query,0,logistic_l2,1,8,4
Gemma4-E4B,answer_query,0,logistic_l2,1,10,1
Gemma4-E4B,answer_query,0,logistic_l2,2,1,3
Gemma4-E4B,answer_query,0,logistic_l2,2,2,2
Gemma4-E4B,answer_query,0,logistic_l2,2,3,3
Gemma4-E4B,answer_query,0,logistic_l2,2,4,1
Gemma4-E4B,answer_query,0,logistic_l2,2,5,2
Gemma4-E4B,answer_query,0,logistic_l2,2,6,3
Gemma4-E4B,answer_query,0,logistic_l2,2,7,2
Gemma4-E4B,answer_query,0,logistic_l2,2,8,3
Gemma4-E4B,answer_query,0,logistic_l2,2,10,1
Gemma4-E4B,answer_query,0,logistic_l2,3,1,3
