model_label,seed,request_id,from_occurrence,to_occurrence,split,gold_count,routed_target_grammar_class,target_retrieval_surface_variant,query_site_id,clean_outcome,clean_correct,selected_outcome,selected_correct,random_repeat_1_correct,random_repeat_2_correct,random_repeat_3_correct,random_mean_correct,clean_failure,selected_failure,random_mean_failure,random_repeat_1_failure,random_repeat_2_failure,random_repeat_3_failure,selected_minus_random_failure,registered_bank_size,complete_five_arm_pair
Gemma4-E4B,1254,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N10_seed1254,9,10,confirmation,10,same_unit_rank_before_city,other:same_unit_rank_before_city,9->10@route-q602,correct_next_needle,1.0,no_identifiable_city_record,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,True
Gemma4-E4B,1254,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N2_seed1254,1,2,confirmation,2,same_unit_rank_before_city,other:same_unit_rank_before_city,1->2@route-q154,correct_next_needle,1.0,correct_next_needle,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True
Gemma4-E4B,1254,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N3_seed1254,2,3,confirmation,3,same_unit_rank_before_city,other:same_unit_rank_before_city,2->3@route-q197,correct_next_needle,1.0,correct_next_needle,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True
Gemma4-E4B,1254,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N4_seed1254,3,4,confirmation,4,adjacent_rank_after_city,other:adjacent_rank_after_city,3->4@route-q519,correct_next_needle,1.0,no_identifiable_city_record,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,True
Gemma4-E4B,1254,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N5_seed1254,4,5,confirmation,5,adjacent_rank_after_city,other:adjacent_rank_after_city,4->5@route-q468,correct_next_needle,1.0,correct_next_needle,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True
Gemma4-E4B,1254,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N6_seed1254,5,6,confirmation,6,same_unit_rank_before_city,other:same_unit_rank_before_city,5->6@route-q532,correct_next_needle,1.0,correct_next_needle,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True
Gemma4-E4B,1254,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N7_seed1254,6,7,confirmation,7,adjacent_rank_after_city,other:adjacent_rank_after_city,6->7@route-q545,correct_next_needle,1.0,correct_next_needle,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True
Gemma4-E4B,1254,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N8_seed1254,7,8,confirmation,8,adjacent_rank_after_city,other:adjacent_rank_after_city,7->8@route-q580,correct_next_needle,1.0,no_identifiable_city_record,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,True
Gemma4-E4B,1254,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N9_seed1254,7,8,confirmation,9,same_unit_rank_before_city,other:same_unit_rank_before_city,7->8@route-q495,correct_next_needle,1.0,no_identifiable_city_record,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,True
Gemma4-E4B,1255,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N10_seed1255,9,10,confirmation,10,adjacent_rank_after_city,other:adjacent_rank_after_city,9->10@route-q418,wrong_gold_needle,0.0,wrong_gold_needle,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,True
Gemma4-E4B,1255,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N2_seed1255,1,2,confirmation,2,adjacent_rank_after_city,other:adjacent_rank_after_city,1->2@route-q265,correct_next_needle,1.0,correct_next_needle,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True
Gemma4-E4B,1255,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N3_seed1255,2,3,confirmation,3,same_unit_rank_before_city,other:same_unit_rank_before_city,2->3@route-q193,correct_next_needle,1.0,correct_next_needle,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True
Gemma4-E4B,1255,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N4_seed1255,3,4,confirmation,4,same_unit_rank_before_city,other:same_unit_rank_before_city,3->4@route-q261,correct_next_needle,1.0,correct_next_needle,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True
Gemma4-E4B,1255,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N5_seed1255,4,5,confirmation,5,same_unit_rank_before_city,other:same_unit_rank_before_city,4->5@route-q283,correct_next_needle,1.0,correct_next_needle,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True
Gemma4-E4B,1255,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N6_seed1255,5,6,confirmation,6,same_unit_rank_before_city,other:same_unit_rank_before_city,5->6@route-q281,correct_next_needle,1.0,no_identifiable_city_record,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,True
Gemma4-E4B,1255,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N7_seed1255,6,7,confirmation,7,same_unit_rank_before_city,other:same_unit_rank_before_city,6->7@route-q322,correct_next_needle,1.0,no_identifiable_city_record,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,True
Gemma4-E4B,1255,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N8_seed1255,7,8,confirmation,8,same_unit_rank_before_city,other:same_unit_rank_before_city,7->8@route-q365,correct_next_needle,1.0,no_identifiable_city_record,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,True
Gemma4-E4B,1255,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N9_seed1255,6,7,confirmation,9,same_unit_rank_before_city,other:same_unit_rank_before_city,6->7@route-q330,correct_next_needle,1.0,correct_next_needle,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True
Gemma4-E4B,1256,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N10_seed1256,8,9,confirmation,10,adjacent_rank_after_city,other:adjacent_rank_after_city,8->9@route-q587,correct_next_needle,1.0,no_identifiable_city_record,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,True
Gemma4-E4B,1256,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N2_seed1256,1,2,confirmation,2,structural_invariant_bullet,other:structural_invariant_bullet,1->2@route-q163,correct_next_needle,1.0,correct_next_needle,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True
Gemma4-E4B,1256,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N3_seed1256,2,3,confirmation,3,same_unit_rank_before_city,other:same_unit_rank_before_city,2->3@route-q233,correct_next_needle,1.0,wrong_gold_needle,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,True
