model_label,grammar,layer,head,seed,request_id,from_occurrence,to_occurrence,query_output_token_index,source_index,source_city,region,is_target,raw_attention_mass
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,1,2,122,1,Chicago,needle_record,False,0.020448729395866394
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,1,2,122,2,Baku,needle_record,True,0.1833323836326599
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,1,2,122,3,Taipei,needle_record,False,0.01580512896180153
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,1,2,122,4,Harbin,needle_record,False,0.0028294213116168976
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,1,2,122,5,Rome,needle_record,False,0.0004690263303928077
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,1,2,122,6,Antwerp,needle_record,False,0.002115495502948761
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,1,2,122,7,Osaka,needle_record,False,0.003087857738137245
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,1,2,122,8,Almaty,needle_record,False,0.0015426762402057648
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,1,2,122,9,Rotterdam,needle_record,False,0.0004380708560347557
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,1,2,122,10,Porto,needle_record,False,0.00034222519025206566
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,1,2,122,,,non_needle_context,False,0.7692571657826193
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,2,3,157,1,Chicago,needle_record,False,0.0012585576623678207
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,2,3,157,2,Baku,needle_record,False,0.0110241137444973
