model_label,role,layer,algorithm,rows,seeds,count_classes,count_class_count,accuracy,accuracy_ci95_low,accuracy_ci95_high,seed_accuracy_sd,chance_accuracy,balanced_accuracy,count_mae,signed_error,pca_components
Gemma4-E4B,answer_query,0,logistic_l2,73,20,"[1, 2, 3, 4, 5, 6, 7, 8]",8,0.2191780821917808,0.16665625,0.2875,0.14088989832593532,0.125,0.10789473684210527,1.5890410958904109,-0.821917808219178,32
Gemma4-E4B,answer_query,0,ridge_classifier,73,20,"[1, 2, 3, 4, 5, 6, 7, 8]",8,0.2602739726027397,0.20208333333333334,0.3458333333333333,0.1697838968731337,0.125,0.13914473684210527,1.4109589041095891,-0.589041095890411,32
Gemma4-E4B,answer_query,0,linear_svm,73,20,"[1, 2, 3, 4, 5, 6, 7, 8]",8,0.273972602739726,0.20208333333333334,0.32499999999999996,0.14158860078178973,0.125,0.1481359649122807,1.4931506849315068,-0.5342465753424658,32
Gemma4-E4B,answer_query,0,nearest_centroid,73,20,"[1, 2, 3, 4, 5, 6, 7, 8]",8,0.2328767123287671,0.16458333333333333,0.38375,0.26113051284145655,0.125,0.11962719298245614,1.917808219178082,0.0547945205479452,32
Gemma4-E4B,answer_query,0,shrinkage_lda,73,20,"[1, 2, 3, 4, 5, 6, 7, 8]",8,0.2465753424657534,0.19540624999999998,0.33124999999999993,0.16130577823986111,0.125,0.13048245614035087,1.5616438356164384,-0.3835616438356164,32
Gemma4-E4B,answer_query,0,knn_k5_cosine,73,20,"[1, 2, 3, 4, 5, 6, 7, 8]",8,0.2876712328767123,0.22291666666666665,0.4645833333333333,0.28212429086676677,0.125,0.14144736842105265,1.4109589041095891,-0.8082191780821918,32
Gemma4-E4B,answer_query,1,logistic_l2,73,20,"[1, 2, 3, 4, 5, 6, 7, 8]",8,0.2602739726027397,0.2125,0.30999999999999994,0.11436002961817124,0.125,0.15021929824561403,1.4657534246575343,-0.3698630136986301,32
Gemma4-E4B,answer_query,1,ridge_classifier,73,20,"[1, 2, 3, 4, 5, 6, 7, 8]",8,0.2465753424657534,0.18958333333333335,0.32708333333333334,0.1604424392602826,0.125,0.14364035087719296,1.5753424657534247,-0.2054794520547945,32
Gemma4-E4B,answer_query,1,linear_svm,73,20,"[1, 2, 3, 4, 5, 6, 7, 8]",8,0.2465753424657534,0.18665625000000002,0.31417708333333316,0.15127322691503128,0.125,0.149890350877193,1.4794520547945205,-0.136986301369863,32
Gemma4-E4B,answer_query,1,nearest_centroid,73,20,"[1, 2, 3, 4, 5, 6, 7, 8]",8,0.2054794520547945,0.145,0.2583333333333333,0.13443826709988013,0.125,0.14396929824561405,1.917808219178082,0.4657534246575342,32
