model,mode,primary_failure,failure_subtype,count,rate_of_500
DeepSeek-R1-0528-Qwen3-8B,native_thinking,truncated,Thinking: long scan/reasoning ended before Total,4,0.008
DeepSeek-R1-0528-Qwen3-8B,native_thinking,truncated,Thinking: repetition loop before final answer,2,0.004
DeepSeek-R1-0528-Qwen3-8B,native_thinking,truncated,Thinking: restart/rescan before final answer,16,0.032
DeepSeek-R1-0528-Qwen3-8B,native_thinking,wrong_count,Wrong count: overcount,61,0.122
DeepSeek-R1-0528-Qwen3-8B,native_thinking,wrong_count,Wrong count: undercount,81,0.162
GLM-4-9B-0414,direct,wrong_count,Wrong count: overcount,9,0.018
GLM-4-9B-0414,direct,wrong_count,Wrong count: undercount,340,0.68
GLM-4-9B-0414,enumeration_bullet,enumeration_format_failure,Enumeration structure: listed length disagrees with Total,3,0.006
GLM-4-9B-0414,enumeration_bullet,enumeration_format_failure,Enumeration structure: no records,4,0.008
GLM-4-9B-0414,enumeration_bullet,enumeration_format_failure,Enumeration structure: placeholder/non-record lines,1,0.002
GLM-4-9B-0414,enumeration_bullet,parse_failure,Listed records but omitted parsable Total,25,0.05
GLM-4-9B-0414,enumeration_bullet,truncated,Enumeration: repeated-item/list loop,1,0.002
GLM-4-9B-0414,enumeration_bullet,wrong_count,Wrong count: overcount,4,0.008
GLM-4-9B-0414,enumeration_bullet,wrong_count,Wrong count: undercount,150,0.3
GLM-4-9B-0414,enumeration_index,enumeration_format_failure,Enumeration structure: extra/nonconforming line despite parsable list,2,0.004
GLM-4-9B-0414,enumeration_index,enumeration_format_failure,Enumeration structure: index sequence error,1,0.002
GLM-4-9B-0414,enumeration_index,enumeration_format_failure,Enumeration structure: listed length disagrees with Total,3,0.006
GLM-4-9B-0414,enumeration_index,parse_failure,Listed records but omitted parsable Total,10,0.02
GLM-4-9B-0414,enumeration_index,truncated,Enumeration: repeated-item/list loop,1,0.002
GLM-4-9B-0414,enumeration_index,wrong_count,Wrong count: overcount,26,0.052
GLM-4-9B-0414,enumeration_index,wrong_count,Wrong count: undercount,105,0.21
GLM-Z1-9B-0414,native_thinking,truncated,Thinking: long scan/reasoning ended before Total,28,0.056
GLM-Z1-9B-0414,native_thinking,truncated,Thinking: repetition loop before final answer,13,0.026
GLM-Z1-9B-0414,native_thinking,wrong_count,Wrong count: overcount,20,0.04
GLM-Z1-9B-0414,native_thinking,wrong_count,Wrong count: undercount,97,0.194
Gemma4-12B,direct,wrong_count,Wrong count: overcount,4,0.008
Gemma4-12B,direct,wrong_count,Wrong count: undercount,239,0.478
Gemma4-12B,enumeration_bullet,wrong_count,Wrong count: undercount,127,0.254
Gemma4-12B,enumeration_index,wrong_count,Wrong count: undercount,25,0.05
Gemma4-12B,native_thinking,response_format_failure,Native final channel adds prose before Total,99,0.198
Gemma4-12B,native_thinking,response_format_failure,Native final channel repeats/lists records before Total,216,0.432
Gemma4-12B,native_thinking,truncated,Thinking: long scan/reasoning ended before Total,2,0.004
Gemma4-12B,native_thinking,truncated,Thinking: repetition loop before final answer,2,0.004
Gemma4-12B,native_thinking,truncated,Thinking: restart/rescan before final answer,4,0.008
Gemma4-12B,native_thinking,wrong_count,Wrong count: undercount,20,0.04
Gemma4-E4B,direct,response_format_failure,Extra prose or lines around an otherwise parsable Total,4,0.008
Gemma4-E4B,direct,truncated,Direct: explicit list before Total; budget exhausted,170,0.34
Gemma4-E4B,direct,wrong_count,Wrong count: overcount,23,0.046
Gemma4-E4B,direct,wrong_count,Wrong count: undercount,183,0.366
Gemma4-E4B,enumeration_bullet,enumeration_format_failure,Enumeration structure: extra/nonconforming line despite parsable list,1,0.002
Gemma4-E4B,enumeration_bullet,wrong_count,Wrong count: overcount,20,0.04
Gemma4-E4B,enumeration_bullet,wrong_count,Wrong count: undercount,82,0.164
Gemma4-E4B,enumeration_index,enumeration_format_failure,Enumeration structure: index sequence error,2,0.004
Gemma4-E4B,enumeration_index,wrong_count,Wrong count: undercount,57,0.114
Gemma4-E4B,native_thinking,response_format_failure,Native final channel adds prose before Total,18,0.036
Gemma4-E4B,native_thinking,response_format_failure,Native final channel repeats/lists records before Total,4,0.008
Gemma4-E4B,native_thinking,truncated,Thinking: long scan/reasoning ended before Total,1,0.002
Gemma4-E4B,native_thinking,wrong_count,Wrong count: overcount,1,0.002
Gemma4-E4B,native_thinking,wrong_count,Wrong count: undercount,80,0.16
Qwen3-1.7B,direct,wrong_count,Wrong count: overcount,282,0.564
Qwen3-1.7B,direct,wrong_count,Wrong count: undercount,120,0.24
Qwen3-1.7B,enumeration_bullet,enumeration_format_failure,Enumeration structure: extra/nonconforming line despite parsable list,3,0.006
Qwen3-1.7B,enumeration_bullet,enumeration_format_failure,Enumeration structure: listed length disagrees with Total,5,0.01
Qwen3-1.7B,enumeration_bullet,enumeration_format_failure,Enumeration structure: no records,6,0.012
Qwen3-1.7B,enumeration_bullet,enumeration_format_failure,Enumeration structure: placeholder/non-record lines,1,0.002
Qwen3-1.7B,enumeration_bullet,parse_failure,Listed records but omitted parsable Total,27,0.054
Qwen3-1.7B,enumeration_bullet,truncated,Enumeration: repeated-item/list loop,114,0.228
Qwen3-1.7B,enumeration_bullet,truncated,Enumeration: unfinished long list before Total,11,0.022
Qwen3-1.7B,enumeration_bullet,wrong_count,Wrong count: overcount,101,0.202
Qwen3-1.7B,enumeration_bullet,wrong_count,Wrong count: undercount,42,0.084
Qwen3-1.7B,enumeration_index,enumeration_format_failure,Enumeration structure: extra/nonconforming line despite parsable list,19,0.038
Qwen3-1.7B,enumeration_index,enumeration_format_failure,Enumeration structure: index sequence error,5,0.01
Qwen3-1.7B,enumeration_index,enumeration_format_failure,Enumeration structure: listed length disagrees with Total,26,0.052
Qwen3-1.7B,enumeration_index,enumeration_format_failure,Enumeration structure: no records,1,0.002
Qwen3-1.7B,enumeration_index,enumeration_format_failure,Enumeration structure: placeholder/non-record lines,3,0.006
Qwen3-1.7B,enumeration_index,parse_failure,Listed records but omitted parsable Total,97,0.194
Qwen3-1.7B,enumeration_index,truncated,Enumeration: repeated-item/list loop,1,0.002
Qwen3-1.7B,enumeration_index,truncated,Enumeration: unfinished long list before Total,11,0.022
Qwen3-1.7B,enumeration_index,wrong_count,Wrong count: overcount,110,0.22
Qwen3-1.7B,enumeration_index,wrong_count,Wrong count: undercount,103,0.206
Qwen3-1.7B,native_thinking,truncated,Thinking: long scan/reasoning ended before Total,2,0.004
Qwen3-1.7B,native_thinking,wrong_count,Wrong count: overcount,35,0.07
Qwen3-1.7B,native_thinking,wrong_count,Wrong count: undercount,162,0.324
Qwen3-32B,direct,wrong_count,Wrong count: overcount,195,0.39
Qwen3-32B,direct,wrong_count,Wrong count: undercount,5,0.01
